0.045072555541992188 - 0.029828071594238281i,0.042005062103271484 - 0.033990383148193359i,0.041089534759521484 - 0.035172462463378906i,0.038838386535644531 - 0.037856578826904297i,0.035535335540771484 - 0.041942596435546875i,0.034267425537109375 - 0.042497634887695313i,0.033376216888427734 - 0.042572498321533203i,0.031537532806396484 - 0.045187950134277344i,0.030612945556640625 - 0.044925689697265625i,0.028615951538085938 - 0.046475887298583984i,0.028092384338378906 - 0.046891212463378906i,0.027429580688476563 - 0.047694683074951172i,0.026011943817138672 - 0.04863739013671875i,0.025959014892578125 - 0.048519134521484375i,0.024888038635253906 - 0.048870086669921875i,0.025374889373779297 - 0.048433780670166016i,0.024602413177490234 - 0.049280643463134766i,0.023357868194580078 - 0.049458503723144531i,0.022330284118652344 - 0.050713539123535156i,0.021901607513427734 - 0.0501708984375i,0.021347522735595703 - 0.051465988159179688i,0.021208286285400391 - 0.050451755523681641i,0.020777225494384766 - 0.050571918487548828i,0.019987106323242188 - 0.051928520202636719i,0.019385814666748047 - 0.052008152008056641i,0.019174575805664063 - 0.051927089691162109i,0.017572402954101563 - 0.052372455596923828i,0.016959190368652344 - 0.052713394165039063i,0.01619720458984375 - 0.053234100341796875i,0.014548778533935547 - 0.054036140441894531i,0.013143062591552734 - 0.054678916931152344i,0.0123748779296875 - 0.054105758666992188i,0.0098428726196289063 - 0.054304599761962891i,0.009799957275390625 - 0.054533004760742188i,0.0073604583740234375 - 0.05489349365234375i,0.0070810317993164063 - 0.054777622222900391i,0.0057797431945800781 - 0.055439949035644531i,0.0019893646240234375 - 0.055495262145996094i,0.0004901885986328125 - 0.055270195007324219i,-0.0030040740966796875 - 0.054928779602050781i,-0.0055685043334960938 - 0.054976940155029297i,-0.0091609954833984375 - 0.054520130157470703i,-0.011357784271240234 - 0.054276943206787109i,-0.01373291015625 - 0.053491592407226563i,-0.019897937774658203 - 0.051547050476074219i,-0.022891044616699219 - 0.050535202026367188i,-0.028316974639892578 - 0.046924114227294922i,-0.031927108764648438 - 0.04503631591796875i,-0.037477493286132813 - 0.040106773376464844i,-0.042252063751220703 - 0.035046577453613281i,-0.046174526214599609 - 0.0288238525390625i,-0.049910545349121094 - 0.0207366943359375i
0.044955730438232422 - 0.029994010925292969i,0.042001247406005859 - 0.034075260162353516i,0.040650844573974609 - 0.035192489624023438i,0.038584232330322266 - 0.037943840026855469i,0.035326004028320313 - 0.041775703430175781i,0.034083843231201172 - 0.042753696441650391i,0.033282279968261719 - 0.042658805847167969i,0.031007766723632813 - 0.0448150634765625i,0.030848979949951172 - 0.045273780822753906i,0.02906036376953125 - 0.046078205108642578i,0.028507232666015625 - 0.046660900115966797i,0.027543544769287109 - 0.047581195831298828i,0.026098728179931641 - 0.048181056976318359i,0.025965213775634766 - 0.048704147338867188i,0.025469303131103516 - 0.049024105072021484i,0.025080680847167969 - 0.048078536987304688i,0.024560451507568359 - 0.048878669738769531i,0.023298740386962891 - 0.049578189849853516i,0.022823333740234375 - 0.050674915313720703i,0.022040367126464844 - 0.050182342529296875i,0.021087646484375 - 0.051761150360107422i,0.021568775177001953 - 0.050696849822998047i,0.020923137664794922 - 0.050406455993652344i,0.019761085510253906 - 0.051959991455078125i,0.019262313842773438 - 0.052165031433105469i,0.019362449645996094 - 0.052028179168701172i,0.018163681030273438 - 0.052968978881835938i,0.016880989074707031 - 0.052591800689697266i,0.016024589538574219 - 0.053264617919921875i,0.015006065368652344 - 0.053664684295654297i,0.013125419616699219 - 0.054973602294921875i,0.011862754821777344 - 0.053761959075927734i,0.01007080078125 - 0.054831981658935547i,0.0096926689147949219 - 0.054545402526855469i,0.0075993537902832031 - 0.055389881134033203i,0.0074849128723144531 - 0.054449081420898438i,0.0054454803466796875 - 0.055322170257568359i,0.0020751953125 - 0.055660724639892578i,0.00042057037353515625 - 0.056015968322753906i,-0.0031237602233886719 - 0.055807113647460938i,-0.0056705474853515625 - 0.055053234100341797i,-0.0090732574462890625 - 0.054488182067871094i,-0.011262893676757813 - 0.054118156433105469i,-0.013837814331054688 - 0.0538330078125i,-0.020449638366699219 - 0.051492214202880859i,-0.022899150848388672 - 0.050503253936767578i,-0.027918338775634766 - 0.046526432037353516i,-0.032149791717529297 - 0.045667171478271484i,-0.037109851837158203 - 0.040097713470458984i,-0.042087078094482422 - 0.03458404541015625i,-0.04644775390625 - 0.028924465179443359i,-0.049498558044433594 - 0.021099090576171875i
0.044871807098388672 - 0.029729843139648438i,0.041936397552490234 - 0.033862113952636719i,0.040874958038330078 - 0.035296916961669922i,0.038748741149902344 - 0.037850856781005859i,0.035537242889404297 - 0.041832923889160156i,0.034045696258544922 - 0.04267120361328125i,0.033143520355224609 - 0.042554855346679688i,0.031357288360595703 - 0.045067310333251953i,0.030650138854980469 - 0.045237541198730469i,0.029192924499511719 - 0.046040058135986328i,0.02889251708984375 - 0.046568393707275391i,0.028189659118652344 - 0.047403812408447266i,0.025998115539550781 - 0.0481414794921875i,0.025948047637939453 - 0.048068046569824219i,0.025549411773681641 - 0.048805713653564453i,0.024781703948974609 - 0.048296451568603516i,0.024970054626464844 - 0.049199581146240234i,0.0234527587890625 - 0.049601078033447266i,0.022652626037597656 - 0.050795078277587891i,0.022156715393066406 - 0.049857139587402344i,0.021001338958740234 - 0.051566600799560547i,0.021413803100585938 - 0.050759315490722656i,0.020816326141357422 - 0.050402641296386719i,0.020526409149169922 - 0.052064418792724609i,0.019477367401123047 - 0.051680088043212891i,0.019397735595703125 - 0.051648616790771484i,0.018268108367919922 - 0.052244186401367188i,0.016957283020019531 - 0.053052902221679688i,0.0163421630859375 - 0.053526878356933594i,0.014960289001464844 - 0.053630352020263672i,0.013783454895019531 - 0.054413795471191406i,0.01235198974609375 - 0.053764820098876953i,0.010067462921142578 - 0.054563045501708984i,0.0098867416381835938 - 0.055013179779052734i,0.0072855949401855469 - 0.055216312408447266i,0.0073723793029785156 - 0.054662704467773438i,0.0061159133911132813 - 0.055541038513183594i,0.0026502609252929688 - 0.055354118347167969i,0.00069522857666015625 - 0.05573272705078125i,-0.0030827522277832031 - 0.055821895599365234i,-0.005443572998046875 - 0.054888725280761719i,-0.0091924667358398438 - 0.054949283599853516i,-0.010877609252929688 - 0.054316043853759766i,-0.013879299163818359 - 0.054092884063720703i,-0.020036220550537109 - 0.052003860473632813i,-0.022350311279296875 - 0.050668239593505859i,-0.027987957000732422 - 0.046974658966064453i,-0.031877994537353516 - 0.045197486877441406i,-0.037255764007568359 - 0.040160655975341797i,-0.042158126831054688 - 0.035122871398925781i,-0.046094894409179688 - 0.029143810272216797i,-0.049616336822509766 - 0.020856857299804688i
0.04534912109375 - 0.029611587524414063i,0.042083740234375 - 0.033888339996337891i,0.040930271148681641 - 0.034940242767333984i,0.039098739624023438 - 0.037824153900146484i,0.035757064819335938 - 0.04193115234375i,0.0342559814453125 - 0.042736053466796875i,0.033268451690673828 - 0.042626380920410156i,0.031449317932128906 - 0.044655323028564453i,0.030523300170898438 - 0.045306205749511719i,0.029126644134521484 - 0.0463104248046875i,0.028274059295654297 - 0.046238899230957031i,0.027628898620605469 - 0.047419548034667969i,0.026154518127441406 - 0.048006057739257813i,0.025949954986572266 - 0.048367023468017578i,0.025504112243652344 - 0.049050807952880859i,0.025205612182617188 - 0.048395156860351563i,0.025081634521484375 - 0.049318313598632813i,0.023050785064697266 - 0.049472332000732422i,0.022500514984130859 - 0.050954818725585938i,0.021862506866455078 - 0.050265789031982422i,0.020762443542480469 - 0.051469326019287109i,0.021809101104736328 - 0.050385475158691406i,0.020915985107421875 - 0.050317287445068359i,0.020057201385498047 - 0.051692962646484375i,0.019681930541992188 - 0.052356243133544922i,0.019731044769287109 - 0.052091598510742188i,0.017875194549560547 - 0.052703857421875i,0.016910552978515625 - 0.052700996398925781i,0.01639556884765625 - 0.053245067596435547i,0.014692306518554688 - 0.053630352020263672i,0.013485431671142578 - 0.054517269134521484i,0.011873245239257813 - 0.053868770599365234i,0.010149478912353516 - 0.054284095764160156i,0.00984954833984375 - 0.054911613464355469i,0.0073351860046386719 - 0.055649757385253906i,0.0074048042297363281 - 0.055158615112304688i,0.0060167312622070313 - 0.055039882659912109i,0.0025339126586914063 - 0.055932998657226563i,0.00090932846069335938 - 0.055885791778564453i,-0.0031070709228515625 - 0.056182384490966797i,-0.005870819091796875 - 0.054603099822998047i,-0.0091052055358886719 - 0.054806232452392578i,-0.011392593383789063 - 0.054263591766357422i,-0.014081478118896484 - 0.053833484649658203i,-0.020134925842285156 - 0.051705837249755859i,-0.022881507873535156 - 0.050760746002197266i,-0.028067588806152344 - 0.047046661376953125i,-0.032387733459472656 - 0.045581817626953125i,-0.037353992462158203 - 0.039952278137207031i,-0.041655540466308594 - 0.034953117370605469i,-0.046588420867919922 - 0.029500961303710938i,-0.04962921142578125 - 0.021326541900634766i
0.045119285583496094 - 0.030416011810302734i,0.041446208953857422 - 0.034267425537109375i,0.041431427001953125 - 0.035639762878417969i,0.038148880004882813 - 0.037597179412841797i,0.035921096801757813 - 0.042285919189453125i,0.033957958221435547 - 0.042438983917236328i,0.033143520355224609 - 0.042481899261474609i,0.0312042236328125 - 0.045105934143066406i,0.030157089233398438 - 0.044782638549804688i,0.029224395751953125 - 0.047151565551757813i,0.028204441070556641 - 0.046893596649169922i,0.027550697326660156 - 0.047719001770019531i,0.025439262390136719 - 0.048567295074462891i,0.025250434875488281 - 0.048472404479980469i,0.024324417114257813 - 0.048365592956542969i,0.025369167327880859 - 0.049070358276367188i,0.024379730224609375 - 0.048940181732177734i,0.023618698120117188 - 0.050420284271240234i,0.022202491760253906 - 0.050572872161865234i,0.021805286407470703 - 0.050545215606689453i,0.021052360534667969 - 0.051776885986328125i,0.021341323852539063 - 0.050600528717041016i,0.021129131317138672 - 0.050755500793457031i,0.019762039184570313 - 0.052230358123779297i,0.019095897674560547 - 0.051669597625732422i,0.019108295440673828 - 0.051609039306640625i,0.017340183258056641 - 0.051589012145996094i,0.017065048217773438 - 0.05322265625i,0.016084671020507813 - 0.053006172180175781i,0.014949798583984375 - 0.054046154022216797i,0.013082027435302734 - 0.053935527801513672i,0.012039661407470703 - 0.05477142333984375i,0.009754180908203125 - 0.053977489471435547i,0.0096354484558105469 - 0.055276870727539063i,0.0074567794799804688 - 0.0547637939453125i,0.0076661109924316406 - 0.055807113647460938i,0.0060253143310546875 - 0.055841445922851563i,0.0022726058959960938 - 0.055762767791748047i,0.00036287307739257813 - 0.055720806121826172i,-0.0033106803894042969 - 0.054644584655761719i,-0.0059380531311035156 - 0.055672645568847656i,-0.0094857215881347656 - 0.054409503936767578i,-0.011533737182617188 - 0.054584503173828125i,-0.014043807983398438 - 0.053636074066162109i,-0.020342826843261719 - 0.05199432373046875i,-0.022498130798339844 - 0.050769805908203125i,-0.028309822082519531 - 0.046749114990234375i,-0.032278060913085938 - 0.045322418212890625i,-0.038095951080322266 - 0.0404510498046875i,-0.042987346649169922 - 0.03495025634765625i,-0.046209335327148438 - 0.0282135009765625i,-0.049411773681640625 - 0.020596981048583984i
0.044607162475585938 - 0.030613422393798828i,0.041649818420410156 - 0.034986495971679688i,0.040406703948974609 - 0.035753726959228516i,0.038147926330566406 - 0.038633346557617188i,0.034375190734863281 - 0.0423583984375i,0.033209323883056641 - 0.043034553527832031i,0.032650470733642578 - 0.043137073516845703i,0.030580997467041016 - 0.045139312744140625i,0.030059814453125 - 0.045481681823730469i,0.027912139892578125 - 0.046639919281005859i,0.027550697326660156 - 0.046767711639404297i,0.027154922485351563 - 0.047860145568847656i,0.025247573852539063 - 0.048443317413330078i,0.024768829345703125 - 0.049296379089355469i,0.024735450744628906 - 0.049593448638916016i,0.024082660675048828 - 0.048588752746582031i,0.024178028106689453 - 0.049281120300292969i,0.022441864013671875 - 0.050187587738037109i,0.021495819091796875 - 0.051038742065429688i,0.021364212036132813 - 0.050434589385986328i,0.020579338073730469 - 0.051895618438720703i,0.020747184753417969 - 0.05106353759765625i,0.019788742065429688 - 0.050991058349609375i,0.018964767456054688 - 0.051904201507568359i,0.018746376037597656 - 0.052386283874511719i,0.018800258636474609 - 0.052220344543457031i,0.017171382904052734 - 0.05300140380859375i,0.016028881072998047 - 0.052645206451416016i,0.015166759490966797 - 0.053424835205078125i,0.013814449310302734 - 0.053910732269287109i,0.012450695037841797 - 0.054656505584716797i,0.011157035827636719 - 0.053637504577636719i,0.0091543197631835938 - 0.054873943328857422i,0.0088229179382324219 - 0.055097103118896484i,0.006397247314453125 - 0.056016445159912109i,0.0067853927612304688 - 0.055097103118896484i,0.0051317214965820313 - 0.055293560028076172i,0.0014781951904296875 - 0.055703163146972656i,-0.00021266937255859375 - 0.055822849273681641i,-0.003482818603515625 - 0.055945396423339844i,-0.0066432952880859375 - 0.054774284362792969i,-0.0099024772644042969 - 0.054531574249267578i,-0.012061119079589844 - 0.054020404815673828i,-0.015074729919433594 - 0.053546905517578125i,-0.020666122436523438 - 0.051054000854492188i,-0.023694515228271484 - 0.050492286682128906i,-0.02857208251953125 - 0.046570301055908203i,-0.033237934112548828 - 0.044939041137695313i,-0.037907123565673828 - 0.039532661437988281i,-0.042524337768554688 - 0.034382820129394531i,-0.046633720397949219 - 0.028127670288085938i,-0.049953937530517578 - 0.020128250122070313i
0.04473114013671875 - 0.03049468994140625i,0.041463375091552734 - 0.034452915191650391i,0.040716171264648438 - 0.035954475402832031i,0.038358688354492188 - 0.038355350494384766i,0.035185337066650391 - 0.041961669921875i,0.033444881439208984 - 0.042629718780517578i,0.033033370971679688 - 0.042567729949951172i,0.030675411224365234 - 0.045147418975830078i,0.030160903930664063 - 0.04560089111328125i,0.02796173095703125 - 0.046948432922363281i,0.027998924255371094 - 0.046708106994628906i,0.027226448059082031 - 0.048128128051757813i,0.025767803192138672 - 0.048600196838378906i,0.025482654571533203 - 0.048706531524658203i,0.024810791015625 - 0.04907989501953125i,0.024716377258300781 - 0.048516273498535156i,0.024188995361328125 - 0.049544811248779297i,0.022992610931396484 - 0.049827098846435547i,0.022245883941650391 - 0.050677299499511719i,0.021175384521484375 - 0.050317287445068359i,0.020653247833251953 - 0.051832675933837891i,0.020984649658203125 - 0.050860881805419922i,0.020541667938232422 - 0.050759315490722656i,0.019826889038085938 - 0.052437305450439453i,0.018979549407958984 - 0.052208423614501953i,0.018804550170898438 - 0.052685737609863281i,0.0173797607421875 - 0.052929878234863281i,0.016576290130615234 - 0.05289459228515625i,0.015617847442626953 - 0.053275108337402344i,0.014390468597412109 - 0.053834915161132813i,0.012627601623535156 - 0.054415225982666016i,0.011701583862304688 - 0.053693771362304688i,0.0093603134155273438 - 0.054814338684082031i,0.0090494155883789063 - 0.05498504638671875i,0.0070500373840332031 - 0.055134296417236328i,0.0068402290344238281 - 0.054886341094970703i,0.0053410530090332031 - 0.055448532104492188i,0.0015974044799804688 - 0.055470466613769531i,-1.1920928955078125E-05 - 0.055844306945800781i,-0.00336456298828125 - 0.055785655975341797i,-0.0061812400817871094 - 0.055265426635742188i,-0.0092740058898925781 - 0.054263114929199219i,-0.011775016784667969 - 0.053935050964355469i,-0.014382362365722656 - 0.05377960205078125i,-0.020340919494628906 - 0.051612377166748047i,-0.023556232452392578 - 0.050092697143554688i,-0.028762340545654297 - 0.046618938446044922i,-0.032552242279052734 - 0.044948101043701172i,-0.037799835205078125 - 0.039633750915527344i,-0.042384147644042969 - 0.034452438354492188i,-0.046835899353027344 - 0.028432369232177734i,-0.049679756164550781 - 0.020142555236816406i
0.044832229614257813 - 0.030959606170654297i,0.041430950164794922 - 0.034707546234130859i,0.040879726409912109 - 0.035933494567871094i,0.037851333618164063 - 0.038316726684570313i,0.035084724426269531 - 0.041920185089111328i,0.033333778381347656 - 0.042870044708251953i,0.032657146453857422 - 0.043053150177001953i,0.030642509460449219 - 0.045207023620605469i,0.029870510101318359 - 0.04559326171875i,0.028752326965332031 - 0.046723842620849609i,0.027607917785644531 - 0.046910285949707031i,0.026782512664794922 - 0.048485755920410156i,0.025259971618652344 - 0.048813343048095703i,0.024647712707519531 - 0.048742771148681641i,0.024680614471435547 - 0.049336433410644531i,0.024270057678222656 - 0.049180030822753906i,0.023917675018310547 - 0.049357891082763672i,0.023105621337890625 - 0.049662113189697266i,0.021868705749511719 - 0.050851345062255859i,0.021358013153076172 - 0.050642013549804688i,0.020433425903320313 - 0.051920413970947266i,0.02062225341796875 - 0.050922393798828125i,0.020363807678222656 - 0.051036834716796875i,0.0194244384765625 - 0.052265167236328125i,0.018541812896728516 - 0.052139759063720703i,0.018925189971923828 - 0.052149772644042969i,0.017353057861328125 - 0.053180217742919922i,0.016086101531982422 - 0.053107261657714844i,0.015344619750976563 - 0.053060531616210938i,0.014117240905761719 - 0.054090499877929688i,0.012691974639892578 - 0.054671764373779297i,0.011449337005615234 - 0.053740978240966797i,0.0089931488037109375 - 0.054653644561767578i,0.0092687606811523438 - 0.054979801177978516i,0.0066623687744140625 - 0.055683135986328125i,0.0067143440246582031 - 0.055292129516601563i,0.0051617622375488281 - 0.055253505706787109i,0.0014095306396484375 - 0.055613517761230469i,-0.00045871734619140625 - 0.055623054504394531i,-0.0040912628173828125 - 0.055711746215820313i,-0.0064296722412109375 - 0.055250167846679688i,-0.010231971740722656 - 0.054464817047119141i,-0.012220382690429688 - 0.054154872894287109i,-0.014716148376464844 - 0.053674697875976563i,-0.020656108856201172 - 0.051594734191894531i,-0.023473262786865234 - 0.0503082275390625i,-0.028653621673583984 - 0.046506404876708984i,-0.03308868408203125 - 0.044717311859130859i,-0.038272857666015625 - 0.039769172668457031i,-0.042848110198974609 - 0.034230232238769531i,-0.046874046325683594 - 0.027643680572509766i,-0.049729824066162109 - 0.020319938659667969i
0.044541358947753906 - 0.030203819274902344i,0.041421413421630859 - 0.035455226898193359i,0.040486812591552734 - 0.035922527313232422i,0.038112640380859375 - 0.038251876831054688i,0.034595966339111328 - 0.042212963104248047i,0.033791065216064453 - 0.043062686920166016i,0.032612800598144531 - 0.043500423431396484i,0.030425071716308594 - 0.045551776885986328i,0.029746532440185547 - 0.045881271362304688i,0.027849197387695313 - 0.04679107666015625i,0.02754974365234375 - 0.047144412994384766i,0.026732444763183594 - 0.048126220703125i,0.025363445281982422 - 0.048865318298339844i,0.024755477905273438 - 0.048910617828369141i,0.024253368377685547 - 0.049080371856689453i,0.0239105224609375 - 0.04885101318359375i,0.024014949798583984 - 0.049922943115234375i,0.02263641357421875 - 0.050050258636474609i,0.021742343902587891 - 0.051205158233642578i,0.020887851715087891 - 0.05029296875i,0.019972801208496094 - 0.05205535888671875i,0.020557880401611328 - 0.050430774688720703i,0.020008087158203125 - 0.05028533935546875i,0.019061088562011719 - 0.052066802978515625i,0.018606662750244141 - 0.0525360107421875i,0.018251419067382813 - 0.052365779876708984i,0.017212867736816406 - 0.052653789520263672i,0.016131401062011719 - 0.052786827087402344i,0.015250682830810547 - 0.053652286529541016i,0.013785362243652344 - 0.053941249847412109i,0.012540817260742188 - 0.054825782775878906i,0.011109828948974609 - 0.054366111755371094i,0.00901031494140625 - 0.054589748382568359i,0.0085191726684570313 - 0.054799556732177734i,0.0063862800598144531 - 0.055716991424560547i,0.0065059661865234375 - 0.054990768432617188i,0.005046844482421875 - 0.055555820465087891i,0.0015916824340820313 - 0.055431842803955078i,-0.00049448013305664063 - 0.055752277374267578i,-0.0040826797485351563 - 0.055661201477050781i,-0.0070009231567382813 - 0.054826259613037109i,-0.010352134704589844 - 0.054612159729003906i,-0.012388229370117188 - 0.053966522216796875i,-0.015062332153320313 - 0.053326129913330078i,-0.021211624145507813 - 0.051382064819335938i,-0.024044036865234375 - 0.05013275146484375i,-0.028849124908447266 - 0.046177864074707031i,-0.033396244049072266 - 0.044770717620849609i,-0.038504123687744141 - 0.039093494415283203i,-0.043016433715820313 - 0.034622669219970703i,-0.046626091003417969 - 0.02837371826171875i,-0.050200462341308594 - 0.020050525665283203i
0.044532299041748047 - 0.030094146728515625i,0.04158782958984375 - 0.034910678863525391i,0.040465831756591797 - 0.035471439361572266i,0.038342952728271484 - 0.038296699523925781i,0.035124301910400391 - 0.042412757873535156i,0.033750534057617188 - 0.043078422546386719i,0.032960414886474609 - 0.0424957275390625i,0.030961036682128906 - 0.045412063598632813i,0.03032684326171875 - 0.045063495635986328i,0.028311252593994141 - 0.046954154968261719i,0.0276336669921875 - 0.047099590301513672i,0.026902675628662109 - 0.048287391662597656i,0.025112628936767578 - 0.048565864562988281i,0.024590015411376953 - 0.048917770385742188i,0.024461269378662109 - 0.049401283264160156i,0.024459362030029297 - 0.048868656158447266i,0.024135589599609375 - 0.049271106719970703i,0.022829532623291016 - 0.050008773803710938i,0.021514892578125 - 0.050818920135498047i,0.021822929382324219 - 0.050322055816650391i,0.020671367645263672 - 0.051668167114257813i,0.021318435668945313 - 0.050425052642822266i,0.020604133605957031 - 0.050922393798828125i,0.018795967102050781 - 0.052277565002441406i,0.018576622009277344 - 0.052280426025390625i,0.018353939056396484 - 0.052165985107421875i,0.017542839050292969 - 0.05224609375i,0.016505718231201172 - 0.052865028381347656i,0.015558242797851563 - 0.053778171539306641i,0.014248847961425781 - 0.053765296936035156i,0.012488842010498047 - 0.054477691650390625i,0.011626720428466797 - 0.054350852966308594i,0.0094614028930664063 - 0.054203987121582031i,0.009674072265625 - 0.055032730102539063i,0.0070524215698242188 - 0.055346012115478516i,0.0064864158630371094 - 0.054973125457763672i,0.0047168731689453125 - 0.055724143981933594i,0.001407623291015625 - 0.055448055267333984i,-0.00053119659423828125 - 0.055560588836669922i,-0.003803253173828125 - 0.055404186248779297i,-0.006458282470703125 - 0.054986476898193359i,-0.0097746849060058594 - 0.054564476013183594i,-0.011507511138916016 - 0.054006576538085938i,-0.014574050903320313 - 0.053220272064208984i,-0.020721912384033203 - 0.051651954650878906i,-0.023640632629394531 - 0.050347805023193359i,-0.028376579284667969 - 0.046693325042724609i,-0.032539844512939453 - 0.045051097869873047i,-0.038150787353515625 - 0.039594650268554688i,-0.042809486389160156 - 0.034376144409179688i,-0.047084331512451172 - 0.028159618377685547i,-0.050271511077880859 - 0.019853591918945313i
