0.040528297424316406 - 0.037460803985595703i,0.038141250610351563 - 0.039614677429199219i,0.036093711853027344 - 0.041179656982421875i,0.034250259399414063 - 0.042438983917236328i,0.033137798309326172 - 0.044520378112792969i,0.030455589294433594 - 0.045037269592285156i,0.028509616851806641 - 0.047905445098876953i,0.025669574737548828 - 0.048083782196044922i,0.02398681640625 - 0.049396514892578125i,0.021175861358642578 - 0.050882816314697266i,0.018883228302001953 - 0.051491737365722656i,0.016096115112304688 - 0.053453445434570313i,0.013443470001220703 - 0.053674697875976563i,0.010958671569824219 - 0.054074287414550781i,0.0080361366271972656 - 0.054434776306152344i,0.0057077407836914063 - 0.054633140563964844i,0.003021240234375 - 0.054683208465576172i,0.000888824462890625 - 0.055582523345947266i,-0.0017232894897460938 - 0.054371356964111328i,-0.0048017501831054688 - 0.055394649505615234i,-0.00732421875 - 0.053874969482421875i,-0.0093374252319335938 - 0.054358959197998047i,-0.012518882751464844 - 0.053648948669433594i,-0.014782428741455078 - 0.052908420562744141i,-0.018032073974609375 - 0.0528106689453125i,-0.02013397216796875 - 0.051180362701416016i,-0.022540092468261719 - 0.050089359283447266i,-0.024897575378417969 - 0.048356533050537109i,-0.029093265533447266 - 0.045736789703369141i,-0.031825542449951172 - 0.045216083526611328i,-0.033613681793212891 - 0.043114662170410156i,-0.036106109619140625 - 0.041803359985351563i,-0.03739166259765625 - 0.039044380187988281i,-0.039935111999511719 - 0.0381622314453125i,-0.041136741638183594 - 0.035590171813964844i,-0.042862892150878906 - 0.034050941467285156i,-0.044450283050537109 - 0.031112194061279297i,-0.047109127044677734 - 0.029364109039306641i,-0.047786235809326172 - 0.026436805725097656i,-0.049081325531005859 - 0.024100780487060547i,-0.050179481506347656 - 0.021342754364013672i,-0.050058364868164063 - 0.018883705139160156i,-0.052582263946533203 - 0.016447067260742188i,-0.052466869354248047 - 0.013402938842773438i,-0.053590774536132813 - 0.010991573333740234i,-0.052880287170410156 - 0.0079283714294433594i,-0.053997039794921875 - 0.0049962997436523438i,-0.053809642791748047 - 0.0021014213562011719i,-0.053837776184082031 + 0.0015320777893066406i,-0.053129673004150391 + 0.0046219825744628906i,-0.053539752960205078 + 0.008087158203125i,-0.051790237426757813 + 0.011756420135498047i,-0.050140380859375 + 0.015650749206542969i,-0.0477752685546875 + 0.01926422119140625i,-0.046080589294433594 + 0.02387237548828125i,-0.0412750244140625 + 0.027925491333007813i
-0.0011873245239257813 - 0.055035591125488281i,-0.0040535926818847656 - 0.055043220520019531i,-0.0066432952880859375 - 0.054715156555175781i,-0.0090618133544921875 - 0.054235458374023438i,-0.011396408081054688 - 0.053712844848632813i,-0.013936519622802734 - 0.052824974060058594i,-0.016581535339355469 - 0.052535057067871094i,-0.0194549560546875 - 0.051584243774414063i,-0.021338939666748047 - 0.050586700439453125i,-0.023537635803222656 - 0.049223899841308594i,-0.026053428649902344 - 0.0484771728515625i,-0.028797149658203125 - 0.047058582305908203i,-0.030915260314941406 - 0.045619010925292969i,-0.033012866973876953 - 0.043999671936035156i,-0.035078048706054688 - 0.042440414428710938i,-0.037107467651367188 - 0.040415287017822266i,-0.039036273956298828 - 0.038814067840576172i,-0.040973663330078125 - 0.037199974060058594i,-0.042550086975097656 - 0.035245418548583984i,-0.043947696685791016 - 0.032534599304199219i,-0.045702934265136719 - 0.030895233154296875i,-0.046786308288574219 - 0.028714179992675781i,-0.048184394836425781 - 0.026251316070556641i,-0.049505233764648438 - 0.023870468139648438i,-0.050799369812011719 - 0.021576881408691406i,-0.05199432373046875 - 0.018653392791748047i,-0.052306652069091797 - 0.016196727752685547i,-0.053114891052246094 - 0.013863563537597656i,-0.054022789001464844 - 0.0086154937744140625i,-0.05429840087890625 - 0.0060381889343261719i,-0.054783821105957031 - 0.0033917427062988281i,-0.054556369781494141 - 0.00045442581176757813i,-0.054770469665527344 + 0.0022687911987304688i,-0.054808139801025391 + 0.0049109458923339844i,-0.054193019866943359 + 0.0075097084045410156i,-0.053890705108642578 + 0.0098061561584472656i,-0.053109169006347656 + 0.012673854827880859i,-0.052591800689697266 + 0.015318870544433594i,-0.051605701446533203 + 0.018159389495849609i,-0.050498008728027344 + 0.020725250244140625i,-0.049178600311279297 + 0.023343086242675781i,-0.047937393188476563 + 0.025592327117919922i,-0.04633331298828125 + 0.028056621551513672i,-0.045184135437011719 + 0.030652999877929688i,-0.043166637420654297 + 0.032819747924804688i,-0.0414886474609375 + 0.034875392913818359i,-0.039392948150634766 + 0.037325859069824219i,-0.036931991577148438 + 0.039043903350830078i,-0.034631729125976563 + 0.041110992431640625i,-0.031896591186523438 + 0.042901515960693359i,-0.028852462768554688 + 0.045256137847900391i,-0.025554656982421875 + 0.046536445617675781i,-0.021664619445800781 + 0.047990798950195313i,-0.017600059509277344 + 0.049321651458740234i,-0.012505531311035156 + 0.049671649932861328i,-0.0063958168029785156 + 0.049523830413818359i
-0.055186748504638672 + 0.0040774345397949219i,-0.054563045501708984 + 0.0065922737121582031i,-0.054024696350097656 + 0.0089902877807617188i,-0.053100109100341797 + 0.011836051940917969i,-0.053224563598632813 + 0.014171123504638672i,-0.051990509033203125 + 0.016589641571044922i,-0.051561832427978516 + 0.019616127014160156i,-0.050323009490966797 + 0.021672248840332031i,-0.049612522125244141 + 0.023899555206298828i,-0.048138618469238281 + 0.026601314544677734i,-0.04669952392578125 + 0.028654575347900391i,-0.045881271362304688 + 0.031338214874267578i,-0.044122219085693359 + 0.033529281616210938i,-0.04210662841796875 + 0.035283565521240234i,-0.04030609130859375 + 0.037106990814208984i,-0.038837909698486328 + 0.038827419281005859i,-0.036261081695556641 + 0.040754318237304688i,-0.035211563110351563 + 0.042997837066650391i,-0.032481193542480469 + 0.043787002563476563i,-0.030591964721679688 + 0.046063423156738281i,-0.028084278106689453 + 0.046984672546386719i,-0.026402950286865234 + 0.048393726348876953i,-0.023456573486328125 + 0.049721717834472656i,-0.021392345428466797 + 0.050681114196777344i,-0.018851280212402344 + 0.051838397979736328i,-0.016118526458740234 + 0.052659988403320313i,-0.013569831848144531 + 0.052914619445800781i,-0.011079788208007813 + 0.053748130798339844i,-0.0056920051574707031 + 0.054196357727050781i,-0.0029783248901367188 + 0.055243015289306641i,-0.00040483474731445313 + 0.05474853515625i,0.0025196075439453125 + 0.055068492889404297i,0.0051479339599609375 + 0.054194450378417969i,0.007656097412109375 + 0.054597854614257813i,0.010250568389892578 + 0.053457736968994141i,0.013072490692138672 + 0.053366661071777344i,0.015704631805419922 + 0.052168846130371094i,0.018199920654296875 + 0.052138328552246094i,0.020791053771972656 + 0.050867080688476563i,0.023074626922607422 + 0.049019813537597656i,0.025538444519042969 + 0.04790496826171875i,0.027894020080566406 + 0.045881748199462891i,0.031058788299560547 + 0.045117855072021484i,0.032652378082275391 + 0.042746067047119141i,0.035449504852294922 + 0.041209697723388672i,0.036953926086425781 + 0.039162635803222656i,0.039518356323242188 + 0.036998748779296875i,0.041348934173583984 + 0.034538745880126953i,0.043068885803222656 + 0.032253742218017578i,0.044702053070068359 + 0.028993606567382813i,0.047185420989990234 + 0.026624202728271484i,0.048507213592529297 + 0.022942543029785156i,0.048756599426269531 + 0.019204139709472656i,0.049390792846679688 + 0.014609336853027344i,0.050724983215332031 + 0.0097422599792480469i,0.049535751342773438 + 0.0036821365356445313i
-0.040384292602539063 + 0.037281990051269531i,-0.038534164428710938 + 0.039330482482910156i,-0.036144733428955078 + 0.041204452514648438i,-0.034265041351318359 + 0.042508602142333984i,-0.032786369323730469 + 0.044565677642822266i,-0.0301513671875 + 0.0455474853515625i,-0.028139114379882813 + 0.047537803649902344i,-0.025498390197753906 + 0.048343181610107422i,-0.023328781127929688 + 0.049403667449951172i,-0.020966529846191406 + 0.050425529479980469i,-0.018771171569824219 + 0.051557064056396484i,-0.016232967376708984 + 0.052860260009765625i,-0.013281345367431641 + 0.053203582763671875i,-0.010704994201660156 + 0.054269790649414063i,-0.0083003044128417969 + 0.054430961608886719i,-0.005496978759765625 + 0.054883480072021484i,-0.0029902458190917969 + 0.054825782775878906i,-0.0006618499755859375 + 0.055518627166748047i,0.002056121826171875 + 0.05475616455078125i,0.0053143501281738281 + 0.055208206176757813i,0.0074605941772460938 + 0.053876876831054688i,0.0096950531005859375 + 0.054279327392578125i,0.012655258178710938 + 0.053621768951416016i,0.014957427978515625 + 0.052582263946533203i,0.01760101318359375 + 0.052130699157714844i,0.020394802093505859 + 0.05109405517578125i,0.023059368133544922 + 0.04998016357421875i,0.025155067443847656 + 0.048573493957519531i,0.029591083526611328 + 0.046167850494384766i,0.032177448272705078 + 0.044953823089599609i,0.034257411956787109 + 0.042718887329101563i,0.03618621826171875 + 0.041326522827148438i,0.037712574005126953 + 0.038735866546630859i,0.039862632751464844 + 0.037713527679443359i,0.041157245635986328 + 0.035604476928710938i,0.043138504028320313 + 0.033205509185791016i,0.044969558715820313 + 0.030714988708496094i,0.046785354614257813 + 0.028952121734619141i,0.047782421112060547 + 0.026153087615966797i,0.0490264892578125 + 0.023921966552734375i,0.050156116485595703 + 0.021381855010986328i,0.051029682159423828 + 0.018416404724121094i,0.052466392517089844 + 0.015937328338623047i,0.052642822265625 + 0.013129711151123047i,0.053430080413818359 + 0.010389804840087891i,0.053213119506835938 + 0.0072398185729980469i,0.053915023803710938 + 0.0043344497680664063i,0.053832054138183594 + 0.0012354850769042969i,0.053769111633300781 - 0.0016064643859863281i,0.053481101989746094 - 0.0053777694702148438i,0.052534103393554688 - 0.0087637901306152344i,0.051465988159179688 - 0.01239013671875i,0.050498008728027344 - 0.0161285400390625i,0.048141956329345703 - 0.019923686981201172i,0.045558452606201172 - 0.024089813232421875i,0.040879726409912109 - 0.028219699859619141i
-0.040366172790527344 + 0.032889366149902344i,-0.039200782775878906 + 0.034779071807861328i,-0.037209510803222656 + 0.037096500396728516i,-0.035786628723144531 + 0.039164066314697266i,-0.033212184906005859 + 0.039947032928466797i,-0.031697750091552734 + 0.042069435119628906i,-0.029389381408691406 + 0.043174266815185547i,-0.027879714965820313 + 0.044703960418701172i,-0.025195121765136719 + 0.046109676361083984i,-0.022981643676757813 + 0.047256946563720703i,-0.020666599273681641 + 0.048716068267822266i,-0.018158435821533203 + 0.048596382141113281i,-0.015987873077392578 + 0.050177097320556641i,-0.013619422912597656 + 0.051012516021728516i,-0.011216163635253906 + 0.051360130310058594i,-0.0086069107055664063 + 0.051891326904296875i,-0.0058736801147460938 + 0.052457809448242188i,-0.0033750534057617188 + 0.052002429962158203i,-0.000885009765625 + 0.052803993225097656i,0.0016589164733886719 + 0.051898479461669922i,0.0040841102600097656 + 0.052534580230712891i,0.0070300102233886719 + 0.052027702331542969i,0.0090813636779785156 + 0.051731586456298828i,0.011968612670898438 + 0.050768852233886719i,0.013887405395507813 + 0.050266742706298828i,0.016674518585205078 + 0.050021171569824219i,0.019300460815429688 + 0.048997879028320313i,0.02167510986328125 + 0.048351287841796875i,0.025821208953857422 + 0.046334266662597656i,0.028161525726318359 + 0.04363250732421875i,0.030267715454101563 + 0.042774200439453125i,0.03209686279296875 + 0.041249752044677734i,0.034900665283203125 + 0.04012298583984375i,0.036275386810302734 + 0.037536144256591797i,0.038043498992919922 + 0.036326408386230469i,0.039739131927490234 + 0.034060478210449219i,0.041643619537353516 + 0.032159805297851563i,0.042680740356445313 + 0.029458522796630859i,0.044593334197998047 + 0.027112007141113281i,0.045888423919677734 + 0.025070667266845703i,0.047078132629394531 + 0.022649288177490234i,0.048458099365234375 + 0.020277976989746094i,0.048388957977294922 + 0.017369747161865234i,0.050073623657226563 + 0.014983654022216797i,0.050091266632080078 + 0.012001991271972656i,0.051316261291503906 + 0.0095438957214355469i,0.050903797149658203 + 0.0066161155700683594i,0.051629066467285156 + 0.003574371337890625i,0.051556587219238281 + 0.00074911117553710938i,0.051281929016113281 - 0.0026674270629882813i,0.0501708984375 - 0.0057287216186523438i,0.049893379211425781 - 0.0094695091247558594i,0.048985004425048828 - 0.013207435607910156i,0.047594070434570313 - 0.017010211944580078i,0.044019699096679688 - 0.020732402801513672i,0.040308475494384766 - 0.025499343872070313i
0.0021190643310546875 + 0.052869319915771484i,0.0046710968017578125 + 0.052059650421142578i,0.00732421875 + 0.052131175994873047i,0.00949859619140625 + 0.051277637481689453i,0.012139320373535156 + 0.051451206207275391i,0.014119625091552734 + 0.050117015838623047i,0.017199993133544922 + 0.050192356109619141i,0.018977165222167969 + 0.048467636108398438i,0.020981788635253906 + 0.047757148742675781i,0.023912429809570313 + 0.046761035919189453i,0.025901317596435547 + 0.045485973358154297i,0.028563976287841797 + 0.044783592224121094i,0.03046417236328125 + 0.042795658111572266i,0.032840728759765625 + 0.041281700134277344i,0.034219741821289063 + 0.039455890655517578i,0.036282062530517578 + 0.037849903106689453i,0.038035869598388672 + 0.035554885864257813i,0.040218353271484375 + 0.034989833831787109i,0.041024684906005859 + 0.032303333282470703i,0.043371200561523438 + 0.030058860778808594i,0.044239997863769531 + 0.027604579925537109i,0.045470237731933594 + 0.026177406311035156i,0.047014713287353516 + 0.023886680603027344i,0.04769134521484375 + 0.021885871887207031i,0.049363136291503906 + 0.019367694854736328i,0.0498504638671875 + 0.016431331634521484i,0.050410270690917969 + 0.013749122619628906i,0.050554275512695313 + 0.011634349822998047i,0.051620960235595703 + 0.0066127777099609375i,0.053040027618408203 + 0.0044054985046386719i,0.052196502685546875 + 0.0014696121215820313i,0.052717208862304688 - 0.0014281272888183594i,0.051698207855224609 - 0.0037927627563476563i,0.052014350891113281 - 0.006183624267578125i,0.051418781280517578 - 0.0085439682006835938i,0.051186561584472656 - 0.01129913330078125i,0.050076961517333984 - 0.013800621032714844i,0.050022602081298828 - 0.016587257385253906i,0.048595428466796875 - 0.018993854522705078i,0.047510147094726563 - 0.021453857421875i,0.046027660369873047 - 0.023834228515625i,0.044428825378417969 - 0.025859832763671875i,0.044173717498779297 - 0.028947830200195313i,0.041460037231445313 - 0.030513763427734375i,0.040282726287841797 - 0.033209323883056641i,0.037889480590820313 - 0.034369468688964844i,0.035982608795166016 - 0.037228584289550781i,0.033782958984375 - 0.03861236572265625i,0.031544208526611328 - 0.041083335876464844i,0.028743743896484375 - 0.042249202728271484i,0.026213645935058594 - 0.044677257537841797i,0.02222442626953125 - 0.045532703399658203i,0.018980503082275391 - 0.046804428100585938i,0.014910697937011719 - 0.047200202941894531i,0.01007080078125 - 0.048291683197021484i,0.0036897659301757813 - 0.047451972961425781i
0.035897254943847656 + 0.038625717163085938i,0.037543296813964844 + 0.036770343780517578i,0.039393424987792969 + 0.034750461578369141i,0.040201187133789063 + 0.032650947570800781i,0.042644977569580078 + 0.031385421752929688i,0.043153762817382813 + 0.028452873229980469i,0.046090126037597656 + 0.026552200317382813i,0.046159267425537109 + 0.024057388305664063i,0.047292709350585938 + 0.022247314453125i,0.048650264739990234 + 0.019914150238037109i,0.049861907958984375 + 0.017472267150878906i,0.050822734832763672 + 0.015423774719238281i,0.0510101318359375 + 0.012444019317626953i,0.051290988922119141 + 0.010171890258789063i,0.052094936370849609 + 0.0075654983520507813i,0.052247047424316406 + 0.0051198005676269531i,0.051815032958984375 + 0.0025119781494140625i,0.053255081176757813 + 0.0002593994140625i,0.051901817321777344 - 0.0024962425231933594i,0.052690505981445313 - 0.0053234100341796875i,0.051408290863037109 - 0.0074405670166015625i,0.0514678955078125 - 0.0099811553955078125i,0.051056385040283203 - 0.012758255004882813i,0.050525188446044922 - 0.015058517456054688i,0.050423622131347656 - 0.01767730712890625i,0.048522472381591797 - 0.019977092742919922i,0.047284603118896484 - 0.022032737731933594i,0.045740604400634766 - 0.024239540100097656i,0.043476104736328125 - 0.028603553771972656i,0.042899608612060547 - 0.031476020812988281i,0.040487289428710938 - 0.032773494720458984i,0.039086818695068359 - 0.035378932952880859i,0.036345481872558594 - 0.036493301391601563i,0.035454273223876953 - 0.038954734802246094i,0.033060073852539063 - 0.040239810943603516i,0.031338691711425781 - 0.042059421539306641i,0.028720855712890625 - 0.043303489685058594i,0.02728271484375 - 0.045407295227050781i,0.024780750274658203 - 0.046164989471435547i,0.022034168243408203 - 0.047183513641357422i,0.019413948059082031 - 0.048340797424316406i,0.016719818115234375 - 0.04883575439453125i,0.014402389526367188 - 0.050683021545410156i,0.011249065399169922 - 0.050468921661376953i,0.0089788436889648438 - 0.051432609558105469i,0.0058727264404296875 - 0.050694942474365234i,0.0032105445861816406 - 0.051478862762451172i,-8.4400177001953125E-05 - 0.051233291625976563i,-0.0029878616333007813 - 0.051577568054199219i,-0.0060634613037109375 - 0.050601005554199219i,-0.0090608596801757813 - 0.050991058349609375i,-0.012906551361083984 - 0.049036502838134766i,-0.016267776489257813 - 0.048155784606933594i,-0.0197906494140625 - 0.045216083526611328i,-0.02431488037109375 - 0.043259143829345703i,-0.027920722961425781 - 0.038575649261474609i
0.051396846771240234 + 0.0067396163940429688i,0.051953315734863281 + 0.0040946006774902344i,0.052837848663330078 + 0.0018396377563476563i,0.053151130676269531 - 0.00082492828369140625i,0.052149772644042969 - 0.0036458969116210938i,0.052631378173828125 - 0.0062093734741210938i,0.051345348358154297 - 0.0085501670837402344i,0.0516204833984375 - 0.011179924011230469i,0.050852298736572266 - 0.013374805450439453i,0.050086498260498047 - 0.015847206115722656i,0.049545764923095703 - 0.018316268920898438i,0.047584056854248047 - 0.020380973815917969i,0.047062873840332031 - 0.022795200347900391i,0.046009540557861328 - 0.025071620941162109i,0.044907093048095703 - 0.027262210845947266i,0.043698787689208984 - 0.029883861541748047i,0.042571544647216797 - 0.032129764556884766i,0.040124893188476563 - 0.033581733703613281i,0.038897037506103516 - 0.035805702209472656i,0.036481857299804688 - 0.037303924560546875i,0.035252094268798828 - 0.039551258087158203i,0.033137798309326172 - 0.040798664093017578i,0.030973434448242188 - 0.042230606079101563i,0.029132843017578125 - 0.044083595275878906i,0.026776790618896484 - 0.044203758239746094i,0.024534225463867188 - 0.046243667602539063i,0.022190570831298828 - 0.047433853149414063i,0.019913673400878906 - 0.048855781555175781i,0.015172958374023438 - 0.050656318664550781i,0.012578964233398438 - 0.050269126892089844i,0.010167121887207031 - 0.051785945892333984i,0.0074019432067871094 - 0.051494121551513672i,0.0050821304321289063 - 0.052275657653808594i,0.0021238327026367188 - 0.052097320556640625i,-0.000461578369140625 - 0.052517890930175781i,-0.0030775070190429688 - 0.052188396453857422i,-0.0057954788208007813 - 0.052112579345703125i,-0.008289337158203125 - 0.050990104675292969i,-0.010677814483642578 - 0.0508270263671875i,-0.013669013977050781 - 0.050288200378417969i,-0.016233444213867188 - 0.049742698669433594i,-0.018983364105224609 - 0.049188137054443359i,-0.020619392395019531 - 0.047056198120117188i,-0.023672580718994141 - 0.046407222747802734i,-0.025934219360351563 - 0.044496536254882813i,-0.028747081756591797 - 0.043660640716552734i,-0.03078460693359375 - 0.04120635986328125i,-0.033270359039306641 - 0.039567947387695313i,-0.035414695739746094 - 0.03694915771484375i,-0.037567615509033203 - 0.035309314727783203i,-0.038865089416503906 - 0.031932830810546875i,-0.041268348693847656 - 0.029870510101318359i,-0.043249607086181641 - 0.026114463806152344i,-0.045358180999755859 - 0.022675037384033203i,-0.045379638671875 - 0.017244338989257813i,-0.0463714599609375 - 0.011912822723388672i
0.037057876586914063 - 0.036329269409179688i,0.035646438598632813 - 0.038177013397216797i,0.033947944641113281 - 0.040508747100830078i,0.032231330871582031 - 0.041951179504394531i,0.029847145080566406 - 0.042519569396972656i,0.028074264526367188 - 0.044672489166259766i,0.025479316711425781 - 0.045571327209472656i,0.023502826690673828 - 0.047071456909179688i,0.021315097808837891 - 0.047820568084716797i,0.018627166748046875 - 0.049086093902587891i,0.016516685485839844 - 0.050063133239746094i,0.01385498046875 - 0.050151824951171875i,0.011289596557617188 - 0.051042556762695313i,0.0089120864868164063 - 0.051782608032226563i,0.0063176155090332031 - 0.051922798156738281i,0.0035905838012695313 - 0.052814960479736328i,0.0014085769653320313 - 0.05340576171875i,-0.0009822845458984375 - 0.052112579345703125i,-0.003665924072265625 - 0.052506446838378906i,-0.00592803955078125 - 0.051736354827880859i,-0.00864410400390625 - 0.052073478698730469i,-0.011205673217773438 - 0.051076412200927734i,-0.013436317443847656 - 0.050370216369628906i,-0.016137123107910156 - 0.050289154052734375i,-0.018478870391845703 - 0.048739910125732422i,-0.020821571350097656 - 0.047783374786376953i,-0.023447513580322266 - 0.047121047973632813i,-0.025975227355957031 - 0.04576873779296875i,-0.030203342437744141 - 0.043731212615966797i,-0.031795024871826172 - 0.041221141815185547i,-0.033838272094726563 - 0.039973735809326172i,-0.035674095153808594 - 0.037872791290283203i,-0.038008689880371094 - 0.036731719970703125i,-0.039247989654541016 - 0.034052371978759766i,-0.041439533233642578 - 0.032139778137207031i,-0.042636394500732422 - 0.030033111572265625i,-0.044346332550048828 - 0.028457164764404297i,-0.045095443725585938 - 0.025338649749755859i,-0.046626091003417969 - 0.022828102111816406i,-0.047888278961181641 - 0.02031707763671875i,-0.049390792846679688 - 0.017970561981201172i,-0.050137519836425781 - 0.015704154968261719i,-0.049847126007080078 - 0.013071060180664063i,-0.051340579986572266 - 0.0106353759765625i,-0.050962448120117188 - 0.0075731277465820313i,-0.051753520965576172 - 0.0047702789306640625i,-0.051218986511230469 - 0.0021085739135742188i,-0.0515594482421875 + 0.0012617111206054688i,-0.051177024841308594 + 0.0038576126098632813i,-0.051022529602050781 + 0.0070753097534179688i,-0.049433231353759766 + 0.0105133056640625i,-0.048388481140136719 + 0.013957023620605469i,-0.047666072845458984 + 0.017710685729980469i,-0.04575347900390625 + 0.021188735961914063i,-0.041875839233398438 + 0.024693489074707031i,-0.03778839111328125 + 0.029175758361816406i
0.0032320022583007813 + 0.0524444580078125i,0.0058107376098632813 + 0.052327632904052734i,0.0085034370422363281 + 0.052170276641845703i,0.010735034942626953 + 0.052042007446289063i,0.013100624084472656 + 0.050714969635009766i,0.015712261199951172 + 0.050719738006591797i,0.018205642700195313 + 0.049339771270751953i,0.020520687103271484 + 0.048757076263427734i,0.022947311401367188 + 0.047472000122070313i,0.025145053863525391 + 0.046603202819824219i,0.027462482452392578 + 0.045063972473144531i,0.029615879058837891 + 0.043489933013916016i,0.031625747680664063 + 0.042155742645263672i,0.033635616302490234 + 0.040782928466796875i,0.035750865936279297 + 0.039396286010742188i,0.037685394287109375 + 0.037528038024902344i,0.039427280426025391 + 0.035551548004150391i,0.041020870208740234 + 0.033426284790039063i,0.042931079864501953 + 0.031217098236083984i,0.044200420379638672 + 0.029249191284179688i,0.04575347900390625 + 0.027223110198974609i,0.046662807464599609 + 0.024729728698730469i,0.047864913940429688 + 0.022767066955566406i,0.048809051513671875 + 0.020083904266357422i,0.049881935119628906 + 0.0177001953125i,0.050647735595703125 + 0.015142440795898438i,0.051319599151611328 + 0.012829780578613281i,0.051809310913085938 + 0.010388851165771484i,0.052813529968261719 + 0.0048241615295410156i,0.052451133728027344 + 0.0019669532775878906i,0.052573680877685547 - 0.00037813186645507813i,0.052231788635253906 - 0.0029125213623046875i,0.052700519561767578 - 0.0056262016296386719i,0.05187225341796875 - 0.0081472396850585938i,0.051493644714355469 - 0.010512351989746094i,0.050858497619628906 - 0.013371944427490234i,0.050322532653808594 - 0.015687942504882813i,0.049337387084960938 - 0.018266677856445313i,0.047924518585205078 - 0.020747661590576172i,0.04697418212890625 - 0.023323535919189453i,0.045471668243408203 - 0.025718212127685547i,0.044423580169677734 - 0.028066635131835938i,0.042552947998046875 - 0.030386924743652344i,0.040887832641601563 - 0.032455921173095703i,0.038887500762939453 - 0.034465312957763672i,0.036913871765136719 - 0.036887645721435547i,0.034838199615478516 - 0.038402557373046875i,0.032706260681152344 - 0.040413856506347656i,0.029611587524414063 - 0.042196273803710938i,0.027207851409912109 - 0.044233798980712891i,0.024075031280517578 - 0.045131683349609375i,0.020761489868164063 - 0.046761512756347656i,0.017415523529052734 - 0.047905445098876953i,0.012918472290039063 - 0.048772811889648438i,0.0077486038208007813 - 0.048632621765136719i,0.0022182464599609375 - 0.047979831695556641i
