0.025557994842529297 - 0.0022683143615722656i,0.023557186126708984 - 0.0051984786987304688i,0.020746231079101563 - 0.0069122314453125i,0.018741607666015625 - 0.0083551406860351563i,0.021469593048095703 - 0.011105060577392578i,0.017796993255615234 - 0.01039886474609375i,0.019963741302490234 - 0.014477252960205078i,0.017150402069091797 - 0.013566017150878906i,0.015631675720214844 - 0.014095783233642578i,0.016814231872558594 - 0.016169548034667969i,0.014592647552490234 - 0.015020847320556641i,0.017354011535644531 - 0.019128799438476563i,0.015360832214355469 - 0.018492698669433594i,0.014425277709960938 - 0.018455028533935547i,0.014501094818115234 - 0.019659042358398438i,0.013390541076660156 - 0.019508838653564453i,0.012500286102294922 - 0.018495559692382813i,0.014273643493652344 - 0.022811412811279297i,0.011965751647949219 - 0.020669937133789063i,0.013654232025146484 - 0.022968292236328125i,0.011917591094970703 - 0.022328853607177734i,0.011715412139892578 - 0.025002479553222656i,0.011790752410888672 - 0.025232791900634766i,0.011208057403564453 - 0.025518894195556641i,0.011334419250488281 - 0.026819705963134766i,0.010680198669433594 - 0.027428627014160156i,0.0097637176513671875 - 0.027009010314941406i,0.0088586807250976563 - 0.02568817138671875i,0.0067510604858398438 - 0.023663043975830078i,0.0080060958862304688 - 0.03401947021484375i,0.00591278076171875 - 0.031229019165039063i,0.0052595138549804688 - 0.030082225799560547i,0.0036587715148925781 - 0.028309822082519531i,0.00324249267578125 - 0.034642219543457031i,0.0014328956604003906 - 0.029929161071777344i,0.00065851211547851563 - 0.035347461700439453i,-0.00013875961303710938 - 0.028403282165527344i,-0.0013675689697265625 - 0.035152912139892578i,-0.0031452178955078125 - 0.033186435699462891i,-0.0059566497802734375 - 0.033627986907958984i,-0.0065336227416992188 - 0.031769275665283203i,-0.00829315185546875 - 0.028537750244140625i,-0.011729717254638672 - 0.032535552978515625i,-0.012257575988769531 - 0.027280807495117188i,-0.015359878540039063 - 0.030490875244140625i,-0.015128135681152344 - 0.025570869445800781i,-0.020145416259765625 - 0.02523040771484375i,-0.019438743591308594 - 0.022626399993896484i,-0.024036884307861328 - 0.021139144897460938i,-0.023823261260986328 - 0.018229961395263672i,-0.031359195709228516 - 0.016132831573486328i,-0.030237197875976563 - 0.010634422302246094i,-0.028250694274902344 - 0.0057463645935058594i,-0.025685310363769531 - 0.00038480758666992188i,-0.031885147094726563 + 0.0047316551208496094i,-0.025190353393554688 + 0.010508537292480469i
0.023832798004150391 - 0.008731842041015625i,0.021537303924560547 - 0.011252403259277344i,0.017916202545166016 - 0.012307167053222656i,0.016022682189941406 - 0.012218475341796875i,0.0174560546875 - 0.016003608703613281i,0.014298915863037109 - 0.014947414398193359i,0.016087055206298828 - 0.019292831420898438i,0.0133209228515625 - 0.016765594482421875i,0.012284755706787109 - 0.017122745513916016i,0.013105869293212891 - 0.019647598266601563i,0.010218143463134766 - 0.017324447631835938i,0.013073921203613281 - 0.022812843322753906i,0.011713981628417969 - 0.020824432373046875i,0.010867118835449219 - 0.020518779754638672i,0.0099229812622070313 - 0.021531581878662109i,0.010110855102539063 - 0.020902156829833984i,0.0091805458068847656 - 0.019734382629394531i,0.0100860595703125 - 0.025168895721435547i,0.00852203369140625 - 0.021749496459960938i,0.0099058151245117188 - 0.024805068969726563i,0.00865936279296875 - 0.023798465728759766i,0.0084581375122070313 - 0.026078701019287109i,0.0086817741394042969 - 0.026336193084716797i,0.0075278282165527344 - 0.026148319244384766i,0.0084776878356933594 - 0.027700424194335938i,0.0075845718383789063 - 0.027981758117675781i,0.0067615509033203125 - 0.027260303497314453i,0.0064644813537597656 - 0.025251388549804688i,0.0048422813415527344 - 0.022306919097900391i,0.0059766769409179688 - 0.035583972930908203i,0.0044908523559570313 - 0.03070831298828125i,0.0034012794494628906 - 0.029232501983642578i,0.00243377685546875 - 0.027765274047851563i,0.0019845962524414063 - 0.034717559814453125i,0.00043535232543945313 - 0.028850555419921875i,-0.000453948974609375 - 0.035898685455322266i,-0.0011358261108398438 - 0.027358055114746094i,-0.0022168159484863281 - 0.036045074462890625i,-0.0031585693359375 - 0.033425807952880859i,-0.0050258636474609375 - 0.033559799194335938i,-0.0057492256164550781 - 0.031451702117919922i,-0.00733184814453125 - 0.028054237365722656i,-0.010228157043457031 - 0.032526016235351563i,-0.010852813720703125 - 0.027380943298339844i,-0.014258384704589844 - 0.030961036682128906i,-0.013086795806884766 - 0.025832176208496094i,-0.018339157104492188 - 0.026108264923095703i,-0.017392635345458984 - 0.024423122406005859i,-0.022455692291259766 - 0.022238731384277344i,-0.022619247436523438 - 0.020024299621582031i,-0.029218196868896484 - 0.018125534057617188i,-0.028125286102294922 - 0.013080596923828125i,-0.02667999267578125 - 0.0079193115234375i,-0.024679183959960938 - 0.0032496452331542969i,-0.032378673553466797 + 0.00030755996704101563i,-0.026152610778808594 + 0.0072207450866699219i
-0.020499229431152344 + 0.012739658355712891i,-0.017359733581542969 + 0.014314651489257813i,-0.013761043548583984 + 0.013669013977050781i,-0.010653495788574219 + 0.013833045959472656i,-0.014080524444580078 + 0.017791748046875i,-0.0098772048950195313 + 0.01505279541015625i,-0.010929584503173828 + 0.020947456359863281i,-0.0081424713134765625 + 0.017584800720214844i,-0.0076174736022949219 + 0.018212318420410156i,-0.0071325302124023438 + 0.020869255065917969i,-0.0057964324951171875 + 0.017533302307128906i,-0.0064215660095214844 + 0.024342536926269531i,-0.0054373741149902344 + 0.021271705627441406i,-0.0045313835144042969 + 0.02099609375i,-0.0039091110229492188 + 0.021411418914794922i,-0.0034627914428710938 + 0.020387172698974609i,-0.0027370452880859375 + 0.019209861755371094i,-0.0032100677490234375 + 0.025677680969238281i,-0.0021662712097167969 + 0.021518707275390625i,-0.0023837089538574219 + 0.025393486022949219i,-0.00080776214599609375 + 0.023053646087646484i,-0.0002574920654296875 + 0.025668621063232422i,0.00065183639526367188 + 0.02569580078125i,0.00087261199951171875 + 0.025076866149902344i,0.0012912750244140625 + 0.027789592742919922i,0.0020804405212402344 + 0.026582717895507813i,0.0030603408813476563 + 0.025469303131103516i,0.0026950836181640625 + 0.023705005645751953i,0.0031061172485351563 + 0.019569873809814453i,0.0065302848815917969 + 0.033640861511230469i,0.0060515403747558594 + 0.027776241302490234i,0.0071973800659179688 + 0.026797771453857422i,0.0074748992919921875 + 0.023400306701660156i,0.010550975799560547 + 0.031297206878662109i,0.010126113891601563 + 0.024625778198242188i,0.013270378112792969 + 0.031184673309326172i,0.011096477508544922 + 0.022082328796386719i,0.015381336212158203 + 0.030998706817626953i,0.015118598937988281 + 0.027430534362792969i,0.016881465911865234 + 0.026169776916503906i,0.016354084014892578 + 0.023221969604492188i,0.015940666198730469 + 0.019812583923339844i,0.022551059722900391 + 0.023589134216308594i,0.020201206207275391 + 0.018024444580078125i,0.024747371673583984 + 0.020817279815673828i,0.020750999450683594 + 0.015475749969482422i,0.026368141174316406 + 0.014524459838867188i,0.023870944976806641 + 0.012085914611816406i,0.028611660003662109 + 0.0088582038879394531i,0.026445865631103516 + 0.0062541961669921875i,0.03276824951171875 + 0.0027689933776855469i,0.028865814208984375 - 0.0014591217041015625i,0.025283336639404297 - 0.0049252510070800781i,0.019967079162597656 - 0.0084166526794433594i,0.026165485382080078 - 0.015450954437255859i,0.017405986785888672 - 0.017761707305908203i
-0.020871639251708984 - 0.014488697052001953i,-0.020417213439941406 - 0.010813713073730469i,-0.019486427307128906 - 0.0078425407409667969i,-0.018376827239990234 - 0.0057139396667480469i,-0.022628307342529297 - 0.0058116912841796875i,-0.019596576690673828 - 0.0030059814453125i,-0.024664402008056641 - 0.00241851806640625i,-0.021028518676757813 - 0.0014982223510742188i,-0.020057201385498047 - 0.00011777877807617188i,-0.022832393646240234 + 0.00057125091552734375i,-0.019900798797607422 + 0.001392364501953125i,-0.025924205780029297 + 0.0021929740905761719i,-0.022881984710693359 + 0.0028309822082519531i,-0.02225494384765625 + 0.0033564567565917969i,-0.022686481475830078 + 0.00360107421875i,-0.021409034729003906 + 0.0040326118469238281i,-0.019928455352783203 + 0.0045318603515625i,-0.025775909423828125 + 0.0058946609497070313i,-0.021685600280761719 + 0.0055856704711914063i,-0.025590419769287109 + 0.0066237449645996094i,-0.022761344909667969 + 0.007587432861328125i,-0.025556564331054688 + 0.0085210800170898438i,-0.025774955749511719 + 0.0091466903686523438i,-0.025162220001220703 + 0.0093698501586914063i,-0.027132034301757813 + 0.010020256042480469i,-0.026013374328613281 + 0.010613441467285156i,-0.024436473846435547 + 0.010761260986328125i,-0.022923946380615234 + 0.010014057159423828i,-0.019948005676269531 + 0.0096096992492675781i,-0.031079292297363281 + 0.016981601715087891i,-0.025998592376708984 + 0.014792442321777344i,-0.025218009948730469 + 0.014868736267089844i,-0.022251129150390625 + 0.015158653259277344i,-0.027817249298095703 + 0.019389152526855469i,-0.022137165069580078 + 0.016456127166748047i,-0.027118682861328125 + 0.021996974945068359i,-0.020037651062011719 + 0.018292427062988281i,-0.026050567626953125 + 0.023698329925537109i,-0.0230865478515625 + 0.02254486083984375i,-0.021700859069824219 + 0.024212837219238281i,-0.019933223724365234 + 0.023401260375976563i,-0.016278266906738281 + 0.022268772125244141i,-0.017735481262207031 + 0.028220653533935547i,-0.012781143188476563 + 0.024396896362304688i,-0.014697551727294922 + 0.029859066009521484i,-0.011194705963134766 + 0.024882316589355469i,-0.0082216262817382813 + 0.029977321624755859i,-0.0071592330932617188 + 0.027883052825927734i,-0.0026502609252929688 + 0.030611991882324219i,-0.00086641311645507813 + 0.028727531433105469i,0.0044450759887695313 + 0.033700466156005859i,0.0081076622009277344 + 0.029223918914794922i,0.0105133056640625 + 0.024915218353271484i,0.013309478759765625 + 0.020352363586425781i,0.021047115325927734 + 0.023229598999023438i,0.022116661071777344 + 0.015064716339111328i
-0.020852088928222656 - 0.010698795318603516i,-0.020346164703369141 - 0.0073018074035644531i,-0.018681049346923828 - 0.0045542716979980469i,-0.016868114471435547 - 0.0026373863220214844i,-0.021701812744140625 - 0.0027394294738769531i,-0.017320156097412109 - 0.0011272430419921875i,-0.02271270751953125 + 0.0011944770812988281i,-0.018898963928222656 + 0.0018148422241210938i,-0.018945693969726563 + 0.0022635459899902344i,-0.021079540252685547 + 0.0039091110229492188i,-0.017255783081054688 + 0.0033240318298339844i,-0.022990226745605469 + 0.0061745643615722656i,-0.020842552185058594 + 0.0057392120361328125i,-0.019896030426025391 + 0.0063381195068359375i,-0.020290374755859375 + 0.0071239471435546875i,-0.019140243530273438 + 0.0070099830627441406i,-0.017878055572509766 + 0.0071768760681152344i,-0.023087978363037109 + 0.0095152854919433594i,-0.019114971160888672 + 0.0083804130554199219i,-0.022184848785400391 + 0.010241985321044922i,-0.019680500030517578 + 0.010399818420410156i,-0.022003650665283203 + 0.011820316314697266i,-0.021800518035888672 + 0.012038707733154297i,-0.020480632781982422 + 0.012539863586425781i,-0.02292633056640625 + 0.01427459716796875i,-0.021638870239257813 + 0.014093875885009766i,-0.020574569702148438 + 0.014184474945068359i,-0.01883697509765625 + 0.013357162475585938i,-0.015629768371582031 + 0.012074947357177734i,-0.025060653686523438 + 0.020961284637451172i,-0.020735740661621094 + 0.018630504608154297i,-0.019821643829345703 + 0.019033908843994141i,-0.016672134399414063 + 0.017409324645996094i,-0.021386146545410156 + 0.022755146026611328i,-0.016455173492431641 + 0.019653797149658203i,-0.020191669464111328 + 0.025094032287597656i,-0.014173507690429688 + 0.019718170166015625i,-0.019237518310546875 + 0.027211666107177734i,-0.01682281494140625 + 0.025556564331054688i,-0.014670372009277344 + 0.026879310607910156i,-0.012881755828857422 + 0.025055885314941406i,-0.009929656982421875 + 0.023566722869873047i,-0.009914398193359375 + 0.029411792755126953i,-0.0065464973449707031 + 0.025538444519042969i,-0.0066742897033691406 + 0.030447959899902344i,-0.0043654441833496094 + 0.025094509124755859i,-0.00083637237548828125 + 0.029117107391357422i,0.00019598007202148438 + 0.026040554046630859i,0.0047397613525390625 + 0.028397560119628906i,0.0058798789978027344 + 0.025248050689697266i,0.012464523315429688 + 0.029157638549804688i,0.01399993896484375 + 0.024330615997314453i,0.015257835388183594 + 0.01885986328125i,0.016210079193115234 + 0.014483451843261719i,0.024629116058349609 + 0.01581573486328125i,0.022990226745605469 + 0.0072951316833496094i
-0.01715850830078125 - 0.017270088195800781i,-0.018225669860839844 - 0.014134407043457031i,-0.01760101318359375 - 0.011369705200195313i,-0.017131328582763672 - 0.0083160400390625i,-0.0217437744140625 - 0.0092701911926269531i,-0.019071578979492188 - 0.0070118904113769531i,-0.022955894470214844 - 0.0057191848754882813i,-0.019855976104736328 - 0.0036234855651855469i,-0.020374774932861328 - 0.0032238960266113281i,-0.022220134735107422 - 0.0022211074829101563i,-0.019876956939697266 - 0.00151824951171875i,-0.025154590606689453 - 0.00051403045654296875i,-0.022831916809082031 + 0.00054836273193359375i,-0.022932052612304688 + 0.00083112716674804688i,-0.023932456970214844 + 0.0016794204711914063i,-0.022380352020263672 + 0.0028214454650878906i,-0.021586894989013672 + 0.003002166748046875i,-0.025739192962646484 + 0.003170013427734375i,-0.023007392883300781 + 0.0036625862121582031i,-0.026197433471679688 + 0.0051860809326171875i,-0.023756027221679688 + 0.0054616928100585938i,-0.026614189147949219 + 0.0062747001647949219i,-0.026011466979980469 + 0.0075426101684570313i,-0.025735378265380859 + 0.0070819854736328125i,-0.027547836303710938 + 0.0090508460998535156i,-0.026593685150146484 + 0.009693145751953125i,-0.025830268859863281 + 0.010064125061035156i,-0.024373054504394531 + 0.009674072265625i,-0.021577835083007813 + 0.0096988677978515625i,-0.030193328857421875 + 0.015259265899658203i,-0.026597976684570313 + 0.013602733612060547i,-0.025494098663330078 + 0.014988899230957031i,-0.023062229156494141 + 0.014798164367675781i,-0.027714252471923828 + 0.018477439880371094i,-0.022866249084472656 + 0.017481803894042969i,-0.026068210601806641 + 0.020995140075683594i,-0.020943641662597656 + 0.018364429473876953i,-0.024995803833007813 + 0.023087978363037109i,-0.022656440734863281 + 0.021980762481689453i,-0.021160125732421875 + 0.02398681640625i,-0.019136428833007813 + 0.0241851806640625i,-0.016369819641113281 + 0.023161888122558594i,-0.017249584197998047 + 0.028598308563232422i,-0.013062953948974609 + 0.025433540344238281i,-0.013512611389160156 + 0.030013561248779297i,-0.0098671913146972656 + 0.025272846221923828i,-0.0079407691955566406 + 0.029976367950439453i,-0.0054483413696289063 + 0.028014183044433594i,-0.001861572265625 + 0.030534744262695313i,0.00037097930908203125 + 0.029270172119140625i,0.0059919357299804688 + 0.032947540283203125i,0.00962066650390625 + 0.028633594512939453i,0.011939525604248047 + 0.024387836456298828i,0.013867378234863281 + 0.019848823547363281i,0.022343635559082031 + 0.02112579345703125i,0.022806167602539063 + 0.012472629547119141i
-0.010844230651855469 - 0.022274017333984375i,-0.012847900390625 - 0.019438266754150391i,-0.013458251953125 - 0.016736507415771484i,-0.013644695281982422 - 0.013555526733398438i,-0.017513275146484375 - 0.015716552734375i,-0.015704154968261719 - 0.012721538543701172i,-0.020366668701171875 - 0.013052940368652344i,-0.017638683319091797 - 0.0104827880859375i,-0.018550395965576172 - 0.010458469390869141i,-0.02034759521484375 - 0.0094442367553710938i,-0.019075393676757813 - 0.0081701278686523438i,-0.024178981781005859 - 0.0088458061218261719i,-0.021932125091552734 - 0.0073103904724121094i,-0.021747589111328125 - 0.0069537162780761719i,-0.022522449493408203 - 0.0058369636535644531i,-0.022312641143798828 - 0.0054450035095214844i,-0.022060394287109375 - 0.0046219825744628906i,-0.025846958160400391 - 0.0053734779357910156i,-0.022989273071289063 - 0.0039916038513183594i,-0.025735378265380859 - 0.0041360855102539063i,-0.024738788604736328 - 0.0024762153625488281i,-0.026850223541259766 - 0.002758026123046875i,-0.026978492736816406 - 0.0019102096557617188i,-0.0269622802734375 - 0.0017142295837402344i,-0.028807640075683594 - 0.0013499259948730469i,-0.027826309204101563 - 0.00010633468627929688i,-0.028044223785400391 + 0.00089550018310546875i,-0.026224136352539063 + 0.00096750259399414063i,-0.024019241333007813 + 0.0017719268798828125i,-0.033735275268554688 + 0.0035271644592285156i,-0.0297393798828125 + 0.0041093826293945313i,-0.029523372650146484 + 0.0049195289611816406i,-0.02728271484375 + 0.0062413215637207031i,-0.031985759735107422 + 0.0074243545532226563i,-0.027777194976806641 + 0.0083374977111816406i,-0.032223224639892578 + 0.01019287109375i,-0.026605606079101563 + 0.009159088134765625i,-0.031772136688232422 + 0.012584209442138672i,-0.028980255126953125 + 0.012752532958984375i,-0.028745651245117188 + 0.015058517456054688i,-0.026206493377685547 + 0.015562057495117188i,-0.024160385131835938 + 0.015819549560546875i,-0.025746822357177734 + 0.020089149475097656i,-0.02129364013671875 + 0.018679141998291016i,-0.023996353149414063 + 0.023123741149902344i,-0.018648147583007813 + 0.020651340484619141i,-0.017871379852294922 + 0.025074481964111328i,-0.015126228332519531 + 0.024296760559082031i,-0.012778282165527344 + 0.027294158935546875i,-0.0098662376403808594 + 0.027350425720214844i,-0.0069499015808105469 + 0.032271385192871094i,-0.0017766952514648438 + 0.030008792877197266i,0.0016083717346191406 + 0.027112483978271484i,0.0057888031005859375 + 0.02428436279296875i,0.013077735900878906 + 0.027482509613037109i,0.016567230224609375 + 0.020383834838867188i
0.022470951080322266 - 0.00902557373046875i,0.0192718505859375 - 0.011479377746582031i,0.015903949737548828 - 0.011559963226318359i,0.013710975646972656 - 0.012187957763671875i,0.016185760498046875 - 0.016070842742919922i,0.013070106506347656 - 0.014955043792724609i,0.01340484619140625 - 0.019217014312744141i,0.010724067687988281 - 0.017518043518066406i,0.010508060455322266 - 0.017776966094970703i,0.01015472412109375 - 0.019802093505859375i,0.0087146759033203125 - 0.017689228057861328i,0.0092282295227050781 - 0.022593021392822266i,0.0080189704895019531 - 0.021402835845947266i,0.0068984031677246094 - 0.021121978759765625i,0.0067658424377441406 - 0.021919727325439453i,0.005706787109375 - 0.021733283996582031i,0.0050172805786132813 - 0.020638465881347656i,0.0057325363159179688 - 0.025117874145507813i,0.004451751708984375 - 0.022702693939208984i,0.0036230087280273438 - 0.025430679321289063i,0.0023655891418457031 - 0.02434539794921875i,0.0031418800354003906 - 0.025984287261962891i,0.001712799072265625 - 0.026812553405761719i,0.001495361328125 - 0.02570343017578125i,0.00040721893310546875 - 0.027863979339599609i,-0.00062513351440429688 - 0.028139591217041016i,-0.0017209053039550781 - 0.027418613433837891i,-0.0020632743835449219 - 0.025722503662109375i,-0.0028543472290039063 - 0.022950172424316406i,-0.0052065849304199219 - 0.032426834106445313i,-0.005161285400390625 - 0.029142379760742188i,-0.0070080757141113281 - 0.028607368469238281i,-0.0073304176330566406 - 0.026868343353271484i,-0.0091500282287597656 - 0.031167507171630859i,-0.010509967803955078 - 0.027005195617675781i,-0.012003421783447266 - 0.031126976013183594i,-0.011279582977294922 - 0.024802684783935547i,-0.014560699462890625 - 0.030145645141601563i,-0.014970779418945313 - 0.027475357055664063i,-0.016844749450683594 - 0.026334285736083984i,-0.017544746398925781 - 0.024368762969970703i,-0.0176849365234375 - 0.021872997283935547i,-0.023024082183837891 - 0.023962020874023438i,-0.021341323852539063 - 0.019007682800292969i,-0.025068283081054688 - 0.020381927490234375i,-0.022586822509765625 - 0.015184402465820313i,-0.026912212371826172 - 0.014767169952392578i,-0.025507450103759766 - 0.012235164642333984i,-0.028994560241699219 - 0.0087909698486328125i,-0.027486324310302734 - 0.0058279037475585938i,-0.032528400421142578 - 0.0020375251770019531i,-0.029764652252197266 + 0.002338409423828125i,-0.026438713073730469 + 0.0059313774108886719i,-0.022051811218261719 + 0.0095052719116210938i,-0.024657249450683594 + 0.017056465148925781i,-0.017029285430908203 + 0.019702911376953125i
0.0062279701232910156 - 0.022872447967529297i,0.0029788017272949219 - 0.022152423858642578i,0.00012302398681640625 - 0.0203857421875i,-0.0013728141784667969 - 0.019021034240722656i,-0.0030813217163085938 - 0.022981643676757813i,-0.00426483154296875 - 0.019433021545410156i,-0.0072269439697265625 - 0.022296905517578125i,-0.0074391365051269531 - 0.019179821014404297i,-0.0076513290405273438 - 0.018646240234375i,-0.010152816772460938 - 0.019762039184570313i,-0.0095109939575195313 - 0.017836093902587891i,-0.013181209564208984 - 0.020749092102050781i,-0.012309074401855469 - 0.019040107727050781i,-0.013295173645019531 - 0.018185138702392578i,-0.01410675048828125 - 0.018139839172363281i,-0.014267444610595703 - 0.017107009887695313i,-0.014323711395263672 - 0.016050338745117188i,-0.016746044158935547 - 0.019131183624267578i,-0.015926361083984375 - 0.016808986663818359i,-0.018628597259521484 - 0.018091678619384766i,-0.018153190612792969 - 0.016535282135009766i,-0.019918918609619141 - 0.017370700836181641i,-0.021365165710449219 - 0.016933917999267578i,-0.02072906494140625 - 0.015995979309082031i,-0.022782802581787109 - 0.016715049743652344i,-0.023380279541015625 - 0.015944957733154297i,-0.023554325103759766 - 0.014377593994140625i,-0.022279262542724609 - 0.01343536376953125i,-0.021158218383789063 - 0.010630607604980469i,-0.030481338500976563 - 0.013937950134277344i,-0.027283668518066406 - 0.012370586395263672i,-0.027219772338867188 - 0.010487079620361328i,-0.025834560394287109 - 0.0081300735473632813i,-0.030999183654785156 - 0.0095653533935546875i,-0.028225421905517578 - 0.0061635971069335938i,-0.032621383666992188 - 0.0065698623657226563i,-0.027451992034912109 - 0.0039081573486328125i,-0.033695697784423828 - 0.0043506622314453125i,-0.030999660491943359 - 0.0025587081909179688i,-0.032433509826660156 - 0.00023365020751953125i,-0.030082225799560547 + 0.00080966949462890625i,-0.028509140014648438 + 0.0033440589904785156i,-0.032446384429931641 + 0.0059952735900878906i,-0.027494430541992188 + 0.0072255134582519531i,-0.031418800354003906 + 0.010339736938476563i,-0.025323867797851563 + 0.010427474975585938i,-0.027270793914794922 + 0.015082836151123047i,-0.023850440979003906 + 0.014814853668212891i,-0.023194789886474609 + 0.019512176513671875i,-0.019722461700439453 + 0.020795822143554688i,-0.019229888916015625 + 0.026843070983886719i,-0.014150142669677734 + 0.026607036590576172i,-0.0090570449829101563 + 0.026281833648681641i,-0.0042247772216796875 + 0.024046421051025391i,0.001312255859375 + 0.030043125152587891i,0.0076947212219238281 + 0.025284290313720703i
-0.015454292297363281 - 0.018163681030273438i,-0.016597270965576172 - 0.014956474304199219i,-0.017104148864746094 - 0.011166572570800781i,-0.016497135162353516 - 0.0087432861328125i,-0.021212100982666016 - 0.0094757080078125i,-0.018626689910888672 - 0.0072174072265625i,-0.023054599761962891 - 0.0052003860473632813i,-0.019693374633789063 - 0.00345611572265625i,-0.020129680633544922 - 0.0031337738037109375i,-0.022119045257568359 - 0.001300811767578125i,-0.019788742065429688 - 0.00051355361938476563i,-0.024785995483398438 + 0.0013136863708496094i,-0.022638320922851563 + 0.0025739669799804688i,-0.022243976593017578 + 0.0032572746276855469i,-0.022458076477050781 + 0.0048685073852539063i,-0.021596908569335938 + 0.0053987503051757813i,-0.0205535888671875 + 0.006072998046875i,-0.024132728576660156 + 0.0072307586669921875i,-0.021697044372558594 + 0.0074319839477539063i,-0.023792743682861328 + 0.0098137855529785156i,-0.0225067138671875 + 0.010405540466308594i,-0.023795604705810547 + 0.011562347412109375i,-0.023282051086425781 + 0.013020992279052734i,-0.022440433502197266 + 0.012788295745849609i,-0.023444175720214844 + 0.015253067016601563i,-0.022060394287109375 + 0.016715049743652344i,-0.020821571350097656 + 0.017164230346679688i,-0.0195159912109375 + 0.016679763793945313i,-0.016445159912109375 + 0.016062736511230469i,-0.022181510925292969 + 0.024392127990722656i,-0.019145965576171875 + 0.022514820098876953i,-0.017414569854736328 + 0.023168087005615234i,-0.015302181243896484 + 0.023092746734619141i,-0.017564296722412109 + 0.027134895324707031i,-0.013667106628417969 + 0.025626182556152344i,-0.014618873596191406 + 0.029543399810791016i,-0.01061248779296875 + 0.02548980712890625i,-0.01152801513671875 + 0.031242847442626953i,-0.00847625732421875 + 0.029410362243652344i,-0.0066862106323242188 + 0.030355453491210938i,-0.0042462348937988281 + 0.029365062713623047i,-0.0016031265258789063 + 0.027653217315673828i,0.00089216232299804688 + 0.032606601715087891i,0.0030026435852050781 + 0.028282642364501953i,0.0055551528930664063 + 0.031183719635009766i,0.0064487457275390625 + 0.026162147521972656i,0.011125564575195313 + 0.028891563415527344i,0.012031078338623047 + 0.025243759155273438i,0.0171661376953125 + 0.025244712829589844i,0.018140316009521484 + 0.021517276763916016i,0.025362014770507813 + 0.020914554595947266i,0.02495574951171875 + 0.015469551086425781i,0.024775028228759766 + 0.010595321655273438i,0.023583412170410156 + 0.0054149627685546875i,0.030796527862548828 - 0.00039768218994140625i,0.025074005126953125 - 0.0066890716552734375i
