0.011857509613037109 + 0.0061426162719726563i,0.012910842895507813 + 0.0045933723449707031i,0.013752937316894531 + 0.0033593177795410156i,0.013879776000976563 + 0.0024738311767578125i,0.014226913452148438 + 0.0024914741516113281i,0.014670848846435547 + 0.001636505126953125i,0.015089988708496094 + 0.00032281875610351563i,0.015255928039550781 - 0.000682830810546875i,0.01540374755859375 - 0.00045156478881835938i,0.015388965606689453 - 0.0017418861389160156i,0.016108989715576172 - 0.0016012191772460938i,0.015765666961669922 - 0.0022478103637695313i,0.015965938568115234 - 0.0026001930236816406i,0.016036033630371094 - 0.00262451171875i,0.016613960266113281 - 0.0029683113098144531i,0.016327857971191406 - 0.0031871795654296875i,0.016852855682373047 - 0.0033159255981445313i,0.016594409942626953 - 0.0031576156616210938i,0.017291545867919922 - 0.0034360885620117188i,0.017038345336914063 - 0.0038437843322753906i,0.017450332641601563 - 0.0043325424194335938i,0.017772197723388672 - 0.0044307708740234375i,0.017381191253662109 - 0.0049853324890136719i,0.017232894897460938 - 0.0052347183227539063i,0.017178058624267578 - 0.0051083564758300781i,0.017313957214355469 - 0.0056777000427246094i,0.017120838165283203 - 0.0054616928100585938i,0.017129421234130859 - 0.006168365478515625i,0.017306327819824219 - 0.0062603950500488281i,0.016292095184326172 - 0.0060577392578125i,0.016588211059570313 - 0.0064611434936523438i,0.015953540802001953 - 0.0065340995788574219i,0.016558170318603516 - 0.0075597763061523438i,0.015738964080810547 - 0.007080078125i,0.015655517578125 - 0.0081038475036621094i,0.014992237091064453 - 0.007961273193359375i,0.015182971954345703 - 0.0086879730224609375i,0.01497650146484375 - 0.0080823898315429688i,0.014130592346191406 - 0.0087413787841796875i,0.013689517974853516 - 0.0092000961303710938i,0.013263225555419922 - 0.0092906951904296875i,0.012849330902099609 - 0.010556697845458984i,0.01215362548828125 - 0.010694503784179688i,0.011340618133544922 - 0.010876178741455078i,0.011218070983886719 - 0.011292457580566406i,0.010413646697998047 - 0.011716365814208984i,0.0093336105346679688 - 0.012851715087890625i,0.0086493492126464844 - 0.012953281402587891i,0.0067353248596191406 - 0.013530731201171875i,0.0061745643615722656 - 0.014245510101318359i,0.0045256614685058594 - 0.014231204986572266i,0.0026988983154296875 - 0.014765739440917969i,0.0012073516845703125 - 0.01502227783203125i,-0.0011982917785644531 - 0.014591217041015625i,-0.0037894248962402344 - 0.013247013092041016i,-0.0066447257995605469 - 0.012178897857666016i
-0.0015096664428710938 + 0.013291358947753906i,-0.0001811981201171875 + 0.013543605804443359i,0.00094509124755859375 + 0.014013290405273438i,0.0021643638610839844 + 0.014120578765869141i,0.0027098655700683594 + 0.014287948608398438i,0.0031371116638183594 + 0.014206886291503906i,0.0047025680541992188 + 0.014108180999755859i,0.00537109375 + 0.01399993896484375i,0.00557708740234375 + 0.014399528503417969i,0.0064587593078613281 + 0.014375209808349609i,0.0065588951110839844 + 0.014734745025634766i,0.0073642730712890625 + 0.014432907104492188i,0.0074658393859863281 + 0.014406204223632813i,0.0078244209289550781 + 0.014332771301269531i,0.0082621574401855469 + 0.014608383178710938i,0.008350372314453125 + 0.014424800872802734i,0.0083932876586914063 + 0.015044689178466797i,0.008022308349609375 + 0.014968395233154297i,0.0082788467407226563 + 0.015491008758544922i,0.0092091560363769531 + 0.01528167724609375i,0.0094804763793945313 + 0.014981269836425781i,0.0097250938415527344 + 0.014939308166503906i,0.0098714828491210938 + 0.014711380004882813i,0.0099334716796875 + 0.014692306518554688i,0.0098834037780761719 + 0.015099048614501953i,0.010813713073730469 + 0.014300346374511719i,0.011363506317138672 + 0.014204978942871094i,0.010859012603759766 + 0.013892173767089844i,0.010895729064941406 + 0.014089107513427734i,0.011046409606933594 + 0.013809680938720703i,0.01123046875 + 0.013463020324707031i,0.011614322662353516 + 0.013163089752197266i,0.011974334716796875 + 0.013002395629882813i,0.011807441711425781 + 0.0125579833984375i,0.012393951416015625 + 0.012139320373535156i,0.012278079986572266 + 0.012238502502441406i,0.012998580932617188 + 0.011242866516113281i,0.012330532073974609 + 0.011602401733398438i,0.012661933898925781 + 0.010836601257324219i,0.013453960418701172 + 0.010034561157226563i,0.013624191284179688 + 0.009738922119140625i,0.01385498046875 + 0.008960723876953125i,0.014104843139648438 + 0.0082864761352539063i,0.014700412750244141 + 0.0067586898803710938i,0.014536380767822266 + 0.0069379806518554688i,0.014241218566894531 + 0.0063328742980957031i,0.014791965484619141 + 0.0050477981567382813i,0.015066146850585938 + 0.0044941902160644531i,0.015431404113769531 + 0.0027213096618652344i,0.015069007873535156 + 0.0015535354614257813i,0.015410423278808594 - 0.00077915191650390625i,0.014592170715332031 - 0.002216339111328125i,0.014227390289306641 - 0.0039515495300292969i,0.0133209228515625 - 0.0060601234436035156i,0.011831283569335938 - 0.0077219009399414063i,0.0096387863159179688 - 0.010160923004150391i
0.013359546661376953 - 0.00325775146484375i,0.012921810150146484 - 0.0044655799865722656i,0.012551307678222656 - 0.0053071975708007813i,0.012394905090332031 - 0.007022857666015625i,0.012678146362304688 - 0.0067873001098632813i,0.012297630310058594 - 0.0072178840637207031i,0.012155055999755859 - 0.0091991424560546875i,0.011641502380371094 - 0.0097227096557617188i,0.011564254760742188 - 0.0098628997802734375i,0.011128425598144531 - 0.010790824890136719i,0.011424064636230469 - 0.010801315307617188i,0.010855197906494141 - 0.011675357818603516i,0.010964870452880859 - 0.012060165405273438i,0.011176586151123047 - 0.012339591979980469i,0.010564327239990234 - 0.01215362548828125i,0.010609626770019531 - 0.012200355529785156i,0.010728836059570313 - 0.012591361999511719i,0.011845111846923828 - 0.012835025787353516i,0.011537551879882813 - 0.012746334075927734i,0.011225223541259766 - 0.014061450958251953i,0.010611534118652344 - 0.014019489288330078i,0.011303424835205078 - 0.014192581176757813i,0.010408878326416016 - 0.014563560485839844i,0.010798454284667969 - 0.014473915100097656i,0.010575771331787109 - 0.015186309814453125i,0.0098867416381835938 - 0.015065193176269531i,0.0094938278198242188 - 0.015005588531494141i,0.0090031623840332031 - 0.015008926391601563i,0.0090799331665039063 - 0.014418601989746094i,0.0093145370483398438 - 0.015250205993652344i,0.0086064338684082031 - 0.015214443206787109i,0.0080409049987792969 - 0.015593528747558594i,0.008022308349609375 - 0.015771389007568359i,0.00812530517578125 - 0.015412330627441406i,0.0066189765930175781 - 0.01543426513671875i,0.0072488784790039063 - 0.015792369842529297i,0.0061211585998535156 - 0.015928268432617188i,0.0066866874694824219 - 0.016144275665283203i,0.0060305595397949219 - 0.015891551971435547i,0.0048213005065917969 - 0.016244888305664063i,0.0045289993286132813 - 0.015784263610839844i,0.0040040016174316406 - 0.015013217926025391i,0.0027141571044921875 - 0.016120433807373047i,0.0015711784362792969 - 0.015696525573730469i,0.0018224716186523438 - 0.015801906585693359i,0.001102447509765625 - 0.015592575073242188i,4.76837158203125E-05 - 0.015731334686279297i,-0.0012340545654296875 - 0.015406608581542969i,-0.0032839775085449219 - 0.015073299407958984i,-0.0037484169006347656 - 0.014674663543701172i,-0.005672454833984375 - 0.013933181762695313i,-0.006679534912109375 - 0.012894630432128906i,-0.0082383155822753906 - 0.011754512786865234i,-0.00958251953125 - 0.010214805603027344i,-0.01141357421875 - 0.0088534355163574219i,-0.012771129608154297 - 0.0056958198547363281i
-0.0090856552124023438 - 0.0099825859069824219i,-0.010036945343017578 - 0.0086798667907714844i,-0.011117935180664063 - 0.0082488059997558594i,-0.011932849884033203 - 0.0074000358581542969i,-0.012552738189697266 - 0.0069842338562011719i,-0.013073921203613281 - 0.0071516036987304688i,-0.013889312744140625 - 0.0059294700622558594i,-0.014177322387695313 - 0.0053849220275878906i,-0.014527320861816406 - 0.0052628517150878906i,-0.014880180358886719 - 0.0039315223693847656i,-0.015301704406738281 - 0.004436492919921875i,-0.015157699584960938 - 0.0037145614624023438i,-0.015785694122314453 - 0.003582000732421875i,-0.015598297119140625 - 0.0035328865051269531i,-0.016193866729736328 - 0.0032286643981933594i,-0.016431331634521484 - 0.0030965805053710938i,-0.016915798187255859 - 0.0035147666931152344i,-0.016626358032226563 - 0.003459930419921875i,-0.017212867736816406 - 0.0030260086059570313i,-0.017299652099609375 - 0.0028371810913085938i,-0.017752170562744141 - 0.0023770332336425781i,-0.017851829528808594 - 0.0026688575744628906i,-0.017476558685302734 - 0.0015931129455566406i,-0.017710685729980469 - 0.0019388198852539063i,-0.017758369445800781 - 0.0016632080078125i,-0.0180511474609375 - 0.00099468231201171875i,-0.017621994018554688 - 0.00080966949462890625i,-0.017739772796630859 - 0.00063657760620117188i,-0.017487049102783203 - 0.0001659393310546875i,-0.017560958862304688 - 8.58306884765625E-05i,-0.017560005187988281 + 1.7642974853515625E-05i,-0.017617225646972656 + 0.00047397613525390625i,-0.017635345458984375 + 0.0015158653259277344i,-0.0172271728515625 + 0.0011858940124511719i,-0.017328739166259766 + 0.0016016960144042969i,-0.016873836517333984 + 0.0023465156555175781i,-0.017107009887695313 + 0.0026655197143554688i,-0.016728878021240234 + 0.002353668212890625i,-0.016746997833251953 + 0.00307464599609375i,-0.016063690185546875 + 0.0035634040832519531i,-0.016088962554931641 + 0.0043745040893554688i,-0.015510082244873047 + 0.004638671875i,-0.0148468017578125 + 0.0057682991027832031i,-0.014163494110107422 + 0.0063447952270507813i,-0.014185905456542969 + 0.006305694580078125i,-0.014069557189941406 + 0.0069651603698730469i,-0.013152122497558594 + 0.0083160400390625i,-0.012922763824462891 + 0.0087060928344726563i,-0.011117458343505859 + 0.010179996490478516i,-0.010304927825927734 + 0.010884284973144531i,-0.0090732574462890625 + 0.012141704559326172i,-0.0078449249267578125 + 0.012423515319824219i,-0.006137847900390625 + 0.013103008270263672i,-0.0039262771606445313 + 0.013959884643554688i,-0.0015034675598144531 + 0.013841629028320313i,0.0017442703247070313 + 0.013532638549804688i
-0.010240554809570313 + 0.0074763298034667969i,-0.010150432586669922 + 0.010529518127441406i,-0.0085611343383789063 + 0.010310649871826172i,-0.0081830024719238281 + 0.010820865631103516i,-0.0092620849609375 + 0.011004447937011719i,-0.0069913864135742188 + 0.010313510894775391i,-0.006404876708984375 + 0.014420509338378906i,-0.00760650634765625 + 0.014149665832519531i,-0.0055017471313476563 + 0.014670372009277344i,-0.0058693885803222656 + 0.015308380126953125i,-0.0059099197387695313 + 0.014784336090087891i,-0.0044589042663574219 + 0.016420364379882813i,-0.0055174827575683594 + 0.015531063079833984i,-0.0061130523681640625 + 0.016335487365722656i,-0.004856109619140625 + 0.014727592468261719i,-0.0048608779907226563 + 0.016049385070800781i,-0.0049762725830078125 + 0.016501903533935547i,-0.0042605400085449219 + 0.016414165496826172i,-0.00473785400390625 + 0.01631927490234375i,-0.0041055679321289063 + 0.017217636108398438i,-0.0036830902099609375 + 0.016995429992675781i,-0.0042300224304199219 + 0.016678333282470703i,-0.0028367042541503906 + 0.018049240112304688i,-0.0033736228942871094 + 0.017085552215576172i,-0.0030026435852050781 + 0.018042087554931641i,-0.0031461715698242188 + 0.01779937744140625i,-0.0025305747985839844 + 0.017195224761962891i,-0.001544952392578125 + 0.017318248748779297i,-0.0019474029541015625 + 0.0175018310546875i,-0.00081586837768554688 + 0.016902923583984375i,-0.001300811767578125 + 0.017025947570800781i,-0.00067043304443359375 + 0.018048763275146484i,-0.00012111663818359375 + 0.016350746154785156i,0.0002231597900390625 + 0.017111778259277344i,0.00066137313842773438 + 0.017364978790283203i,0.00076770782470703125 + 0.016819953918457031i,0.0016646385192871094 + 0.016687393188476563i,0.001316070556640625 + 0.017235755920410156i,0.00022983551025390625 + 0.0169677734375i,0.0017986297607421875 + 0.015995025634765625i,0.0027642250061035156 + 0.015312671661376953i,0.0034499168395996094 + 0.014244556427001953i,0.0035176277160644531 + 0.014960765838623047i,0.0049166679382324219 + 0.014589309692382813i,0.0053186416625976563 + 0.014800071716308594i,0.0061802864074707031 + 0.014425277709960938i,0.0080847740173339844 + 0.013342857360839844i,0.0080366134643554688 + 0.013437747955322266i,0.0089654922485351563 + 0.011730670928955078i,0.010371685028076172 + 0.010321617126464844i,0.013088226318359375 + 0.0099782943725585938i,0.012879371643066406 + 0.008930206298828125i,0.011864185333251953 + 0.0065288543701171875i,0.013503074645996094 + 0.0046591758728027344i,0.014268875122070313 + 0.0025629997253417969i,0.013056278228759766 - 0.0010852813720703125i
0.009082794189453125 + 0.0067706108093261719i,0.01146697998046875 + 0.0068883895874023438i,0.013211727142333984 + 0.00506591796875i,0.013040542602539063 + 0.0049648284912109375i,0.012896537780761719 + 0.0042395591735839844i,0.015251636505126953 + 0.0047550201416015625i,0.014140129089355469 + 0.0018243789672851563i,0.015089988708496094 + 0.0023097991943359375i,0.014767646789550781 + 0.004520416259765625i,0.015576362609863281 - 0.00019598007202148438i,0.01500701904296875 + 0.0001373291015625i,0.016978263854980469 + 0.00083446502685546875i,0.015315055847167969 + 0.00062465667724609375i,0.015659332275390625 - 0.00081014633178710938i,0.01491546630859375 - 0.0012211799621582031i,0.016542911529541016 - 0.00071191787719726563i,0.016052722930908203 - 0.00095081329345703125i,0.016794681549072266 - 0.00041103363037109375i,0.016904354095458984 - 0.00043916702270507813i,0.017795085906982422 - 0.00097131729125976563i,0.016849994659423828 - 0.0013027191162109375i,0.017040252685546875 - 0.0018506050109863281i,0.01747894287109375 - 0.0028491020202636719i,0.018174648284912109 - 0.0023403167724609375i,0.018212795257568359 - 0.0030436515808105469i,0.018399715423583984 - 0.0027956962585449219i,0.016346931457519531 - 0.0035734176635742188i,0.017716884613037109 - 0.0033373832702636719i,0.016579151153564453 - 0.0022635459899902344i,0.017529010772705078 - 0.0041308403015136719i,0.017154693603515625 - 0.0030317306518554688i,0.015712261199951172 - 0.0053038597106933594i,0.016736984252929688 - 0.0043859481811523438i,0.016477108001708984 - 0.005352020263671875i,0.015976905822753906 - 0.0060429573059082031i,0.016337394714355469 - 0.006317138671875i,0.015307426452636719 - 0.0065250396728515625i,0.016410350799560547 - 0.0066652297973632813i,0.015982151031494141 - 0.0060415267944335938i,0.014453411102294922 - 0.0072193145751953125i,0.014794349670410156 - 0.0075654983520507813i,0.013566017150878906 - 0.0084271430969238281i,0.013716697692871094 - 0.0088024139404296875i,0.011826515197753906 - 0.0078730583190917969i,0.012853622436523438 - 0.0090007781982421875i,0.012365341186523438 - 0.010043621063232422i,0.010805606842041016 - 0.010346412658691406i,0.01039886474609375 - 0.010643482208251953i,0.0087227821350097656 - 0.011938095092773438i,0.0091929435729980469 - 0.011917591094970703i,0.007724761962890625 - 0.013037204742431641i,0.0038309097290039063 - 0.014018535614013672i,0.0019755363464355469 - 0.014267444610595703i,0.001209259033203125 - 0.013948440551757813i,-0.0012960433959960938 - 0.014223575592041016i,-0.0037794113159179688 - 0.012506961822509766i
-0.004428863525390625 - 0.012520790100097656i,-0.0059828758239746094 - 0.012307643890380859i,-0.0071630477905273438 - 0.012053489685058594i,-0.0082597732543945313 - 0.011377811431884766i,-0.0085625648498535156 - 0.011518478393554688i,-0.0092916488647460938 - 0.011275768280029297i,-0.010954380035400391 - 0.010439872741699219i,-0.011455059051513672 - 0.010082244873046875i,-0.011157512664794922 - 0.010364055633544922i,-0.012528896331787109 - 0.0096807479858398438i,-0.012071609497070313 - 0.010143280029296875i,-0.012934684753417969 - 0.0093407630920410156i,-0.013102054595947266 - 0.0091290473937988281i,-0.013246536254882813 - 0.0093221664428710938i,-0.013360500335693359 - 0.0091600418090820313i,-0.013922691345214844 - 0.0092477798461914063i,-0.014348506927490234 - 0.0089569091796875i,-0.014570236206054688 - 0.0096950531005859375i,-0.014255523681640625 - 0.0091872215270996094i,-0.015127182006835938 - 0.0087885856628417969i,-0.015253067016601563 - 0.0088043212890625i,-0.015945911407470703 - 0.0090317726135253906i,-0.016182899475097656 - 0.0079059600830078125i,-0.015712738037109375 - 0.0082616806030273438i,-0.016761302947998047 - 0.0081410408020019531i,-0.016102790832519531 - 0.0077261924743652344i,-0.016265392303466797 - 0.0075964927673339844i,-0.016235828399658203 - 0.0072560310363769531i,-0.016575813293457031 - 0.0075712203979492188i,-0.016150474548339844 - 0.0069718360900878906i,-0.016409873962402344 - 0.0062074661254882813i,-0.016401767730712891 - 0.0056438446044921875i,-0.016524314880371094 - 0.0052576065063476563i,-0.016351222991943359 - 0.0054235458374023438i,-0.017067909240722656 - 0.0042562484741210938i,-0.016595363616943359 - 0.0045995712280273438i,-0.016699314117431641 - 0.0038433074951171875i,-0.016527175903320313 - 0.0040493011474609375i,-0.016624927520751953 - 0.0039081573486328125i,-0.016584396362304688 - 0.0028982162475585938i,-0.016434669494628906 - 0.0018811225891113281i,-0.016154289245605469 - 0.0014352798461914063i,-0.016244888305664063 - 0.00042581558227539063i,-0.01593017578125 + 0.00010585784912109375i,-0.015961647033691406 + 0.0010957717895507813i,-0.015828609466552734 + 0.0014548301696777344i,-0.015489578247070313 + 0.0031156539916992188i,-0.015413284301757813 + 0.0037202835083007813i,-0.014556884765625 + 0.0052337646484375i,-0.013916015625 + 0.0065288543701171875i,-0.012577533721923828 + 0.0080280303955078125i,-0.011765956878662109 + 0.009368896484375i,-0.010206222534179688 + 0.010122299194335938i,-0.0087919235229492188 + 0.011670589447021484i,-0.0064516067504882813 + 0.012785434722900391i,-0.0032176971435546875 + 0.013235569000244141i
-0.000133514404296875 - 0.01342010498046875i,-0.0023732185363769531 - 0.013382434844970703i,-0.0032243728637695313 - 0.013759136199951172i,-0.004119873046875 - 0.0138092041015625i,-0.0043582916259765625 - 0.0135955810546875i,-0.0052447319030761719 - 0.013836860656738281i,-0.0067553520202636719 - 0.013271331787109375i,-0.0074100494384765625 - 0.013192653656005859i,-0.0072526931762695313 - 0.013592720031738281i,-0.0082831382751464844 - 0.012834548950195313i,-0.0082688331604003906 - 0.013443946838378906i,-0.0091199874877929688 - 0.012645721435546875i,-0.0095915794372558594 - 0.012843608856201172i,-0.010003566741943359 - 0.012964248657226563i,-0.010093212127685547 - 0.012853145599365234i,-0.010611534118652344 - 0.012844562530517578i,-0.010489463806152344 - 0.013068199157714844i,-0.0105743408203125 - 0.013722896575927734i,-0.010748863220214844 - 0.013152122497558594i,-0.011418819427490234 - 0.013016700744628906i,-0.011740207672119141 - 0.013309478759765625i,-0.011946201324462891 - 0.013243198394775391i,-0.012448787689208984 - 0.012328147888183594i,-0.0122528076171875 - 0.012734889984130859i,-0.012526512145996094 - 0.012607097625732422i,-0.013188362121582031 - 0.0121917724609375i,-0.013186931610107422 - 0.011862277984619141i,-0.013334751129150391 - 0.011639595031738281i,-0.013275623321533203 - 0.011647701263427734i,-0.013459205627441406 - 0.011441707611083984i,-0.013585567474365234 - 0.01102447509765625i,-0.013555526733398438 - 0.011064529418945313i,-0.014372348785400391 - 0.010638713836669922i,-0.014003753662109375 - 0.010497570037841797i,-0.01438140869140625 - 0.0095109939575195313i,-0.014021396636962891 - 0.00955963134765625i,-0.014486789703369141 - 0.0088791847229003906i,-0.014047622680664063 - 0.0089445114135742188i,-0.014449119567871094 - 0.0082988739013671875i,-0.015004158020019531 - 0.0074248313903808594i,-0.015231609344482422 - 0.0069952011108398438i,-0.014883041381835938 - 0.0065813064575195313i,-0.015403270721435547 - 0.0055856704711914063i,-0.015271186828613281 - 0.0048136711120605469i,-0.015145778656005859 - 0.003955841064453125i,-0.015431880950927734 - 0.0033006668090820313i,-0.015138626098632813 - 0.0016241073608398438i,-0.015473842620849609 - 0.0012536048889160156i,-0.015275001525878906 + 0.00067043304443359375i,-0.014862060546875 + 0.0014452934265136719i,-0.014250755310058594 + 0.0032410621643066406i,-0.013664722442626953 + 0.0047168731689453125i,-0.01305389404296875 + 0.0062818527221679688i,-0.011942863464355469 + 0.0079431533813476563i,-0.0098795890808105469 + 0.0096116065979003906i,-0.0070953369140625 + 0.011343955993652344i
0.006015777587890625 - 0.011804103851318359i,0.0045318603515625 - 0.012520313262939453i,0.0037746429443359375 - 0.013421535491943359i,0.0027060508728027344 - 0.013521671295166016i,0.0025959014892578125 - 0.014190673828125i,0.00180816650390625 - 0.014314174652099609i,0.0001926422119140625 - 0.015483856201171875i,-0.00030422210693359375 - 0.015089035034179688i,-0.00040864944458007813 - 0.015199661254882813i,-0.00168609619140625 - 0.015418052673339844i,-0.0013570785522460938 - 0.015343189239501953i,-0.00185394287109375 - 0.016611099243164063i,-0.0024662017822265625 - 0.015999794006347656i,-0.0025882720947265625 - 0.016460418701171875i,-0.0028672218322753906 - 0.016197681427001953i,-0.0029668807983398438 - 0.016059398651123047i,-0.0030531883239746094 - 0.016327857971191406i,-0.0027232170104980469 - 0.017079353332519531i,-0.0029816627502441406 - 0.016677379608154297i,-0.0038137435913085938 - 0.017415046691894531i,-0.0041146278381347656 - 0.017134189605712891i,-0.0040078163146972656 - 0.017484188079833984i,-0.0052175521850585938 - 0.016843318939208984i,-0.0045576095581054688 - 0.017177581787109375i,-0.0053448677062988281 - 0.017622947692871094i,-0.0057015419006347656 - 0.017184257507324219i,-0.0058927536010742188 - 0.016668319702148438i,-0.0056486129760742188 - 0.016674995422363281i,-0.0060701370239257813 - 0.016058444976806641i,-0.0067586898803710938 - 0.016446113586425781i,-0.0065178871154785156 - 0.016077995300292969i,-0.0068874359130859375 - 0.016085624694824219i,-0.0077390670776367188 - 0.015689849853515625i,-0.007831573486328125 - 0.015781879425048828i,-0.008190155029296875 - 0.015059947967529297i,-0.0080356597900390625 - 0.015347480773925781i,-0.0086464881896972656 - 0.014758586883544922i,-0.0085353851318359375 - 0.014986991882324219i,-0.0086717605590820313 - 0.014889240264892578i,-0.0093407630920410156 - 0.013358116149902344i,-0.0092797279357910156 - 0.013331890106201172i,-0.0096721649169921875 - 0.012256145477294922i,-0.010826587677001953 - 0.012176990509033203i,-0.010945320129394531 - 0.010888576507568359i,-0.011599063873291016 - 0.010972976684570313i,-0.011687755584716797 - 0.010228157043457031i,-0.012925148010253906 - 0.0092139244079589844i,-0.012809276580810547 - 0.0080704689025878906i,-0.013962745666503906 - 0.0067949295043945313i,-0.014142990112304688 - 0.0054998397827148438i,-0.014738559722900391 - 0.0038709640502929688i,-0.014726638793945313 - 0.0024061203002929688i,-0.014123916625976563 - 0.00074243545532226563i,-0.014206409454345703 + 0.0018739700317382813i,-0.013530731201171875 + 0.0035691261291503906i,-0.011834144592285156 + 0.006763458251953125i
0.013340473175048828 + 0.0027256011962890625i,0.013864994049072266 + 0.0011477470397949219i,0.013933658599853516 - 8.0585479736328125E-05i,0.013856887817382813 - 0.0012311935424804688i,0.014580726623535156 - 0.0015463829040527344i,0.014482498168945313 - 0.002201080322265625i,0.014367103576660156 - 0.0037512779235839844i,0.014606475830078125 - 0.004253387451171875i,0.015002250671386719 - 0.0043950080871582031i,0.014321804046630859 - 0.00559234619140625i,0.014787673950195313 - 0.0056276321411132813i,0.014708042144775391 - 0.0068044662475585938i,0.014600276947021484 - 0.0069613456726074219i,0.014808177947998047 - 0.0070104598999023438i,0.014570236206054688 - 0.00733184814453125i,0.014960289001464844 - 0.0078015327453613281i,0.014788150787353516 - 0.0079483985900878906i,0.015279769897460938 - 0.0074400901794433594i,0.015041828155517578 - 0.0077729225158691406i,0.015417575836181641 - 0.0086550712585449219i,0.015264987945556641 - 0.009090423583984375i,0.015406131744384766 - 0.009124755859375i,0.015271663665771484 - 0.0096912384033203125i,0.015453815460205078 - 0.0096788406372070313i,0.0150299072265625 - 0.010172843933105469i,0.014777183532714844 - 0.010385036468505859i,0.014025688171386719 - 0.010772705078125i,0.014007091522216797 - 0.010632514953613281i,0.013789653778076172 - 0.0108489990234375i,0.013889312744140625 - 0.011139869689941406i,0.013409614562988281 - 0.010906219482421875i,0.013032913208007813 - 0.011332035064697266i,0.012659549713134766 - 0.011659622192382813i,0.013009071350097656 - 0.012039661407470703i,0.012318134307861328 - 0.012235164642333984i,0.012483119964599609 - 0.012215614318847656i,0.012137413024902344 - 0.012350082397460938i,0.011782169342041016 - 0.012681484222412109i,0.011286735534667969 - 0.012453556060791016i,0.010656356811523438 - 0.013230800628662109i,0.0098242759704589844 - 0.013123512268066406i,0.0088257789611816406 - 0.013271331787109375i,0.0082850456237792969 - 0.013863563537597656i,0.0075526237487792969 - 0.014605998992919922i,0.0071511268615722656 - 0.014275074005126953i,0.0064797401428222656 - 0.014382362365722656i,0.0049843788146972656 - 0.014666557312011719i,0.0040154457092285156 - 0.014719486236572266i,0.0024056434631347656 - 0.015176773071289063i,0.0014486312866210938 - 0.014595508575439453i,-0.0010023117065429688 - 0.014948844909667969i,-0.0021724700927734375 - 0.014563560485839844i,-0.0040187835693359375 - 0.013937950134277344i,-0.0057477951049804688 - 0.012939453125i,-0.008037567138671875 - 0.011552333831787109i,-0.010021686553955078 - 0.0093255043029785156i
