0.10842180252075195 - 0.052803516387939453i,0.10266304016113281 - 0.066827774047851563i,0.096818923950195313 - 0.074963569641113281i,0.089400291442871094 - 0.084146499633789063i,0.086543560028076172 - 0.085173606872558594i,0.081965923309326172 - 0.091203689575195313i,0.072591304779052734 - 0.098019123077392578i,0.068809986114501953 - 0.10202598571777344i,0.067973613739013672 - 0.10102510452270508i,0.061323165893554688 - 0.10422515869140625i,0.060657501220703125 - 0.10366630554199219i,0.055073738098144531 - 0.10586404800415039i,0.052555084228515625 - 0.10514688491821289i,0.052018165588378906 - 0.10569953918457031i,0.050133228302001953 - 0.10569524765014648i,0.050220012664794922 - 0.10541152954101563i,0.050221443176269531 - 0.10619926452636719i,0.052080154418945313 - 0.10303831100463867i,0.051420211791992188 - 0.10292720794677734i,0.050288677215576172 - 0.10397672653198242i,0.048203468322753906 - 0.10496807098388672i,0.050365924835205078 - 0.10378217697143555i,0.048036098480224609 - 0.1043553352355957i,0.049798965454101563 - 0.10255241394042969i,0.047955036163330078 - 0.10342121124267578i,0.045228958129882813 - 0.10378408432006836i,0.044162750244140625 - 0.10357189178466797i,0.045488834381103516 - 0.10320663452148438i,0.044999122619628906 - 0.10222864151000977i,0.043060779571533203 - 0.10253715515136719i,0.041871547698974609 - 0.10294580459594727i,0.038841724395751953 - 0.10324478149414063i,0.036380767822265625 - 0.10449790954589844i,0.0362548828125 - 0.10302543640136719i,0.030513763427734375 - 0.10413932800292969i,0.029998779296875 - 0.10353565216064453i,0.026719093322753906 - 0.10455513000488281i,0.024794578552246094 - 0.10204696655273438i,0.020884990692138672 - 0.10270500183105469i,0.014988899230957031 - 0.10317516326904297i,0.011399269104003906 - 0.10123872756958008i,0.0051870346069335938 - 0.10065460205078125i,-0.0010962486267089844 - 0.096829891204833984i,-0.0065298080444335938 - 0.095796108245849609i,-0.0095806121826171875 - 0.093577384948730469i,-0.014212608337402344 - 0.091450214385986328i,-0.022356986999511719 - 0.085737228393554688i,-0.026455879211425781 - 0.083723068237304688i,-0.033792018890380859 - 0.076686382293701172i,-0.039621829986572266 - 0.072931766510009766i,-0.047898769378662109 - 0.063580989837646484i,-0.053055763244628906 - 0.055161952972412109i,-0.058703899383544922 - 0.046463966369628906i,-0.062306404113769531 - 0.0361175537109375i,-0.063978672027587891 - 0.022961139678955078i,-0.063637733459472656 - 0.0064005851745605469i
0.11279392242431641 + 0.043277263641357422i,0.11772680282592773 + 0.029924869537353516i,0.12020587921142578 + 0.018940925598144531i,0.12289047241210938 + 0.0078673362731933594i,0.12213802337646484 + 0.0044493675231933594i,0.12203645706176758 - 0.0030922889709472656i,0.12195158004760742 - 0.014911174774169922i,0.12046051025390625 - 0.019423484802246094i,0.11997175216674805 - 0.020776271820068359i,0.11735153198242188 - 0.027631759643554688i,0.11634206771850586 - 0.028308868408203125i,0.11477422714233398 - 0.032273769378662109i,0.11287641525268555 - 0.033293247222900391i,0.11272811889648438 - 0.033676624298095703i,0.11156845092773438 - 0.035151481628417969i,0.11092376708984375 - 0.034982681274414063i,0.11137485504150391 - 0.036333084106445313i,0.11114740371704102 - 0.032864093780517578i,0.11022233963012695 - 0.033195018768310547i,0.10953044891357422 - 0.03514862060546875i,0.1091914176940918 - 0.037488937377929688i,0.10973834991455078 - 0.035295009613037109i,0.10795927047729492 - 0.036922931671142578i,0.10775661468505859 - 0.035375595092773438i,0.10792875289916992 - 0.035792827606201172i,0.10737895965576172 - 0.038304328918457031i,0.10611963272094727 - 0.038430213928222656i,0.10672569274902344 - 0.037108421325683594i,0.10508394241333008 - 0.038766860961914063i,0.10403251647949219 - 0.038776874542236328i,0.10325956344604492 - 0.040448665618896484i,0.10188102722167969 - 0.042982101440429688i,0.10049104690551758 - 0.046141624450683594i,0.099103450775146484 - 0.045278549194335938i,0.096191883087158203 - 0.050713539123535156i,0.096116542816162109 - 0.050290584564208984i,0.093662261962890625 - 0.053526401519775391i,0.091553211212158203 - 0.052106857299804688i,0.08917236328125 - 0.055407524108886719i,0.085013389587402344 - 0.059493064880371094i,0.081665992736816406 - 0.061200618743896484i,0.076045036315917969 - 0.064824104309082031i,0.069841384887695313 - 0.068037509918212891i,0.064457416534423828 - 0.070279121398925781i,0.061098098754882813 - 0.070995330810546875i,0.055933475494384766 - 0.072954177856445313i,0.046641349792480469 - 0.075887203216552734i,0.041592597961425781 - 0.07700347900390625i,0.032118797302246094 - 0.078122138977050781i,0.024840831756591797 - 0.079548358917236328i,0.012889385223388672 - 0.078331947326660156i,0.0039982795715332031 - 0.076681613922119141i,-0.0061817169189453125 - 0.074052333831787109i,-0.016906261444091797 - 0.069881916046142578i,-0.027493476867675781 - 0.062613487243652344i,-0.038992881774902344 - 0.051176071166992188i
-0.024629116058349609 - 0.11915302276611328i,-0.038103580474853516 - 0.11589527130126953i,-0.049054145812988281 - 0.11270761489868164i,-0.058779716491699219 - 0.1073145866394043i,-0.06147003173828125 - 0.10555315017700195i,-0.067342758178710938 - 0.10119867324829102i,-0.077976703643798828 - 0.095992565155029297i,-0.080579280853271484 - 0.091340065002441406i,-0.081231594085693359 - 0.090386390686035156i,-0.085943222045898438 - 0.084794044494628906i,-0.085943222045898438 - 0.083627223968505859i,-0.089150428771972656 - 0.080419540405273438i,-0.088321208953857422 - 0.078020095825195313i,-0.088604927062988281 - 0.077161312103271484i,-0.089466571807861328 - 0.075407028198242188i,-0.089283943176269531 - 0.075133323669433594i,-0.090416908264160156 - 0.074653148651123047i,-0.087138175964355469 - 0.077036380767822266i,-0.086919307708740234 - 0.074875831604003906i,-0.089106559753417969 - 0.074501514434814453i,-0.089605808258056641 - 0.071997165679931641i,-0.087754726409912109 - 0.073639392852783203i,-0.089191913604736328 - 0.071357250213623047i,-0.087755203247070313 - 0.072783470153808594i,-0.0882720947265625 - 0.071941852569580078i,-0.088373184204101563 - 0.069970607757568359i,-0.089274406433105469 - 0.069258213043212891i,-0.087868690490722656 - 0.069170951843261719i,-0.087337493896484375 - 0.068480491638183594i,-0.089402198791503906 - 0.067799568176269531i,-0.089770793914794922 - 0.065783500671386719i,-0.090681552886962891 - 0.063463211059570313i,-0.091644287109375 - 0.060302734375i,-0.091709613800048828 - 0.059811115264892578i,-0.093505382537841797 - 0.054579734802246094i,-0.093358993530273438 - 0.054485797882080078i,-0.094358921051025391 - 0.051032543182373047i,-0.093627452850341797 - 0.050314426422119141i,-0.094228744506835938 - 0.046399116516113281i,-0.095627307891845703 - 0.040197372436523438i,-0.095700263977050781 - 0.035933494567871094i,-0.095120906829833984 - 0.028839111328125i,-0.095692157745361328 - 0.023081302642822266i,-0.093054294586181641 - 0.017033100128173828i,-0.092901706695556641 - 0.013589382171630859i,-0.091051101684570313 - 0.0085778236389160156i,-0.088479042053222656 + 0.00078868865966796875i,-0.087629795074462891 + 0.0055084228515625i,-0.083080768585205078 + 0.014931201934814453i,-0.080690383911132813 + 0.020924091339111328i,-0.073315620422363281 + 0.030539035797119141i,-0.066424846649169922 + 0.037745475769042969i,-0.059329986572265625 + 0.044765949249267578i,-0.049596309661865234 + 0.05157470703125i,-0.038271427154541016 + 0.057340621948242188i,-0.021618843078613281 + 0.059917926788330078i
-0.099356651306152344 - 0.070131778717041016i,-0.10713481903076172 - 0.058670997619628906i,-0.11278486251831055 - 0.047902107238769531i,-0.11587333679199219 - 0.038860797882080078i,-0.1179499626159668 - 0.034753322601318359i,-0.11837196350097656 - 0.02764129638671875i,-0.12181854248046875 - 0.016776561737060547i,-0.12220525741577148 - 0.010678291320800781i,-0.12158060073852539 - 0.010413646697998047i,-0.1205596923828125 - 0.003086090087890625i,-0.11995124816894531 - 0.0023274421691894531i,-0.11958169937133789 + 0.0021405220031738281i,-0.11825990676879883 + 0.0039925575256347656i,-0.11707639694213867 + 0.0044016838073730469i,-0.11690950393676758 + 0.0066699981689453125i,-0.11649322509765625 + 0.0065865516662597656i,-0.11651134490966797 + 0.0072193145751953125i,-0.11573553085327148 + 0.0039658546447753906i,-0.11415386199951172 + 0.0047788619995117188i,-0.11580228805541992 + 0.00634002685546875i,-0.11500167846679688 + 0.01000213623046875i,-0.11520099639892578 + 0.0064110755920410156i,-0.11458683013916016 + 0.0088567733764648438i,-0.11414766311645508 + 0.0075139999389648438i,-0.1139836311340332 + 0.0078902244567871094i,-0.11310911178588867 + 0.010761260986328125i,-0.11154794692993164 + 0.011304855346679688i,-0.11150074005126953 + 0.010140419006347656i,-0.11012887954711914 + 0.011044025421142578i,-0.11144828796386719 + 0.011830806732177734i,-0.11008691787719727 + 0.013612747192382813i,-0.10949420928955078 + 0.015974998474121094i,-0.10826969146728516 + 0.019162654876708984i,-0.10825872421264648 + 0.019820213317871094i,-0.10557126998901367 + 0.024010181427001953i,-0.10534429550170898 + 0.024794578552246094i,-0.10306549072265625 + 0.027944564819335938i,-0.10177516937255859 + 0.028230190277099609i,-0.10073328018188477 + 0.031771183013916016i,-0.096776962280273438 + 0.036978721618652344i,-0.094203472137451172 + 0.039866447448730469i,-0.088945865631103516 + 0.0440521240234375i,-0.085127353668212891 + 0.048542499542236328i,-0.079471588134765625 + 0.051535129547119141i,-0.076498508453369141 + 0.053735733032226563i,-0.071996688842773438 + 0.05637359619140625i,-0.063634872436523438 + 0.061969280242919922i,-0.059394359588623047 + 0.063771247863769531i,-0.049826145172119141 + 0.067824840545654297i,-0.043310642242431641 + 0.070408344268798828i,-0.031888484954833984 + 0.072375774383544922i,-0.022711753845214844 + 0.073778629302978516i,-0.012104988098144531 + 0.073071002960205078i,-0.00085783004760742188 + 0.071221828460693359i,0.011659145355224609 + 0.068465232849121094i,0.025527477264404297 + 0.058853626251220703i
-0.11156654357910156 - 0.050603389739990234i,-0.11544418334960938 - 0.036371231079101563i,-0.11869907379150391 - 0.027054309844970703i,-0.1212615966796875 - 0.017069339752197266i,-0.12182331085205078 - 0.011264324188232422i,-0.12194728851318359 - 0.0048518180847167969i,-0.12272071838378906 + 0.0060887336730957031i,-0.12268781661987305 + 0.011799812316894531i,-0.12140464782714844 + 0.012964248657226563i,-0.11993932723999023 + 0.019430160522460938i,-0.11847019195556641 + 0.020238876342773438i,-0.11733627319335938 + 0.024927139282226563i,-0.11568069458007813 + 0.026411533355712891i,-0.11482429504394531 + 0.026811122894287109i,-0.11363887786865234 + 0.028949737548828125i,-0.11316585540771484 + 0.028362274169921875i,-0.11295509338378906 + 0.028643131256103516i,-0.11327695846557617 + 0.026005744934082031i,-0.11227083206176758 + 0.026899337768554688i,-0.11235618591308594 + 0.027674198150634766i,-0.11127519607543945 + 0.030504703521728516i,-0.11163997650146484 + 0.028609275817871094i,-0.11092853546142578 + 0.03005218505859375i,-0.11018991470336914 + 0.029061317443847656i,-0.11002111434936523 + 0.029439926147460938i,-0.10940170288085938 + 0.031857013702392578i,-0.10785484313964844 + 0.03204345703125i,-0.10795974731445313 + 0.031736850738525391i,-0.10673999786376953 + 0.031179428100585938i,-0.1067500114440918 + 0.033242702484130859i,-0.10612678527832031 + 0.03363037109375i,-0.10446405410766602 + 0.036759376525878906i,-0.10331344604492188 + 0.039711475372314453i,-0.10251569747924805 + 0.0390625i,-0.09955596923828125 + 0.043897151947021484i,-0.098591804504394531 + 0.044122219085693359i,-0.096864223480224609 + 0.047297477722167969i,-0.095233440399169922 + 0.046908855438232422i,-0.092679023742675781 + 0.049686431884765625i,-0.088627815246582031 + 0.055134773254394531i,-0.084913253784179688 + 0.056944370269775391i,-0.078715801239013672 + 0.060107231140136719i,-0.073904991149902344 + 0.063829898834228516i,-0.068211555480957031 + 0.066276073455810547i,-0.064788818359375 + 0.067564010620117188i,-0.060229301452636719 + 0.070188522338867188i,-0.051152229309082031 + 0.073235511779785156i,-0.046377658843994141 + 0.074141502380371094i,-0.035952091217041016 + 0.076319694519042969i,-0.029187202453613281 + 0.077534198760986328i,-0.017194271087646484 + 0.077279090881347656i,-0.008056640625 + 0.076534748077392578i,0.0022149085998535156 + 0.073907375335693359i,0.013306140899658203 + 0.0704193115234375i,0.024127960205078125 + 0.063783168792724609i,0.036705970764160156 + 0.052792549133300781i
-0.11465263366699219 - 0.037528514862060547i,-0.11943626403808594 - 0.024029254913330078i,-0.12180709838867188 - 0.013569831848144531i,-0.12348175048828125 - 0.0013651847839355469i,-0.12255144119262695 + 0.0028676986694335938i,-0.12253236770629883 + 0.0097742080688476563i,-0.12043046951293945 + 0.020837783813476563i,-0.12011051177978516 + 0.026044368743896484i,-0.11930513381958008 + 0.027390480041503906i,-0.11574745178222656 + 0.034010887145996094i,-0.11466121673583984 + 0.035107612609863281i,-0.11279106140136719 + 0.038129329681396484i,-0.11100006103515625 + 0.039221286773681641i,-0.11067771911621094 + 0.039701938629150391i,-0.10997104644775391 + 0.041446208953857422i,-0.1095123291015625 + 0.040822982788085938i,-0.10975551605224609 + 0.04270172119140625i,-0.10891389846801758 + 0.038679122924804688i,-0.10819005966186523 + 0.040025234222412109i,-0.10765266418457031 + 0.041166782379150391i,-0.10736513137817383 + 0.044137477874755859i,-0.10681915283203125 + 0.041932582855224609i,-0.1064143180847168 + 0.043463230133056641i,-0.10599279403686523 + 0.042656421661376953i,-0.10563993453979492 + 0.042204856872558594i,-0.10416412353515625 + 0.044053077697753906i,-0.10349369049072266 + 0.044919490814208984i,-0.1040034294128418 + 0.044529438018798828i,-0.10220432281494141 + 0.044404506683349609i,-0.10123491287231445 + 0.045743465423583984i,-0.10070180892944336 + 0.046518325805664063i,-0.098634719848632813 + 0.049566268920898438i,-0.097678661346435547 + 0.052709102630615234i,-0.095820903778076172 + 0.0511627197265625i,-0.094010353088378906 + 0.056513309478759766i,-0.092505455017089844 + 0.056644439697265625i,-0.090214252471923828 + 0.059494495391845703i,-0.087715625762939453 + 0.057436943054199219i,-0.0854644775390625 + 0.060344696044921875i,-0.080785751342773438 + 0.064692497253417969i,-0.077620983123779297 + 0.066757678985595703i,-0.071775436401367188 + 0.069804668426513672i,-0.0651397705078125 + 0.072225570678710938i,-0.059987068176269531 + 0.074081897735595703i,-0.055611133575439453 + 0.075323104858398438i,-0.051199913024902344 + 0.076637744903564453i,-0.041537761688232422 + 0.079475879669189453i,-0.036315441131591797 + 0.07956695556640625i,-0.025728702545166016 + 0.080250740051269531i,-0.018773078918457031 + 0.080804347991943359i,-0.0081925392150878906 + 0.078050136566162109i,0.0012478828430175781 + 0.077272891998291016i,0.011095046997070313 + 0.073291778564453125i,0.021910190582275391 + 0.068727493286132813i,0.031687736511230469 + 0.0606689453125i,0.042598247528076172 + 0.048143386840820313i
-0.11279392242431641 - 0.044449806213378906i,-0.11784219741821289 - 0.030498504638671875i,-0.12055206298828125 - 0.020208835601806641i,-0.12222480773925781 - 0.0084214210510253906i,-0.12244367599487305 - 0.004764556884765625i,-0.12207651138305664 + 0.0023565292358398438i,-0.12251138687133789 + 0.013579845428466797i,-0.12137603759765625 + 0.01955413818359375i,-0.12095165252685547 + 0.020067691802978516i,-0.11823701858520508 + 0.026923179626464844i,-0.11663675308227539 + 0.026949405670166016i,-0.11545467376708984 + 0.031957626342773438i,-0.11321830749511719 + 0.03285980224609375i,-0.11274576187133789 + 0.033836841583251953i,-0.11177444458007813 + 0.035069465637207031i,-0.11142730712890625 + 0.035141468048095703i,-0.11121606826782227 + 0.036297321319580078i,-0.11080121994018555 + 0.033246994018554688i,-0.10999298095703125 + 0.03386688232421875i,-0.11002397537231445 + 0.035175323486328125i,-0.10924482345581055 + 0.037435054779052734i,-0.10958528518676758 + 0.035371780395507813i,-0.10814380645751953 + 0.03702545166015625i,-0.1083674430847168 + 0.035699844360351563i,-0.10832691192626953 + 0.036271095275878906i,-0.10697412490844727 + 0.038800239562988281i,-0.10581779479980469 + 0.038411140441894531i,-0.1057124137878418 + 0.038300514221191406i,-0.10408592224121094 + 0.037898540496826172i,-0.10414648056030273 + 0.04024505615234375i,-0.10319709777832031 + 0.040907382965087891i,-0.10223865509033203 + 0.043721199035644531i,-0.10003042221069336 + 0.046680450439453125i,-0.099538326263427734 + 0.046000003814697266i,-0.095725536346435547 + 0.0507965087890625i,-0.09601593017578125 + 0.050269603729248047i,-0.092943191528320313 + 0.053548812866210938i,-0.091493606567382813 + 0.053419589996337891i,-0.088587284088134766 + 0.056126117706298828i,-0.084497928619384766 + 0.060444355010986328i,-0.080133438110351563 + 0.062129020690917969i,-0.075182437896728516 + 0.065699100494384766i,-0.0696563720703125 + 0.068740367889404297i,-0.063684940338134766 + 0.070391178131103516i,-0.06012725830078125 + 0.072439670562744141i,-0.055339336395263672 + 0.073452472686767578i,-0.046056747436523438 + 0.0765228271484375i,-0.040889263153076172 + 0.077689170837402344i,-0.031082630157470703 + 0.078492164611816406i,-0.023977756500244141 + 0.079342842102050781i,-0.012316703796386719 + 0.078991889953613281i,-0.0023169517517089844 + 0.076888084411621094i,0.0070357322692871094 + 0.074440956115722656i,0.017760276794433594 + 0.069293498992919922i,0.028823375701904297 + 0.062323093414306641i,0.039991855621337891 + 0.049833774566650391i
-0.10334491729736328 + 0.063972949981689453i,-0.095132827758789063 + 0.076543807983398438i,-0.089034080505371094 + 0.084656715393066406i,-0.079970359802246094 + 0.093131065368652344i,-0.076563835144042969 + 0.094905376434326172i,-0.071371555328369141 + 0.099530696868896484i,-0.061972618103027344 + 0.10580968856811523i,-0.056858539581298828 + 0.10820150375366211i,-0.055247306823730469 + 0.10878849029541016i,-0.048995018005371094 + 0.11019372940063477i,-0.04815673828125 + 0.1101689338684082i,-0.043720245361328125 + 0.11204242706298828i,-0.041012763977050781 + 0.11084365844726563i,-0.040275096893310547 + 0.11092615127563477i,-0.038489818572998047 + 0.11078262329101563i,-0.038144111633300781 + 0.11046648025512695i,-0.037473678588867188 + 0.11087942123413086i,-0.040083408355712891 + 0.10911893844604492i,-0.038495063781738281 + 0.1086268424987793i,-0.037763595581054688 + 0.10936403274536133i,-0.035242080688476563 + 0.10927152633666992i,-0.036799907684326172 + 0.10871791839599609i,-0.034870624542236328 + 0.10948657989501953i,-0.035860061645507813 + 0.10807704925537109i,-0.036126136779785156 + 0.1079106330871582i,-0.03226470947265625 + 0.10862064361572266i,-0.031663894653320313 + 0.10812187194824219i,-0.032690525054931641 + 0.10778093338012695i,-0.031881809234619141 + 0.10629415512084961i,-0.029773712158203125 + 0.10719680786132813i,-0.028868675231933594 + 0.10718441009521484i,-0.025915622711181641 + 0.10759353637695313i,-0.022933006286621094 + 0.10802125930786133i,-0.022338390350341797 + 0.10736274719238281i,-0.01659393310546875 + 0.10743808746337891i,-0.016219139099121094 + 0.10708189010620117i,-0.012368202209472656 + 0.107208251953125i,-0.011723518371582031 + 0.1054081916809082i,-0.007808685302734375 + 0.10478544235229492i,-0.00068330764770507813 + 0.10369873046875i,0.0021724700927734375 + 0.10186958312988281i,0.0076184272766113281 + 0.09900665283203125i,0.014410018920898438 + 0.096498489379882813i,0.018340110778808594 + 0.092752456665039063i,0.021797657012939453 + 0.091725826263427734i,0.025771617889404297 + 0.087921619415283203i,0.033616065979003906 + 0.082396507263183594i,0.038199901580810547 + 0.078920364379882813i,0.044404983520507813 + 0.071677207946777344i,0.049373626708984375 + 0.066802501678466797i,0.056035041809082031 + 0.056774139404296875i,0.060015678405761719 + 0.0478668212890625i,0.063816547393798828 + 0.03789520263671875i,0.065985202789306641 + 0.026897430419921875i,0.067665576934814453 + 0.014581203460693359i,0.063951492309570313 - 0.0022592544555664063i
-0.062851428985595703 + 0.10453987121582031i,-0.051064491271972656 + 0.11150646209716797i,-0.040083885192871094 + 0.1159815788269043i,-0.028736591339111328 + 0.11879158020019531i,-0.025445938110351563 + 0.11972570419311523i,-0.018467426300048828 + 0.12045478820800781i,-0.0066747665405273438 + 0.12233161926269531i,-0.00180816650390625 + 0.12323617935180664i,-0.0001354217529296875 + 0.12159061431884766i,0.0064401626586914063 + 0.12138986587524414i,0.0074658393859863281 + 0.11918544769287109i,0.011927127838134766 + 0.11903810501098633i,0.013598918914794922 + 0.11745834350585938i,0.013189792633056641 + 0.11683177947998047i,0.015698432922363281 + 0.11596488952636719i,0.015699863433837891 + 0.11470699310302734i,0.017184734344482422 + 0.11517620086669922i,0.013761043548583984 + 0.11481666564941406i,0.014564037322998047 + 0.11430931091308594i,0.015972137451171875 + 0.11431264877319336i,0.018769741058349609 + 0.11404991149902344i,0.016447067260742188 + 0.11432838439941406i,0.018932819366455078 + 0.11327791213989258i,0.017091751098632813 + 0.11164951324462891i,0.017350196838378906 + 0.11239194869995117i,0.020132541656494141 + 0.11201572418212891i,0.020617485046386719 + 0.11044692993164063i,0.019471168518066406 + 0.11092233657836914i,0.020320415496826172 + 0.10913610458374023i,0.021713733673095703 + 0.10896825790405273i,0.023887157440185547 + 0.10886144638061523i,0.026661396026611328 + 0.10673952102661133i,0.029126167297363281 + 0.10646867752075195i,0.028759956359863281 + 0.10565614700317383i,0.034051895141601563 + 0.10274505615234375i,0.034906387329101563 + 0.10270595550537109i,0.03714752197265625 + 0.10027551651000977i,0.036874771118164063 + 0.099524021148681641i,0.040714263916015625 + 0.097574234008789063i,0.045594215393066406 + 0.092529296875i,0.047706127166748047 + 0.089896678924560547i,0.052046775817871094 + 0.084425926208496094i,0.056546211242675781 + 0.079483985900878906i,0.059377193450927734 + 0.074141502380371094i,0.061109066009521484 + 0.070574760437011719i,0.063678264617919922 + 0.066876411437988281i,0.068154811859130859 + 0.058032989501953125i,0.069352626800537109 + 0.053207874298095703i,0.072016239166259766 + 0.043354034423828125i,0.074476718902587891 + 0.036005973815917969i,0.075764656066894531 + 0.025022506713867188i,0.075073719024658203 + 0.015329360961914063i,0.073614120483398438 + 0.0044431686401367188i,0.071186542510986328 - 0.0063576698303222656i,0.066639900207519531 - 0.018472194671630859i,0.055985450744628906 - 0.030982494354248047i
-0.10237693786621094 + 0.050992012023925781i,-0.096367835998535156 + 0.063404560089111328i,-0.090928077697753906 + 0.071883201599121094i,-0.083355426788330078 + 0.080452919006347656i,-0.080457687377929688 + 0.081970691680908203i,-0.075947284698486328 + 0.087327003479003906i,-0.067677497863769531 + 0.094084262847900391i,-0.063510417938232422 + 0.096925735473632813i,-0.062052726745605469 + 0.096290111541748047i,-0.05612945556640625 + 0.09966278076171875i,-0.054716110229492188 + 0.099000453948974609i,-0.050117015838623047 + 0.10124635696411133i,-0.048143863677978516 + 0.10051202774047852i,-0.047388553619384766 + 0.10039138793945313i,-0.045568943023681641 + 0.10077524185180664i,-0.045278549194335938 + 0.099818229675292969i,-0.044903278350830078 + 0.10062313079833984i,-0.047350883483886719 + 0.098400115966796875i,-0.045773506164550781 + 0.098913192749023438i,-0.044781208038330078 + 0.099342823028564453i,-0.042568683624267578 + 0.10036993026733398i,-0.044237136840820313 + 0.099025249481201172i,-0.042247772216796875 + 0.099473953247070313i,-0.043265819549560547 + 0.098483562469482422i,-0.04286956787109375 + 0.098303318023681641i,-0.039671897888183594 + 0.099269866943359375i,-0.039408683776855469 + 0.099177360534667969i,-0.039721965789794922 + 0.098280429840087891i,-0.038367748260498047 + 0.097192764282226563i,-0.037462711334228516 + 0.098113536834716797i,-0.036287784576416016 + 0.098522663116455078i,-0.033094882965087891 + 0.099099636077880859i,-0.030564785003662109 + 0.1000523567199707i,-0.030025005340576172 + 0.09824371337890625i,-0.024625301361083984 + 0.099199295043945313i,-0.024931907653808594 + 0.099254608154296875i,-0.020516395568847656 + 0.099307060241699219i,-0.020289897918701172 + 0.097237110137939453i,-0.015975475311279297 + 0.09745025634765625i,-0.0099925994873046875 + 0.097287654876708984i,-0.0065188407897949219 + 0.096004486083984375i,-0.0007038116455078125 + 0.093992233276367188i,0.0054302215576171875 + 0.091883659362792969i,0.010050296783447266 + 0.089234828948974609i,0.013559341430664063 + 0.087550640106201172i,0.017035961151123047 + 0.085454940795898438i,0.025309085845947266 + 0.079846858978271484i,0.028794765472412109 + 0.07765960693359375i,0.036394596099853516 + 0.070930004119873047i,0.041100978851318359 + 0.0666961669921875i,0.047808170318603516 + 0.057172775268554688i,0.052976608276367188 + 0.049695014953613281i,0.056591987609863281 + 0.041246414184570313i,0.060287952423095703 + 0.030894279479980469i,0.062109470367431641 + 0.018474102020263672i,0.060556411743164063 + 0.0027375221252441406i
