0.00030374526977539063 + 0.0090379714965820313i,0.0014562606811523438 + 0.0090079307556152344i,0.0033483505249023438 + 0.0091571807861328125i,0.0025124549865722656 + 0.0089406967163085938i,0.0031757354736328125 + 0.0096254348754882813i,0.0037240982055664063 + 0.0083093643188476563i,0.00513458251953125 + 0.0086078643798828125i,0.0050845146179199219 + 0.0086436271667480469i,0.0050044059753417969 + 0.0095114707946777344i,0.0071363449096679688 + 0.0086236000061035156i,0.0065932273864746094 + 0.0090851783752441406i,0.0073018074035644531 + 0.0082759857177734375i,0.0072040557861328125 + 0.0087404251098632813i,0.00714874267578125 + 0.0089278221130371094i,0.0080442428588867188 + 0.0083794593811035156i,0.0081758499145507813 + 0.0081839561462402344i,0.0078730583190917969 + 0.0083713531494140625i,0.0083250999450683594 + 0.0087780952453613281i,0.0082273483276367188 + 0.0091886520385742188i,0.0091619491577148438 + 0.0083761215209960938i,0.0096406936645507813 + 0.0076050758361816406i,0.0095820426940917969 + 0.0079035758972167969i,0.0094151496887207031 + 0.0080308914184570313i,0.0096154212951660156 + 0.0078220367431640625i,0.00897216796875 + 0.0072331428527832031i,0.0087513923645019531 + 0.006641387939453125i,0.0094571113586425781 + 0.0066518783569335938i,0.0094790458679199219 + 0.0071673393249511719i,0.010039329528808594 + 0.0069303512573242188i,0.010128021240234375 + 0.0072188377380371094i,0.010091781616210938 + 0.0062589645385742188i,0.010302543640136719 + 0.0073442459106445313i,0.010817527770996094 + 0.00572967529296875i,0.011070728302001953 + 0.0055880546569824219i,0.011088371276855469 + 0.0044622421264648438i,0.011577606201171875 + 0.004642486572265625i,0.01198577880859375 + 0.00373077392578125i,0.011342048645019531 + 0.0035800933837890625i,0.011677742004394531 + 0.0027298927307128906i,0.011538028717041016 + 0.002346038818359375i,0.011374473571777344 + 0.0015978813171386719i,0.01080322265625 + 0.0003204345703125i,0.010982513427734375 - 0.0002460479736328125i,0.010883808135986328 - 0.0012569427490234375i,0.010593891143798828 - 0.0019083023071289063i,0.0097894668579101563 - 0.0030341148376464844i,0.0086259841918945313 - 0.0039196014404296875i,0.0082721710205078125 - 0.003665924072265625i,0.0070509910583496094 - 0.0050511360168457031i,0.0064983367919921875 - 0.0054960250854492188i,0.0053009986877441406 - 0.0053133964538574219i,0.0043730735778808594 - 0.0067625045776367188i,0.0030975341796875 - 0.0064654350280761719i,0.0017852783203125 - 0.0069651603698730469i,0.00058650970458984375 - 0.0073976516723632813i,-0.0016846656799316406 - 0.006763458251953125i
0.0045342445373535156 - 0.0071291923522949219i,0.0061898231506347656 - 0.0074601173400878906i,0.0041284561157226563 - 0.0087447166442871094i,0.0036020278930664063 - 0.007556915283203125i,0.0045704841613769531 - 0.0094270706176757813i,0.0035772323608398438 - 0.0093092918395996094i,0.0025839805603027344 - 0.010548591613769531i,0.0032396316528320313 - 0.011549949645996094i,0.0023431777954101563 - 0.009563446044921875i,0.0025992393493652344 - 0.011116981506347656i,0.0013985633850097656 - 0.011008262634277344i,0.000675201416015625 - 0.011599540710449219i,0.00087881088256835938 - 0.011739253997802734i,0.0004291534423828125 - 0.012374401092529297i,-0.00034093856811523438 - 0.012512683868408203i,-0.00039148330688476563 - 0.010912895202636719i,-0.00014400482177734375 - 0.012909412384033203i,-0.00066328048706054688 - 0.011998176574707031i,-0.000244140625 - 0.011828422546386719i,-0.00088405609130859375 - 0.012791156768798828i,-0.00025701522827148438 - 0.012126445770263672i,0.00016307830810546875 - 0.011322498321533203i,0.00090837478637695313 - 0.010974407196044922i,-0.00034379959106445313 - 0.012836456298828125i,-0.0013837814331054688 - 0.010867118835449219i,-0.0018095970153808594 - 0.011425018310546875i,-0.001434326171875 - 0.011745452880859375i,-0.0007801055908203125 - 0.011806964874267578i,-0.0022530555725097656 - 0.012105941772460938i,-0.0035290718078613281 - 0.012179374694824219i,-0.0041165351867675781 - 0.01019287109375i,-0.0029902458190917969 - 0.011997699737548828i,-0.002788543701171875 - 0.010303020477294922i,-0.0048542022705078125 - 0.011907100677490234i,-0.0050950050354003906 - 0.011678695678710938i,-0.0047893524169921875 - 0.010300159454345703i,-0.00531768798828125 - 0.011087417602539063i,-0.0051202774047851563 - 0.010163307189941406i,-0.0069675445556640625 - 0.011218070983886719i,-0.0069522857666015625 - 0.009334564208984375i,-0.0068602561950683594 - 0.0088586807250976563i,-0.0063657760620117188 - 0.0075011253356933594i,-0.0072145462036132813 - 0.0075750350952148438i,-0.0086302757263183594 - 0.00598907470703125i,-0.0076398849487304688 - 0.0061016082763671875i,-0.0086879730224609375 - 0.0060133934020996094i,-0.0081410408020019531 - 0.0047078132629394531i,-0.0093741416931152344 - 0.0025162696838378906i,-0.0071387290954589844 - 0.0031604766845703125i,-0.0083284378051757813 - 0.00028705596923828125i,-0.0079846382141113281 + 0.0013208389282226563i,-0.0082101821899414063 + 0.001941680908203125i,-0.007900238037109375 + 0.0033273696899414063i,-0.006221771240234375 + 0.0044617652893066406i,-0.0055565834045410156 + 0.0055932998657226563i,-0.0024003982543945313 + 0.0053591728210449219i
0.0058727264404296875 + 0.0067954063415527344i,0.0064821243286132813 + 0.0067205429077148438i,0.0075421333312988281 + 0.0063595771789550781i,0.0082559585571289063 + 0.00562286376953125i,0.0084314346313476563 + 0.0054697990417480469i,0.0091900825500488281 + 0.0047974586486816406i,0.0086197853088378906 + 0.0038766860961914063i,0.0093674659729003906 + 0.0039782524108886719i,0.0090970993041992188 + 0.0036306381225585938i,0.0097193717956542969 + 0.0025963783264160156i,0.011356830596923828 + 0.0026121139526367188i,0.010754585266113281 + 0.0028533935546875i,0.011555194854736328 + 0.0018911361694335938i,0.010339260101318359 + 0.00080442428588867188i,0.012198925018310547 + 0.0014185905456542969i,0.011987209320068359 + 0.0010347366333007813i,0.011465072631835938 + 0.00045108795166015625i,0.0128326416015625 + 0.0020265579223632813i,0.012791156768798828 + 0.001216888427734375i,0.012914180755615234 + 0.001659393310546875i,0.010436058044433594 + 0.0005092620849609375i,0.012278556823730469 + 4.3392181396484375E-05i,0.011159420013427734 - 0.0012450218200683594i,0.011925220489501953 + 0.00061082839965820313i,0.012237548828125 + 0.00014448165893554688i,0.011906147003173828 - 0.0013699531555175781i,0.011013507843017578 + 0.00022411346435546875i,0.010420322418212891 - 0.00064754486083984375i,0.013469696044921875 - 0.0013318061828613281i,0.011310100555419922 + 0.00024461746215820313i,0.011338710784912109 - 0.0011997222900390625i,0.012943744659423828 - 0.0029077529907226563i,0.012677192687988281 - 0.0012960433959960938i,0.012220382690429688 - 0.0020499229431152344i,0.011725425720214844 - 0.0035185813903808594i,0.010820865631103516 - 0.0036749839782714844i,0.011602401733398438 - 0.00461578369140625i,0.012058258056640625 - 0.0050425529479980469i,0.011610031127929688 - 0.00447845458984375i,0.010122776031494141 - 0.0062856674194335938i,0.0092158317565917969 - 0.0061783790588378906i,0.0080208778381347656 - 0.0067391395568847656i,0.0090188980102539063 - 0.0074567794799804688i,0.00748443603515625 - 0.0074534416198730469i,0.00682830810546875 - 0.00551605224609375i,0.0062718391418457031 - 0.0072116851806640625i,0.0053515434265136719 - 0.0089855194091796875i,0.003787994384765625 - 0.0078701972961425781i,0.0021610260009765625 - 0.0089712142944335938i,0.0026521682739257813 - 0.0084476470947265625i,0.0010066032409667969 - 0.0088367462158203125i,-0.0015892982482910156 - 0.0065646171569824219i,-0.0026445388793945313 - 0.0066199302673339844i,-0.0017485618591308594 - 0.0067090988159179688i,-0.004673004150390625 - 0.0079526901245117188i,-0.0055999755859375 - 0.0041933059692382813i
0.0085086822509765625 - 0.0038189888000488281i,0.0076751708984375 - 0.0048909187316894531i,0.0084328651428222656 - 0.0057864189147949219i,0.0070834159851074219 - 0.0073213577270507813i,0.0070714950561523438 - 0.0066509246826171875i,0.0063962936401367188 - 0.0067510604858398438i,0.005641937255859375 - 0.0078887939453125i,0.006542205810546875 - 0.0078768730163574219i,0.00623321533203125 - 0.0087542533874511719i,0.0057120323181152344 - 0.0087370872497558594i,0.0057001113891601563 - 0.0083169937133789063i,0.0049610137939453125 - 0.0098209381103515625i,0.0051717758178710938 - 0.010075092315673828i,0.0050272941589355469 - 0.010578632354736328i,0.0043764114379882813 - 0.010535240173339844i,0.0044932365417480469 - 0.010350704193115234i,0.0038518905639648438 - 0.011447906494140625i,0.0044183731079101563 - 0.01204681396484375i,0.0040063858032226563 - 0.011678218841552734i,0.0035715103149414063 - 0.011838912963867188i,0.0032420158386230469 - 0.011540412902832031i,0.002918243408203125 - 0.011168479919433594i,0.0028772354125976563 - 0.011735439300537109i,0.0033178329467773438 - 0.011343002319335938i,0.0029420852661132813 - 0.011785030364990234i,0.0023517608642578125 - 0.011275768280029297i,0.0021162033081054688 - 0.011444091796875i,0.0021915435791015625 - 0.011282920837402344i,0.0023579597473144531 - 0.011638641357421875i,0.0019011497497558594 - 0.012280941009521484i,0.0024290084838867188 - 0.011839866638183594i,0.0014214515686035156 - 0.012453079223632813i,0.00049161911010742188 - 0.012640953063964844i,0.0006008148193359375 - 0.011986255645751953i,0.00013256072998046875 - 0.012099266052246094i,-0.00085496902465820313 - 0.012005329132080078i,-0.00070142745971679688 - 0.011444091796875i,-0.00115203857421875 - 0.011519432067871094i,-0.0024805068969726563 - 0.011383056640625i,-0.0024390220642089844 - 0.011126041412353516i,-0.0039653778076171875 - 0.00975799560546875i,-0.0040993690490722656 - 0.010340213775634766i,-0.0049467086791992188 - 0.0093379020690917969i,-0.0057892799377441406 - 0.0095453262329101563i,-0.0057420730590820313 - 0.0086321830749511719i,-0.0064415931701660156 - 0.0072126388549804688i,-0.0065922737121582031 - 0.0065884590148925781i,-0.0069055557250976563 - 0.0059099197387695313i,-0.0070466995239257813 - 0.0047483444213867188i,-0.0075345039367675781 - 0.0027279853820800781i,-0.0082917213439941406 - 0.0026545524597167969i,-0.0082616806030273438 - 0.0014867782592773438i,-0.0073575973510742188 - 5.7220458984375E-06i,-0.0071492195129394531 + 0.0011835098266601563i,-0.006175994873046875 + 0.0027832984924316406i,-0.0050415992736816406 + 0.0039172172546386719i
-0.0022912025451660156 + 0.0086956024169921875i,-0.00064563751220703125 + 0.0088949203491210938i,-5.7220458984375E-05 + 0.0099048614501953125i,0.00070953369140625 + 0.00954437255859375i,0.0010867118835449219 + 0.0091762542724609375i,0.0016121864318847656 + 0.010082244873046875i,0.0029659271240234375 + 0.0099654197692871094i,0.003429412841796875 + 0.00958251953125i,0.003162384033203125 + 0.010088443756103516i,0.0035114288330078125 + 0.010145664215087891i,0.0037980079650878906 + 0.010417938232421875i,0.0049548149108886719 + 0.010564804077148438i,0.0049881935119628906 + 0.010356903076171875i,0.00576019287109375 + 0.010166645050048828i,0.0065093040466308594 + 0.010480880737304688i,0.0062808990478515625 + 0.0098948478698730469i,0.0060815811157226563 + 0.0099816322326660156i,0.0057373046875 + 0.010367393493652344i,0.0065250396728515625 + 0.0099310874938964844i,0.00676727294921875 + 0.0096583366394042969i,0.0071878433227539063 + 0.0090761184692382813i,0.0074005126953125 + 0.0099883079528808594i,0.0073070526123046875 + 0.0092854499816894531i,0.0071163177490234375 + 0.0099163055419921875i,0.0076913833618164063 + 0.0092983245849609375i,0.007549285888671875 + 0.0089254379272460938i,0.0078706741333007813 + 0.0089550018310546875i,0.0075564384460449219 + 0.008453369140625i,0.0078992843627929688 + 0.0090703964233398438i,0.0080842971801757813 + 0.0086307525634765625i,0.0082597732543945313 + 0.0084486007690429688i,0.0093841552734375 + 0.0089483261108398438i,0.0089631080627441406 + 0.0075511932373046875i,0.0093350410461425781 + 0.0081257820129394531i,0.010256290435791016 + 0.0068464279174804688i,0.010433197021484375 + 0.0066056251525878906i,0.01102447509765625 + 0.0062417984008789063i,0.010436058044433594 + 0.0053896903991699219i,0.010797977447509766 + 0.0048732757568359375i,0.011018753051757813 + 0.0047788619995117188i,0.011105537414550781 + 0.0037107467651367188i,0.0097908973693847656 + 0.0025548934936523438i,0.010525226593017578 + 0.0014681816101074219i,0.010024547576904297 + 0.00068807601928710938i,0.010260105133056641 + 0.0013718605041503906i,0.0090208053588867188 - 0.00023651123046875i,0.0093092918395996094 - 0.0011568069458007813i,0.0090961456298828125 - 0.0027680397033691406i,0.0076031684875488281 - 0.0032124519348144531i,0.0075936317443847656 - 0.0039081573486328125i,0.0068488121032714844 - 0.0047712326049804688i,0.0051164627075195313 - 0.0050754547119140625i,0.0052547454833984375 - 0.0053834915161132813i,0.0036458969116210938 - 0.0057611465454101563i,0.0016055107116699219 - 0.006923675537109375i,2.002716064453125E-05 - 0.0064239501953125i
-0.0066366195678710938 + 0.0065312385559082031i,-0.0063986778259277344 + 0.0074706077575683594i,-0.0061740875244140625 + 0.0078325271606445313i,-0.0057821273803710938 + 0.0075354576110839844i,-0.0042324066162109375 + 0.0087895393371582031i,-0.0047936439514160156 + 0.0086703300476074219i,-0.0038237571716308594 + 0.0092949867248535156i,-0.0037145614624023438 + 0.0099959373474121094i,-0.0039510726928710938 + 0.0096940994262695313i,-0.0027942657470703125 + 0.010247707366943359i,-0.0034985542297363281 + 0.010947704315185547i,-0.0023036003112792969 + 0.010851383209228516i,-0.0019335746765136719 + 0.010991096496582031i,-0.0021071434020996094 + 0.011459827423095703i,-0.0019512176513671875 + 0.011201381683349609i,-0.0015773773193359375 + 0.011129856109619141i,-0.0012750625610351563 + 0.011824131011962891i,-0.0012159347534179688 + 0.012509346008300781i,-0.001132965087890625 + 0.011863231658935547i,-0.00048971176147460938 + 0.012128829956054688i,-0.00054836273193359375 + 0.012087821960449219i,3.24249267578125E-05 + 0.011913299560546875i,9.059906005859375E-06 + 0.01172637939453125i,0.00052022933959960938 + 0.012471199035644531i,-0.00019073486328125 + 0.011962890625i,0.0010213851928710938 + 0.011237621307373047i,0.00060176849365234375 + 0.011951923370361328i,0.00033426284790039063 + 0.011907577514648438i,0.00027799606323242188 + 0.011761665344238281i,0.0011935234069824219 + 0.012271404266357422i,0.001735687255859375 + 0.011567115783691406i,0.0021481513977050781 + 0.012939453125i,0.0027327537536621094 + 0.011428356170654297i,0.0027880668640136719 + 0.012150764465332031i,0.0033140182495117188 + 0.011427879333496094i,0.0045337677001953125 + 0.011092185974121094i,0.0046396255493164063 + 0.010473251342773438i,0.0041646957397460938 + 0.011400222778320313i,0.0047960281372070313 + 0.010947227478027344i,0.0055980682373046875 + 0.010282993316650391i,0.0056662559509277344 + 0.0092058181762695313i,0.0072164535522460938 + 0.0083589553833007813i,0.0069437026977539063 + 0.0076379776000976563i,0.0072836875915527344 + 0.0073919296264648438i,0.0083537101745605469 + 0.0064291954040527344i,0.0077128410339355469 + 0.0064210891723632813i,0.0079340934753417969 + 0.003940582275390625i,0.0086140632629394531 + 0.003238677978515625i,0.0085062980651855469 + 0.0020651817321777344i,0.0081424713134765625 + 0.0014815330505371094i,0.0085926055908203125 - 0.00040864944458007813i,0.00778961181640625 - 0.00064373016357421875i,0.0069952011108398438 - 0.0018596649169921875i,0.0063266754150390625 - 0.0026063919067382813i,0.0059151649475097656 - 0.004230499267578125i,0.0037078857421875 - 0.0052785873413085938i
0.007602691650390625 + 0.0021653175354003906i,0.0089602470397949219 + 0.0016736984252929688i,0.0086607933044433594 - 0.00057554244995117188i,0.010087966918945313 - 0.00088930130004882813i,0.010097503662109375 - 0.0012583732604980469i,0.0098567008972167969 - 0.0016388893127441406i,0.0099186897277832031 - 0.0027027130126953125i,0.0094594955444335938 - 0.0032796859741210938i,0.0097613334655761719 - 0.0032711029052734375i,0.0099821090698242188 - 0.0036187171936035156i,0.010126590728759766 - 0.0035791397094726563i,0.0098772048950195313 - 0.0046415328979492188i,0.0099935531616210938 - 0.0056443214416503906i,0.010066509246826172 - 0.0053377151489257813i,0.0093555450439453125 - 0.006107330322265625i,0.010461807250976563 - 0.0058655738830566406i,0.009342193603515625 - 0.0062994956970214844i,0.010179519653320313 - 0.0064501762390136719i,0.0096325874328613281 - 0.0070815086364746094i,0.009979248046875 - 0.0072817802429199219i,0.0092492103576660156 - 0.0078363418579101563i,0.010085582733154297 - 0.0077915191650390625i,0.0086789131164550781 - 0.0069489479064941406i,0.0089869499206542969 - 0.0067763328552246094i,0.0086760520935058594 - 0.007659912109375i,0.0091652870178222656 - 0.0081686973571777344i,0.0089163780212402344 - 0.0080747604370117188i,0.0085306167602539063 - 0.0081529617309570313i,0.0084118843078613281 - 0.0083971023559570313i,0.008914947509765625 - 0.0085253715515136719i,0.0091114044189453125 - 0.008392333984375i,0.00839996337890625 - 0.0089483261108398438i,0.0075268745422363281 - 0.0089917182922363281i,0.0074782371520996094 - 0.0097742080688476563i,0.0062189102172851563 - 0.0098977088928222656i,0.0065665245056152344 - 0.0099577903747558594i,0.0051121711730957031 - 0.010352611541748047i,0.0060381889343261719 - 0.0106658935546875i,0.0051016807556152344 - 0.010222434997558594i,0.0036897659301757813 - 0.011319637298583984i,0.0034480094909667969 - 0.0107421875i,0.002178192138671875 - 0.010317802429199219i,0.00146484375 - 0.010806560516357422i,0.0011444091796875 - 0.010516643524169922i,3.147125244140625E-05 - 0.010007381439208984i,-0.00091314315795898438 - 0.00991058349609375i,-0.0021657943725585938 - 0.0094828605651855469i,-0.0019559860229492188 - 0.0089578628540039063i,-0.0041093826293945313 - 0.00792694091796875i,-0.00457763671875 - 0.0069565773010253906i,-0.0042324066162109375 - 0.0064835548400878906i,-0.0053472518920898438 - 0.0054936408996582031i,-0.0060434341430664063 - 0.0045862197875976563i,-0.0059785842895507813 - 0.002651214599609375i,-0.0066962242126464844 - 0.0019373893737792969i,-0.0061450004577636719 - 7.343292236328125E-05i
0.0065407752990722656 - 0.0064282417297363281i,0.0059628486633300781 - 0.0061483383178710938i,0.0061783790588378906 - 0.0078840255737304688i,0.0064411163330078125 - 0.0079112052917480469i,0.0055589675903320313 - 0.0080709457397460938i,0.0052404403686523438 - 0.0082802772521972656i,0.0049014091491699219 - 0.0083642005920410156i,0.0052862167358398438 - 0.0095658302307128906i,0.0052828788757324219 - 0.0085473060607910156i,0.0050230026245117188 - 0.0099334716796875i,0.0051631927490234375 - 0.0095400810241699219i,0.0047984123229980469 - 0.0098438262939453125i,0.0049915313720703125 - 0.0097589492797851563i,0.0044322013854980469 - 0.010972976684570313i,0.0048317909240722656 - 0.010524749755859375i,0.0052981376647949219 - 0.010071754455566406i,0.0048503875732421875 - 0.010668754577636719i,0.005176544189453125 - 0.010747909545898438i,0.0051584243774414063 - 0.010743618011474609i,0.0053148269653320313 - 0.010839462280273438i,0.0054378509521484375 - 0.010168075561523438i,0.0056805610656738281 - 0.010473728179931641i,0.0048913955688476563 - 0.010440349578857422i,0.00537872314453125 - 0.010561466217041016i,0.0061936378479003906 - 0.010720729827880859i,0.0056595802307128906 - 0.0099139213562011719i,0.0055794715881347656 - 0.010267734527587891i,0.0062036514282226563 - 0.010283946990966797i,0.0067954063415527344 - 0.0099139213562011719i,0.0066080093383789063 - 0.0098705291748046875i,0.0070528984069824219 - 0.0095424652099609375i,0.00698089599609375 - 0.0099334716796875i,0.0058655738830566406 - 0.010622024536132813i,0.0066971778869628906 - 0.010347366333007813i,0.0060982704162597656 - 0.010619163513183594i,0.0054478645324707031 - 0.010724067687988281i,0.0051717758178710938 - 0.010560512542724609i,0.0048727989196777344 - 0.010678291320800781i,0.0045714378356933594 - 0.010404586791992188i,0.0044035911560058594 - 0.010529994964599609i,0.0040521621704101563 - 0.010499954223632813i,0.0029072761535644531 - 0.010739326477050781i,0.0022482872009277344 - 0.010022163391113281i,0.0022449493408203125 - 0.010628223419189453i,0.0019330978393554688 - 0.0097622871398925781i,0.0009937286376953125 - 0.0103912353515625i,0.00058460235595703125 - 0.0091180801391601563i,-0.00014495849609375 - 0.0096797943115234375i,-0.0022997856140136719 - 0.0089926719665527344i,-0.0020875930786132813 - 0.0085387229919433594i,-0.0037240982055664063 - 0.0073323249816894531i,-0.0033688545227050781 - 0.0069751739501953125i,-0.003688812255859375 - 0.0056185722351074219i,-0.0048041343688964844 - 0.0056958198547363281i,-0.0051789283752441406 - 0.0041151046752929688i,-0.0053124427795410156 - 0.0026974678039550781i
-0.0090236663818359375 + 0.0017061233520507813i,-0.0088329315185546875 + 0.002410888671875i,-0.0091910362243652344 + 0.0033588409423828125i,-0.0080971717834472656 + 0.00426483154296875i,-0.0085129737854003906 + 0.0039343833923339844i,-0.009197235107421875 + 0.0046443939208984375i,-0.0082798004150390625 + 0.0050144195556640625i,-0.0089130401611328125 + 0.0052804946899414063i,-0.0094318389892578125 + 0.0052862167358398438i,-0.0087151527404785156 + 0.00557708740234375i,-0.0099325180053710938 + 0.0053510665893554688i,-0.0089931488037109375 + 0.0057759284973144531i,-0.009456634521484375 + 0.006259918212890625i,-0.0095129013061523438 + 0.0058865547180175781i,-0.0098099708557128906 + 0.0063614845275878906i,-0.010041236877441406 + 0.0062379837036132813i,-0.0098204612731933594 + 0.0061244964599609375i,-0.010717868804931641 + 0.0063090324401855469i,-0.010276317596435547 + 0.0060687065124511719i,-0.01020050048828125 + 0.0063610076904296875i,-0.0096960067749023438 + 0.0063152313232421875i,-0.010493755340576172 + 0.0067539215087890625i,-0.010546207427978516 + 0.0063939094543457031i,-0.010182380676269531 + 0.0063037872314453125i,-0.010342121124267578 + 0.0058317184448242188i,-0.0096893310546875 + 0.006160736083984375i,-0.010301589965820313 + 0.0059986114501953125i,-0.010239124298095703 + 0.0053949356079101563i,-0.010433197021484375 + 0.00550079345703125i,-0.011055469512939453 + 0.0046443939208984375i,-0.010783195495605469 + 0.0049614906311035156i,-0.010333061218261719 + 0.0056891441345214844i,-0.011140346527099609 + 0.0053462982177734375i,-0.011354923248291016 + 0.006191253662109375i,-0.011050224304199219 + 0.0063624382019042969i,-0.010781288146972656 + 0.0061659812927246094i,-0.0099253654479980469 + 0.0070428848266601563i,-0.010664939880371094 + 0.0062737464904785156i,-0.010251998901367188 + 0.0066828727722167969i,-0.0086417198181152344 + 0.007083892822265625i,-0.0094552040100097656 + 0.0070462226867675781i,-0.0080747604370117188 + 0.0074777603149414063i,-0.0071811676025390625 + 0.0079884529113769531i,-0.00682830810546875 + 0.0070605278015136719i,-0.0069193840026855469 + 0.008056640625i,-0.0057492256164550781 + 0.0073771476745605469i,-0.0044412612915039063 + 0.0078301429748535156i,-0.0046954154968261719 + 0.0079603195190429688i,-0.0035552978515625 + 0.0083971023559570313i,-0.0025739669799804688 + 0.008525848388671875i,-0.00076436996459960938 + 0.0080366134643554688i,-0.00066041946411132813 + 0.007770538330078125i,-0.00030231475830078125 + 0.00763702392578125i,0.0013432502746582031 + 0.0072579383850097656i,0.0031981468200683594 + 0.0063190460205078125i,0.0031332969665527344 + 0.0052938461303710938i
-0.0026192665100097656 + 0.0091886520385742188i,-0.0026483535766601563 + 0.0087914466857910156i,-0.0017099380493164063 + 0.0086808204650878906i,-0.00047540664672851563 + 0.0098748207092285156i,-0.0010004043579101563 + 0.0095262527465820313i,-0.00063562393188476563 + 0.009738922119140625i,0.0001373291015625 + 0.010473728179931641i,0.00030517578125 + 0.010308742523193359i,0.0002994537353515625 + 0.009929656982421875i,0.000293731689453125 + 0.010980606079101563i,-6.198883056640625E-06 + 0.011121749877929688i,0.0002422332763671875 + 0.011302947998046875i,0.00018024444580078125 + 0.011241912841796875i,0.0004901885986328125 + 0.011439323425292969i,0.0010008811950683594 + 0.011922836303710938i,0.0010242462158203125 + 0.012125968933105469i,0.0010828971862792969 + 0.011829376220703125i,0.00027942657470703125 + 0.012538909912109375i,0.00083017349243164063 + 0.012591361999511719i,0.00044107437133789063 + 0.012013435363769531i,0.0006084442138671875 + 0.011835575103759766i,-0.00031375885009765625 + 0.01238250732421875i,-0.00046777725219726563 + 0.011554718017578125i,0.00062322616577148438 + 0.012246131896972656i,-0.00019359588623046875 + 0.012076377868652344i,-0.000286102294921875 + 0.011618137359619141i,-4.1484832763671875E-05 + 0.012120246887207031i,-0.00082159042358398438 + 0.011373996734619141i,-0.0009593963623046875 + 0.012165546417236328i,-0.00083303451538085938 + 0.012015342712402344i,-0.00014400482177734375 + 0.011765956878662109i,-0.00098752975463867188 + 0.012531757354736328i,-0.0003452301025390625 + 0.012114524841308594i,7.6770782470703125E-05 + 0.011656761169433594i,-0.00030803680419921875 + 0.011660575866699219i,-1.6689300537109375E-05 + 0.012182712554931641i,8.1539154052734375E-05 + 0.012544155120849609i,0.00050830841064453125 + 0.012372493743896484i,0.00093603134155273438 + 0.011981964111328125i,0.0014357566833496094 + 0.01139068603515625i,0.0020747184753417969 + 0.010462284088134766i,0.0030407905578613281 + 0.010054588317871094i,0.0026450157165527344 + 0.0098681449890136719i,0.0031819343566894531 + 0.0099859237670898438i,0.0038571357727050781 + 0.0090579986572265625i,0.0034966468811035156 + 0.0092496871948242188i,0.0050153732299804688 + 0.0083856582641601563i,0.0043053627014160156 + 0.0075244903564453125i,0.0055379867553710938 + 0.0067591667175292969i,0.0051522254943847656 + 0.0064563751220703125i,0.0060572624206542969 + 0.0046992301940917969i,0.0060300827026367188 + 0.0041241645812988281i,0.0065546035766601563 + 0.0035810470581054688i,0.0063371658325195313 + 0.00243377685546875i,0.0063533782958984375 + 0.0017037391662597656i,0.0060048103332519531 - 0.0004119873046875i
