0.1981968879699707 - 0.0068163871765136719i,0.29957437515258789 - 0.042909145355224609i,0.39288425445556641 - 0.045691013336181641i,0.39666604995727539 + 0.0045828819274902344i,0.41902399063110352 + 0.055522918701171875i,0.32257795333862305 + 0.085327625274658203i,0.23194789886474609 + 0.045907020568847656i,0.14346456527709961 - 0.048077583312988281i,0.11239910125732422 - 0.16683578491210938i,0.15877008438110352 - 0.28328227996826172i,0.22099161148071289 - 0.32766151428222656i,0.32838344573974609 - 0.33856058120727539i,0.36660623550415039 - 0.24658918380737305i,0.30375337600708008 - 0.15794229507446289i,0.18951272964477539 - 0.10285520553588867i,0.073434352874755859 - 0.12954282760620117i,-0.029497146606445313 - 0.21898937225341797i,-0.021176815032958984 - 0.37139797210693359i,0.042339801788330078 - 0.41767358779907227i,0.1296391487121582 - 0.46636104583740234i,0.20598793029785156 - 0.38652133941650391i,0.23022556304931641 - 0.28403234481811523i,0.13219118118286133 - 0.18339633941650391i,0.016335964202880859 - 0.15052175521850586i,-0.12920141220092773 - 0.23115873336791992i,-0.16107511520385742 - 0.331512451171875i,-0.13261938095092773 - 0.44176101684570313i,-0.033690452575683594 - 0.45087003707885742i,0.098369598388671875 - 0.31611013412475586i,0.059878349304199219 - 0.25208282470703125i,-0.046210289001464844 - 0.15792751312255859i,-0.19218730926513672 - 0.16441583633422852i,-0.25218963623046875 - 0.24177026748657227i,-0.27150774002075195 - 0.37743473052978516i,-0.2017054557800293 - 0.42605924606323242i,-0.11346292495727539 - 0.4475407600402832i,-0.033839225769042969 - 0.33932924270629883i,-0.046484947204589844 - 0.25155782699584961i,-0.12646007537841797 - 0.13479757308959961i,-0.25084638595581055 - 0.10491275787353516i,-0.36652946472167969 - 0.13276863098144531i,-0.37052345275878906 - 0.21242904663085938i,-0.39878082275390625 - 0.30755138397216797i,-0.29781723022460938 - 0.32737302780151367i,-0.20923519134521484 - 0.30596542358398438i,-0.15402889251708984 - 0.16550064086914063i,-0.19383478164672852 - 0.039938926696777344i,-0.25449991226196289 + 0.058333396911621094i,-0.37452888488769531 + 0.10356807708740234i,-0.43006134033203125 + 0.091675281524658203i,-0.49117755889892578 + 0.053256988525390625i,-0.44077062606811523 + 0.001598358154296875i,-0.32021379470825195 + 0.0097179412841796875i,-0.18875885009765625 + 0.054305076599121094i,-0.095769405364990234 + 0.16563606262207031i,-0.00730133056640625 + 0.25666999816894531i
-0.15779304504394531 + 0.11870384216308594i,-0.22229862213134766 + 0.20574426651000977i,-0.30377769470214844 + 0.258453369140625i,-0.34003496170043945 + 0.21913909912109375i,-0.37725543975830078 + 0.17802953720092773i,-0.31866455078125 + 0.10096120834350586i,-0.21997642517089844 + 0.082713603973388672i,-0.099302291870117188 + 0.11641025543212891i,-0.010066032409667969 + 0.20142745971679688i,0.0056743621826171875 + 0.32499217987060547i,-0.0291595458984375 + 0.39726781845092773i,-0.12577342987060547 + 0.45583343505859375i,-0.204437255859375 + 0.39373636245727539i,-0.19718742370605469 + 0.28349733352661133i,-0.12458992004394531 + 0.17986679077148438i,-0.011326313018798828 + 0.15002775192260742i,0.12374067306518555 + 0.18501186370849609i,0.18132448196411133 + 0.32502126693725586i,0.14223289489746094 + 0.39917087554931641i,0.077477931976318359 + 0.47319984436035156i,-0.030493736267089844 + 0.43935871124267578i,-0.096343994140625 + 0.35024690628051758i,-0.051517009735107422 + 0.21955680847167969i,0.046515941619873047 + 0.14548397064208984i,0.20445680618286133 + 0.16252708435058594i,0.27160739898681641 + 0.24689817428588867i,0.28145980834960938 + 0.36555147171020508i,0.18832826614379883 + 0.41549968719482422i,0.012582302093505859 + 0.33441591262817383i,0.022525787353515625 + 0.25906801223754883i,0.096288204193115234 + 0.13787603378295898i,0.23264026641845703 + 0.096449375152587891i,0.31461286544799805 + 0.15706300735473633i,0.36913967132568359 + 0.28784513473510742i,0.31180429458618164 + 0.35731840133666992i,0.22633075714111328 + 0.40612697601318359i,0.12140226364135742 + 0.31973552703857422i,0.10433292388916016 + 0.23443889617919922i,0.15394353866577148 + 0.10127639770507813i,0.26754570007324219 + 0.046443939208984375i,0.39160728454589844 + 0.053151130676269531i,0.41185092926025391 + 0.13315439224243164i,0.44717836380004883 + 0.21949672698974609i,0.35592031478881836 + 0.26645278930664063i,0.25627279281616211 + 0.26355934143066406i,0.182037353515625 + 0.1414947509765625i,0.19856500625610352 + 0.0068984031677246094i,0.24166297912597656 - 0.093593597412109375i,0.35584259033203125 - 0.15760946273803711i,0.41882801055908203 - 0.14483070373535156i,0.47900676727294922 - 0.11159133911132813i,0.43923711776733398 - 0.052088737487792969i,0.31969070434570313 - 0.042615890502929688i,0.18572902679443359 - 0.077094554901123047i,0.079404830932617188 - 0.17022085189819336i,-0.013179779052734375 - 0.25453472137451172i
0.23361492156982422 - 0.017059803009033203i,0.32945680618286133 - 0.033442497253417969i,0.41315603256225586 - 0.019673824310302734i,0.40414047241210938 + 0.030411243438720703i,0.39463329315185547 + 0.076020717620849609i,0.30282926559448242 + 0.091327190399169922i,0.20583724975585938 + 0.033872604370117188i,0.13482189178466797 - 0.072927474975585938i,0.12252902984619141 - 0.19517660140991211i,0.18224430084228516 - 0.29752254486083984i,0.25432109832763672 - 0.32749366760253906i,0.34879684448242188 - 0.30949687957763672i,0.37709236145019531 - 0.21488189697265625i,0.29758739471435547 - 0.13520240783691406i,0.17863702774047852 - 0.096739768981933594i,0.069518089294433594 - 0.1376347541809082i,-0.019917964935302734 - 0.24244117736816406i,0.0078234672546386719 - 0.38414430618286133i,0.079861164093017578 - 0.42888593673706055i,0.16982173919677734 - 0.44721364974975586i,0.23854827880859375 - 0.36918067932128906i,0.24559640884399414 - 0.26025724411010742i,0.13557338714599609 - 0.17111635208129883i,0.014997482299804688 - 0.15777015686035156i,-0.11183071136474609 - 0.24311161041259766i,-0.12998819351196289 - 0.34854745864868164i,-0.089046955108642578 - 0.45455312728881836i,0.0095996856689453125 - 0.46104240417480469i,0.12649440765380859 - 0.31154727935791016i,0.087051868438720703 - 0.2478485107421875i,-0.024359703063964844 - 0.16930961608886719i,-0.16414928436279297 - 0.18322181701660156i,-0.22707796096801758 - 0.26746082305908203i,-0.23013401031494141 - 0.40505266189575195i,-0.15891647338867188 - 0.44781970977783203i,-0.067195415496826172 - 0.46374845504760742i,0.0025386810302734375 - 0.35262584686279297i,-0.0057020187377929688 - 0.26961040496826172i,-0.088238239288330078 - 0.16288900375366211i,-0.21470451354980469 - 0.13910865783691406i,-0.32973194122314453 - 0.17908382415771484i,-0.34376239776611328 - 0.25786399841308594i,-0.3519282341003418 - 0.35098838806152344i,-0.26387166976928711 - 0.38055944442749023i,-0.17257833480834961 - 0.35429477691650391i,-0.12925863265991211 - 0.22152328491210938i,-0.17058944702148438 - 0.095385074615478516i,-0.23770809173583984 + 0.0015745162963867188i,-0.36376047134399414 + 0.042942047119140625i,-0.42712688446044922 + 0.029606819152832031i,-0.48877668380737305 - 0.015422344207763672i,-0.45726394653320313 - 0.067780494689941406i,-0.34997701644897461 - 0.053626537322998047i,-0.23175144195556641 + 0.00025272369384765625i,-0.14725875854492188 + 0.10989809036254883i,-0.066205024719238281 + 0.21644878387451172i
-0.19939851760864258 - 0.027051448822021484i,-0.30194616317749023 - 0.0034637451171875i,-0.39552736282348633 - 0.019739151000976563i,-0.39373207092285156 - 0.068710803985595703i,-0.40130710601806641 - 0.12347650527954102i,-0.30667209625244141 - 0.13785171508789063i,-0.22329807281494141 - 0.085050582885742188i,-0.1489872932434082 + 0.022294521331787109i,-0.13846206665039063 + 0.14485883712768555i,-0.20757484436035156 + 0.25082778930664063i,-0.2781829833984375 + 0.28337717056274414i,-0.38830757141113281 + 0.26826143264770508i,-0.40976905822753906 + 0.16993141174316406i,-0.32787179946899414 + 0.093076705932617188i,-0.20905447006225586 + 0.061633586883544922i,-0.098650455474853516 + 0.11070871353149414i,-0.019509315490722656 + 0.22201967239379883i,-0.063186168670654297 + 0.36576366424560547i,-0.13500785827636719 + 0.40004730224609375i,-0.22896528244018555 + 0.4240870475769043i,-0.28603696823120117 + 0.33014249801635742i,-0.28553962707519531 + 0.22463035583496094i,-0.17112064361572266 + 0.15004396438598633i,-0.049790382385253906 + 0.1459197998046875i,0.067388057708740234 + 0.25568628311157227i,0.073422908782958984 + 0.36084222793579102i,0.016099452972412109 + 0.45967864990234375i,-0.085653781890869141 + 0.44841718673706055i,-0.17320585250854492 + 0.28134346008300781i,-0.1225590705871582 + 0.23116827011108398i,0.00023031234741210938 + 0.16992807388305664i,0.13596343994140625 + 0.21087455749511719i,0.17764091491699219 + 0.30022335052490234i,0.15630435943603516 + 0.43897438049316406i,0.073233127593994141 + 0.46331119537353516i,-0.018627643585205078 + 0.46017646789550781i,-0.061053276062011719 + 0.33036088943481445i,-0.029033184051513672 + 0.25490188598632813i,0.081164836883544922 + 0.17091464996337891i,0.20501041412353516 + 0.17640113830566406i,0.30103635787963867 + 0.24262762069702148i,0.28471565246582031 + 0.31737709045410156i,0.27898120880126953 + 0.41407442092895508i,0.18029975891113281 + 0.40636205673217773i,0.10107517242431641 + 0.35375833511352539i,0.090106010437011719 + 0.20684194564819336i,0.17331075668334961 + 0.10197925567626953i,0.25651836395263672 + 0.030179023742675781i,0.38897466659545898 + 0.029904365539550781i,0.43359565734863281 + 0.060339927673339844i,0.47455310821533203 + 0.121429443359375i,0.41118812561035156 + 0.15365743637084961i,0.3020167350769043 + 0.10380220413208008i,0.19720649719238281 + 0.013712882995605469i,0.15051460266113281 - 0.12209415435791016i,0.10441923141479492 - 0.23616409301757813i
-0.14425992965698242 + 0.18889379501342773i,-0.19263601303100586 + 0.27292823791503906i,-0.25769281387329102 + 0.31625747680664063i,-0.28439521789550781 + 0.27546119689941406i,-0.32682991027832031 + 0.24556589126586914i,-0.26285600662231445 + 0.15855884552001953i,-0.16417646408081055 + 0.13122797012329102i,-0.033133983612060547 + 0.14661645889282227i,0.064793586730957031 + 0.22040891647338867i,0.098453044891357422 + 0.33580493927001953i,0.072819709777832031 + 0.40436267852783203i,-0.011250495910644531 + 0.47652530670166016i,-0.097339630126953125 + 0.41761302947998047i,-0.10550022125244141 + 0.30219888687133789i,-0.051447868347167969 + 0.19024801254272461i,0.056497097015380859 + 0.13786506652832031i,0.18503856658935547 + 0.14219570159912109i,0.27361154556274414 + 0.27241230010986328i,0.25192070007324219 + 0.34471702575683594i,0.21364068984985352 + 0.43747949600219727i,0.10213279724121094 + 0.41758108139038086i,0.018548965454101563 + 0.35733127593994141i,0.029737472534179688 + 0.21845388412475586i,0.094319343566894531 + 0.11922264099121094i,0.25619268417358398 + 0.093563556671142578i,0.34149646759033203 + 0.14983654022216797i,0.38105440139770508 + 0.25280904769897461i,0.31026077270507813 + 0.32969284057617188i,0.12081527709960938 + 0.30417203903198242i,0.11094808578491211 + 0.24214744567871094i,0.13051748275756836 + 0.10251760482788086i,0.24537849426269531 + 0.013649463653564453i,0.34023904800415039 + 0.029745578765869141i,0.44894695281982422 + 0.12738037109375i,0.42517757415771484 + 0.20975828170776367i,0.37083292007446289 + 0.29158973693847656i,0.23943901062011719 + 0.25553274154663086i,0.1935577392578125 + 0.19380283355712891i,0.17647981643676758 + 0.053906440734863281i,0.25018405914306641 - 0.047868251800537109i,0.35567665100097656 - 0.098346710205078125i,0.41486072540283203 - 0.048129558563232422i,0.50818252563476563 + 0.011913299560546875i,0.44073915481567383 + 0.086563587188720703i,0.3688817024230957 + 0.1395421028137207i,0.2392125129699707 + 0.074573516845703125i,0.1953125 - 0.046854972839355469i,0.16948843002319336 - 0.15930080413818359i,0.23874807357788086 - 0.279510498046875i,0.289215087890625 - 0.31134176254272461i,0.38138103485107422 - 0.32428216934204102i,0.38004159927368164 - 0.25674724578857422i,0.29337310791015625 - 0.19380903244018555i,0.16321563720703125 - 0.15030622482299805i,0.037514686584472656 - 0.18173027038574219i,-0.096210956573486328 - 0.20308399200439453i
-0.10885000228881836 + 0.21097660064697266i,-0.14017200469970703 + 0.30234956741333008i,-0.19704532623291016 + 0.36339092254638672i,-0.23343801498413086 + 0.32635021209716797i,-0.27420282363891602 + 0.29989957809448242i,-0.23055744171142578 + 0.20910739898681641i,-0.13290214538574219 + 0.15983247756958008i,-0.0050969123840332031 + 0.15196514129638672i,0.10475683212280273 + 0.20456218719482422i,0.16310596466064453 + 0.30808019638061523i,0.15195322036743164 + 0.38249683380126953i,0.090088844299316406 + 0.46452617645263672i,-0.00073194503784179688 + 0.43113803863525391i,-0.033472061157226563 + 0.32148075103759766i,-0.0065021514892578125 + 0.19949007034301758i,0.087274551391601563 + 0.12314653396606445i,0.21847867965698242 + 0.10038518905639648i,0.33157253265380859 + 0.19744777679443359i,0.3302760124206543 + 0.27707004547119141i,0.3114018440246582 + 0.37073087692260742i,0.20437717437744141 + 0.38280820846557617i,0.1066899299621582 + 0.34175395965576172i,0.080667495727539063 + 0.20293188095092773i,0.12315464019775391 + 0.089482307434082031i,0.26943588256835938 + 0.022379875183105469i,0.36881685256958008 + 0.050199508666992188i,0.44033908843994141 + 0.13839912414550781i,0.39284420013427734 + 0.23044252395629883i,0.20848655700683594 + 0.25832223892211914i,0.17511701583862305 + 0.1965174674987793i,0.15824460983276367 + 0.056336879730224609i,0.24016332626342773 - 0.061028003692626953i,0.33811855316162109 - 0.074130058288574219i,0.4633936882019043 - 0.010814189910888672i,0.46807336807250977 + 0.07386016845703125i,0.44057512283325195 + 0.16347026824951172i,0.31100654602050781 + 0.16908836364746094i,0.24219608306884766 + 0.12279367446899414i,0.18517303466796875 - 0.0085992813110351563i,0.22093534469604492 - 0.12813711166381836i,0.30523538589477539 - 0.21435785293579102i,0.37942790985107422 - 0.18430185317993164i,0.47816753387451172 - 0.15892887115478516i,0.45255041122436523 - 0.070868015289306641i,0.39270782470703125 - 0.00014448165893554688i,0.2526850700378418 - 0.017675876617431641i,0.16655969619750977 - 0.11116981506347656i,0.10312891006469727 - 0.20956563949584961i,0.12643766403198242 - 0.34341716766357422i,0.16233921051025391 - 0.39431381225585938i,0.23479509353637695 - 0.43684244155883789i,0.25646495819091797 - 0.38366985321044922i,0.19687652587890625 - 0.29182577133178711i,0.09586334228515625 - 0.20521831512451172i,-0.039392948150634766 - 0.18119716644287109i,-0.17033576965332031 - 0.15152549743652344i
0.19890928268432617 + 0.038872718811035156i,0.30153608322143555 + 0.020271778106689453i,0.39596223831176758 + 0.044133186340332031i,0.38527393341064453 + 0.093476772308349609i,0.39473724365234375 + 0.14901161193847656i,0.29384422302246094 + 0.1536717414855957i,0.21930646896362305 + 0.098540306091308594i,0.14751672744750977 - 0.013809680938720703i,0.14645195007324219 - 0.13551044464111328i,0.22315073013305664 - 0.23677730560302734i,0.29610395431518555 - 0.26323175430297852i,0.40869474411010742 - 0.24347972869873047i,0.41734027862548828 - 0.14416217803955078i,0.33367300033569336 - 0.070963382720947266i,0.21092987060546875 - 0.048745155334472656i,0.10500001907348633 - 0.1057586669921875i,0.033054351806640625 - 0.219757080078125i,0.084552764892578125 - 0.36688041687011719i,0.15775108337402344 - 0.38781023025512695i,0.25934648513793945 - 0.41050815582275391i,0.30526828765869141 - 0.30738401412963867i,0.30095815658569336 - 0.20282602310180664i,0.18265151977539063 - 0.13745832443237305i,0.060997962951660156 - 0.1403508186340332i,-0.051031112670898438 - 0.2606353759765625i,-0.050554752349853516 - 0.36418294906616211i,0.016634464263916016 - 0.46024799346923828i,0.1148681640625 - 0.43650913238525391i,0.19580698013305664 - 0.26870059967041016i,0.13899946212768555 - 0.22058391571044922i,0.013210773468017578 - 0.16927862167358398i,-0.12355899810791016 - 0.22245502471923828i,-0.15432214736938477 - 0.30980348587036133i,-0.12514400482177734 - 0.44907522201538086i,-0.038344860076904297 - 0.470672607421875i,0.053918361663818359 - 0.45999336242675781i,0.090107917785644531 - 0.33034229278564453i,0.0494232177734375 - 0.2545170783996582i,-0.068726539611816406 - 0.17586088180541992i,-0.1914215087890625 - 0.19052362442016602i,-0.28740835189819336 - 0.26625537872314453i,-0.26111888885498047 - 0.33684778213500977i,-0.24969148635864258 - 0.43756294250488281i,-0.1511225700378418 - 0.41522550582885742i,-0.076827526092529297 - 0.36376953125i,-0.074055194854736328 - 0.21314764022827148i,-0.16289520263671875 - 0.11670303344726563i,-0.25154638290405273 - 0.051918983459472656i,-0.38289260864257813 - 0.05973052978515625i,-0.42770528793334961 - 0.095395088195800781i,-0.46781015396118164 - 0.15897464752197266i,-0.39956998825073242 - 0.18130683898925781i,-0.2957305908203125 - 0.12603282928466797i,-0.19692802429199219 - 0.027075290679931641i,-0.16031217575073242 + 0.11133146286010742i,-0.11922788619995117 + 0.22713422775268555i
-0.13898944854736328 + 0.14709281921386719i,-0.17889976501464844 + 0.24570131301879883i,-0.24879121780395508 + 0.30698680877685547i,-0.28201150894165039 + 0.27761507034301758i,-0.34037685394287109 + 0.25459194183349609i,-0.28682947158813477 + 0.16467952728271484i,-0.19794559478759766 + 0.13379859924316406i,-0.063578128814697266 + 0.13400411605834961i,0.040315628051757813 + 0.20011711120605469i,0.088581562042236328 + 0.31580209732055664i,0.07227325439453125 + 0.38942384719848633i,-0.0055332183837890625 + 0.48055076599121094i,-0.096065521240234375 + 0.43177604675292969i,-0.11356925964355469 + 0.31973075866699219i,-0.066100120544433594 + 0.2042536735534668i,0.036397933959960938 + 0.14323186874389648i,0.16958284378051758 + 0.14045476913452148i,0.26461267471313477 + 0.264404296875i,0.24954986572265625 + 0.33571815490722656i,0.22144508361816406 + 0.43436193466186523i,0.10902166366577148 + 0.42077493667602539i,0.023453712463378906 + 0.36342811584472656i,0.029581069946289063 + 0.22616338729858398i,0.089149951934814453 + 0.12253999710083008i,0.25353527069091797 + 0.089934349060058594i,0.34286212921142578 + 0.14246845245361328i,0.38672256469726563 + 0.24761295318603516i,0.31709766387939453 + 0.32153558731079102i,0.13299942016601563 + 0.30426549911499023i,0.11752223968505859 + 0.23521518707275391i,0.13726091384887695 + 0.094844341278076172i,0.25627994537353516 + 0.0029711723327636719i,0.34711885452270508 + 0.020718097686767578i,0.45606422424316406 + 0.11610698699951172i,0.4311223030090332 + 0.20059013366699219i,0.37414216995239258 + 0.27746105194091797i,0.24301910400390625 + 0.24158477783203125i,0.19767522811889648 + 0.17014408111572266i,0.18636608123779297 + 0.0272064208984375i,0.26154518127441406 - 0.074652671813964844i,0.37119817733764648 - 0.1179957389831543i,0.41985321044921875 - 0.061844825744628906i,0.50907802581787109 - 0.0035648345947265625i,0.4331817626953125 + 0.069912433624267578i,0.35364675521850586 + 0.11093235015869141i,0.22131967544555664 + 0.038908958435058594i,0.18410778045654297 - 0.090156078338623047i,0.16487407684326172 - 0.19862651824951172i,0.23549079895019531 - 0.31376934051513672i,0.2890472412109375 - 0.33155155181884766i,0.36758518218994141 - 0.33664655685424805i,0.35179233551025391 - 0.26344537734985352i,0.25299406051635742 - 0.19695377349853516i,0.11628246307373047 - 0.15886449813842773i,-0.021206378936767578 - 0.19263887405395508i,-0.14372825622558594 - 0.21242141723632813i
0.20512676239013672 + 0.18301773071289063i,0.26300334930419922 + 0.25011157989501953i,0.28129816055297852 + 0.31870508193969727i,0.21691322326660156 + 0.33051490783691406i,0.17701435089111328 + 0.34839868545532227i,0.10898399353027344 + 0.25847053527832031i,0.10349798202514648 + 0.14835882186889648i,0.15743589401245117 + 0.034516811370849609i,0.25357532501220703 - 0.032969474792480469i,0.3675074577331543 - 0.029521942138671875i,0.42646265029907227 + 0.023617267608642578i,0.45800065994262695 + 0.11348819732666016i,0.37512016296386719 + 0.17585229873657227i,0.26217079162597656 + 0.15195608139038086i,0.16903066635131836 + 0.068372726440429688i,0.15055179595947266 - 0.047469615936279297i,0.1927490234375 - 0.16288375854492188i,0.34281730651855469 - 0.21555519104003906i,0.40537929534912109 - 0.1624603271484375i,0.47601890563964844 - 0.091029644012451172i,0.42128181457519531 + 0.0099892616271972656i,0.34100484848022461 + 0.075072288513183594i,0.20756673812866211 + 0.028756618499755859i,0.14282608032226563 - 0.069981098175048828i,0.15484952926635742 - 0.22615480422973633i,0.23626232147216797 - 0.29142093658447266i,0.34746837615966797 - 0.30057144165039063i,0.40199947357177734 - 0.20894575119018555i,0.3301396369934082 - 0.024914741516113281i,0.26802349090576172 - 0.035444259643554688i,0.14196491241455078 - 0.093291282653808594i,0.088457584381103516 - 0.22277021408081055i,0.13426733016967773 - 0.30707645416259766i,0.26848316192626953 - 0.37589883804321289i,0.34042263031005859 - 0.32904291152954102i,0.40617179870605469 - 0.25396251678466797i,0.33745050430297852 - 0.13853263854980469i,0.26650762557983398 - 0.10758829116821289i,0.12755012512207031 - 0.13571786880493164i,0.052350997924804688 - 0.23445844650268555i,0.036984920501708984 - 0.35683727264404297i,0.10360908508300781 - 0.39924240112304688i,0.19195556640625 - 0.46577310562133789i,0.25285863876342773 - 0.38802146911621094i,0.29012584686279297 - 0.30197048187255859i,0.18942546844482422 - 0.203643798828125i,0.068616390228271484 - 0.18810606002807617i,-0.043134689331054688 - 0.20702409744262695i,-0.13826179504394531 - 0.30878591537475586i,-0.15395593643188477 - 0.3784785270690918i,-0.14920663833618164 - 0.47463703155517578i,-0.091905593872070313 - 0.46653556823730469i,-0.060047149658203125 - 0.37446498870849609i,-0.056201457977294922 - 0.25247621536254883i,-0.12084627151489258 - 0.15130281448364258i,-0.19346523284912109 - 0.029748439788818359i
-0.2180027961730957 - 0.16129732131958008i,-0.28749799728393555 - 0.22004365921020508i,-0.30955028533935547 - 0.28380632400512695i,-0.25602531433105469 - 0.30534029006958008i,-0.21284675598144531 - 0.32224655151367188i,-0.13796615600585938 - 0.24485635757446289i,-0.12149667739868164 - 0.13195610046386719i,-0.15937709808349609 - 0.0090761184692382813i,-0.24674844741821289 + 0.075164794921875i,-0.35841464996337891 + 0.088748931884765625i,-0.42361354827880859 + 0.048095703125i,-0.46479892730712891 - 0.037050247192382813i,-0.39885044097900391 - 0.11270284652709961i,-0.2813105583190918 - 0.10676908493041992i,-0.17701053619384766 - 0.04085540771484375i,-0.13771820068359375 + 0.072270870208740234i,-0.15978765487670898 + 0.19705581665039063i,-0.29031991958618164 + 0.27197504043579102i,-0.3664698600769043 + 0.24173402786254883i,-0.4409785270690918 + 0.18593978881835938i,-0.41774749755859375 + 0.079982280731201172i,-0.34506607055664063 + 0.0030345916748046875i,-0.20861196517944336 + 0.02256011962890625i,-0.11832714080810547 + 0.10073709487915039i,-0.099070549011230469 + 0.2515416145324707i,-0.16158628463745117 + 0.33676815032958984i,-0.26756143569946289 + 0.36981296539306641i,-0.33973789215087891 + 0.29894495010375977i,-0.31132078170776367 + 0.11194849014282227i,-0.24503803253173828 + 0.096700191497802734i,-0.11146879196166992 + 0.12676334381103516i,-0.026636123657226563 + 0.23738384246826172i,-0.04360198974609375 + 0.33824825286865234i,-0.14700412750244141 + 0.43776750564575195i,-0.22889947891235352 + 0.41562938690185547i,-0.30985355377197266 + 0.36057901382446289i,-0.27660608291625977 + 0.23431539535522461i,-0.21669101715087891 + 0.18070888519287109i,-0.079677104949951172 + 0.16626644134521484i,0.024410724639892578 + 0.23615121841430664i,0.078384876251220703 + 0.34604454040527344i,0.034002304077148438 + 0.4128422737121582i,-0.027482986450195313 + 0.49894142150878906i,-0.10542440414428711 + 0.45192241668701172i,-0.16423416137695313 + 0.37671566009521484i,-0.10554218292236328 + 0.25562763214111328i,0.0057172775268554688 + 0.20148086547851563i,0.11970996856689453 + 0.17238950729370117i,0.24345731735229492 + 0.23567676544189453i,0.28824615478515625 + 0.29211854934692383i,0.31064844131469727 + 0.38213539123535156i,0.25664758682250977 + 0.39859533309936523i,0.19566631317138672 + 0.3261713981628418i,0.14839887619018555 + 0.21012592315673828i,0.16737461090087891 + 0.089311599731445313i,0.18899202346801758 - 0.051919460296630859i
