-0.056589126586914063 - 0.0543975830078125i,-0.090350151062011719 - 0.024037837982177734i,-0.12340736389160156 - 0.010647773742675781i,-0.14987611770629883 - 0.011031627655029297i,-0.15604114532470703 - 0.019461631774902344i,-0.14729213714599609 - 0.028307914733886719i,-0.12392663955688477 - 0.033665657043457031i,-0.099285125732421875 - 0.017016410827636719i,-0.079594612121582031 + 0.017653942108154297i,-0.082379341125488281 + 0.0482330322265625i,-0.098034858703613281 + 0.079319477081298828i,-0.12088251113891602 + 0.084568023681640625i,-0.13862228393554688 + 0.074666500091552734i,-0.14111900329589844 + 0.055701732635498047i,-0.12488842010498047 + 0.041032791137695313i,-0.096751213073730469 + 0.038464069366455078i,-0.071675777435302734 + 0.054918289184570313i,-0.057881832122802734 + 0.084910392761230469i,-0.066654682159423828 + 0.11472320556640625i,-0.08667755126953125 + 0.12266921997070313i,-0.10805702209472656 + 0.12060260772705078i,-0.11510848999023438 + 0.10218191146850586i,-0.10536718368530273 + 0.079787731170654297i,-0.080150127410888672 + 0.07656097412109375i,-0.052769184112548828 + 0.08005523681640625i,-0.0365753173828125 + 0.10608577728271484i,-0.038554191589355469 + 0.13154792785644531i,-0.057920932769775391 + 0.14636325836181641i,-0.087105751037597656 + 0.12663650512695313i,-0.078219413757324219 + 0.10771846771240234i,-0.054892063140869141 + 0.097746372222900391i,-0.023499965667724609 + 0.098968029022216797i,-0.0045857429504394531 + 0.12337112426757813i,-0.0055379867553710938 + 0.1520237922668457i,-0.018983364105224609 + 0.16774702072143555i,-0.041160106658935547 + 0.16951370239257813i,-0.050635814666748047 + 0.14765262603759766i,-0.046232700347900391 + 0.12353038787841797i,-0.019275188446044922 + 0.10487890243530273i,0.014699459075927734 + 0.10608863830566406i,0.045147418975830078 + 0.12254047393798828i,0.056491374969482422 + 0.15118980407714844i,0.049867153167724609 + 0.16836118698120117i,0.032494068145751953 + 0.1743617057800293i,0.014438152313232422 + 0.16028499603271484i,0.012391090393066406 + 0.13226747512817383i,0.033514022827148438 + 0.097372055053710938i,0.064980506896972656 + 0.078998088836669922i,0.10551357269287109 + 0.072602272033691406i,0.13528633117675781 + 0.082911491394042969i,0.14952945709228516 + 0.095149993896484375i,0.14796304702758789 + 0.10178470611572266i,0.13208293914794922 + 0.093543052673339844i,0.11406040191650391 + 0.064887046813964844i,0.095081329345703125 + 0.019988536834716797i,0.086120128631591797 - 0.033564567565917969i
0.078113079071044922 + 0.0030226707458496094i,0.0828094482421875 - 0.041637420654296875i,0.097696304321289063 - 0.074411392211914063i,0.11559200286865234 - 0.092115879058837891i,0.12795066833496094 - 0.091935157775878906i,0.12611198425292969 - 0.079176902770996094i,0.11130380630493164 - 0.064252853393554688i,0.0803070068359375 - 0.057705402374267578i,0.042917728424072266 - 0.067749977111816406i,0.020293712615966797 - 0.093767166137695313i,0.0089716911315917969 - 0.12395191192626953i,0.020544052124023438 - 0.14797544479370117i,0.038536548614501953 - 0.15198707580566406i,0.052855968475341797 - 0.14171886444091797i,0.051564216613769531 - 0.1197199821472168i,0.033414840698242188 - 0.096627235412597656i,0.0031366348266601563 - 0.088220596313476563i,-0.028570175170898438 - 0.099068164825439453i,-0.046364307403564453 - 0.12236881256103516i,-0.043116092681884766 - 0.14418697357177734i,-0.030600547790527344 - 0.15701627731323242i,-0.01239013671875 - 0.15196514129638672i,-0.0041875839233398438 - 0.13095521926879883i,-0.015336513519287109 - 0.10734939575195313i,-0.036821842193603516 - 0.090783596038818359i,-0.065738677978515625 - 0.089967727661132813i,-0.086732387542724609 - 0.10820102691650391i,-0.089468002319335938 - 0.12905073165893555i,-0.059679508209228516 - 0.13947057723999023i,-0.049511432647705078 - 0.12346887588500977i,-0.053954124450683594 - 0.096188545227050781i,-0.073789119720458984 - 0.071336269378662109i,-0.10393047332763672 - 0.064779281616210938i,-0.13040685653686523 - 0.078861713409423828i,-0.1377863883972168 - 0.096756935119628906i,-0.13029623031616211 - 0.11582612991333008i,-0.10668039321899414 - 0.11179065704345703i,-0.089934349060058594 - 0.098452568054199219i,-0.083909511566162109 - 0.065893173217773438i,-0.10113859176635742 - 0.033486366271972656i,-0.12828493118286133 - 0.013528823852539063i,-0.15793800354003906 - 0.012281894683837891i,-0.17574739456176758 - 0.025214195251464844i,-0.17198562622070313 - 0.041723251342773438i,-0.15271759033203125 - 0.050517559051513672i,-0.12387943267822266 - 0.039469718933105469i,-0.10320568084716797 - 0.0057301521301269531i,-0.095203876495361328 + 0.032181739807128906i,-0.1059107780456543 + 0.072638988494873047i,-0.12271308898925781 + 0.098347187042236328i,-0.14279937744140625 + 0.10766077041625977i,-0.14714813232421875 + 0.10286760330200195i,-0.13162040710449219 + 0.091741561889648438i,-0.096217632293701172 + 0.085397243499755859i,-0.048173904418945313 + 0.086895465850830078i,0.0054492950439453125 + 0.092082977294921875i
0.00081729888916015625 + 0.077973842620849609i,0.045653820037841797 + 0.080457210540771484i,0.079669952392578125 + 0.093967437744140625i,0.098166465759277344 + 0.11168098449707031i,0.097739696502685547 + 0.12413549423217773i,0.085542201995849609 + 0.12226152420043945i,0.0682373046875 + 0.10919904708862305i,0.06050872802734375 + 0.07855224609375i,0.069880485534667969 + 0.040287017822265625i,0.094130039215087891 + 0.016436100006103516i,0.12419319152832031 + 0.0031723976135253906i,0.14867734909057617 + 0.014789581298828125i,0.15468072891235352 + 0.032429218292236328i,0.14408016204833984 + 0.04669952392578125i,0.12204980850219727 + 0.046800136566162109i,0.098497390747070313 + 0.029279708862304688i,0.089234352111816406 + 0.00046682357788085938i,0.097872734069824219 - 0.031586647033691406i,0.12116050720214844 - 0.051158905029296875i,0.14434528350830078 - 0.047812461853027344i,0.15599536895751953 - 0.034504413604736328i,0.152374267578125 - 0.016422271728515625i,0.1315155029296875 - 0.0061917304992675781i,0.10859823226928711 - 0.017462730407714844i,0.08855438232421875 - 0.038866996765136719i,0.089104652404785156 - 0.068731784820556641i,0.10511589050292969 - 0.089703083038330078i,0.12664413452148438 - 0.091383457183837891i,0.13970947265625 - 0.063204288482666016i,0.12249660491943359 - 0.052289962768554688i,0.096026897430419922 - 0.055902004241943359i,0.070379257202148438 - 0.075445175170898438i,0.063507080078125 - 0.10565376281738281i,0.077350139617919922 - 0.13082361221313477i,0.095301151275634766 - 0.14032459259033203i,0.11430740356445313 - 0.13136148452758789i,0.11192417144775391 - 0.10895586013793945i,0.096905708312988281 - 0.091075420379638672i,0.064507007598876953 - 0.086173057556152344i,0.032683372497558594 - 0.10152387619018555i,0.012279033660888672 - 0.12954473495483398i,0.011487007141113281 - 0.15930843353271484i,0.0240631103515625 - 0.17632627487182617i,0.040075778961181641 - 0.17200183868408203i,0.05039215087890625 - 0.15388011932373047i,0.038800716400146484 - 0.12506723403930664i,0.0066118240356445313 - 0.10410976409912109i,-0.03188323974609375 - 0.095511436462402344i,-0.072482109069824219 - 0.1057124137878418i,-0.097772598266601563 - 0.12354946136474609i,-0.10889053344726563 - 0.1421966552734375i,-0.10427045822143555 - 0.14556694030761719i,-0.093203544616699219 - 0.13098335266113281i,-0.0859222412109375 - 0.095873355865478516i,-0.086343765258789063 - 0.048315048217773438i,-0.092127323150634766 + 0.0052127838134765625i
0.070107936859130859 - 0.03456878662109375i,0.053230762481689453 - 0.076658248901367188i,0.050923347473144531 - 0.11218166351318359i,0.062711715698242188 - 0.13781642913818359i,0.071800708770751953 - 0.13949012756347656i,0.080180168151855469 - 0.12913417816162109i,0.075420856475830078 - 0.10353660583496094i,0.052283763885498047 - 0.086178779602050781i,0.011958122253417969 - 0.080790042877197266i,-0.015123844146728516 - 0.094211578369140625i,-0.037964820861816406 - 0.12100362777709961i,-0.032131195068359375 - 0.14346790313720703i,-0.016739368438720703 - 0.15782546997070313i,0.0036106109619140625 - 0.15238046646118164i,0.012261390686035156 - 0.13143301010131836i,0.0034475326538085938 - 0.10316896438598633i,-0.022269248962402344 - 0.088045597076416016i,-0.055745601654052734 - 0.086019992828369141i,-0.079234600067138672 - 0.10764408111572266i,-0.077241420745849609 - 0.12890005111694336i,-0.065731048583984375 - 0.14869976043701172i,-0.045139312744140625 - 0.14762115478515625i,-0.028398036956787109 - 0.1291351318359375i,-0.034565925598144531 - 0.10386276245117188i,-0.049377918243408203 - 0.081742763519287109i,-0.080363750457763672 - 0.077524185180664063i,-0.10221242904663086 - 0.091184139251708984i,-0.1076350212097168 - 0.11669349670410156i,-0.074775218963623047 - 0.13451957702636719i,-0.060417652130126953 - 0.11801910400390625i,-0.06229400634765625 - 0.094288349151611328i,-0.076294422149658203 - 0.065351009368896484i,-0.10896110534667969 - 0.060482978820800781i,-0.13288402557373047 - 0.07500457763671875i,-0.1403656005859375 - 0.095388412475585938i,-0.13122797012329102 - 0.11682987213134766i,-0.10631275177001953 - 0.11477565765380859i,-0.086117267608642578 - 0.10033416748046875i,-0.083166122436523438 - 0.069856643676757813i,-0.099450111389160156 - 0.040197372436523438i,-0.12851715087890625 - 0.020978450775146484i,-0.16049671173095703 - 0.025509834289550781i,-0.17096805572509766 - 0.039088249206542969i,-0.16889381408691406 - 0.059921741485595703i,-0.1458439826965332 - 0.067997932434082031i,-0.12144088745117188 - 0.057808399200439453i,-0.10056877136230469 - 0.021525859832763672i,-0.10047769546508789 + 0.015470027923583984i,-0.11684179306030273 + 0.053242206573486328i,-0.14146327972412109 + 0.0720672607421875i,-0.15897560119628906 + 0.077632427215576172i,-0.16526985168457031 + 0.0721588134765625i,-0.15010738372802734 + 0.062304496765136719i,-0.1168065071105957 + 0.063005924224853516i,-0.067375659942626953 + 0.06951141357421875i,-0.020403385162353516 + 0.090342998504638672i
-0.049622535705566406 + 0.058867454528808594i,-0.017505645751953125 + 0.091394424438476563i,0.00062131881713867188 + 0.12240123748779297i,0.0039892196655273438 + 0.14842081069946289i,-0.0023593902587890625 + 0.15643787384033203i,-0.010975837707519531 + 0.1493682861328125i,-0.014480113983154297 + 0.12723159790039063i,-0.00040864944458007813 + 0.099217891693115234i,0.031000614166259766 + 0.075321674346923828i,0.064138412475585938 + 0.070215225219726563i,0.096688747406005859 + 0.079061031341552734i,0.10814571380615234 + 0.098674297332763672i,0.10520648956298828 + 0.11674928665161133i,0.088934898376464844 + 0.12223625183105469i,0.072046279907226563 + 0.10929727554321289i,0.064382076263427734 + 0.081197738647460938i,0.073740482330322266 + 0.052134037017822266i,0.097237586975097656 + 0.029331207275390625i,0.12856721878051758 + 0.026490211486816406i,0.14540433883666992 + 0.042258262634277344i,0.15002107620239258 + 0.059140682220458984i,0.13612222671508789 + 0.069890499114990234i,0.11388826370239258 + 0.065550804138183594i,0.10004997253417969 + 0.0433502197265625i,0.095061302185058594 + 0.015333175659179688i,0.11173057556152344 - 0.011707305908203125i,0.13681697845458984 - 0.021882534027099609i,0.15800380706787109 - 0.013602733612060547i,0.15272235870361328 + 0.016842365264892578i,0.13032865524291992 + 0.01677703857421875i,0.11058855056762695 - 0.0013537406921386719i,0.098163604736328125 - 0.03079986572265625i,0.10753774642944336 - 0.0611572265625i,0.13103389739990234 - 0.077543258666992188i,0.15200042724609375 - 0.076913356781005859i,0.16123151779174805 - 0.061684608459472656i,0.15102195739746094 - 0.044020652770996094i,0.12549924850463867 - 0.035054683685302734i,0.095157623291015625 - 0.046721458435058594i,0.074100971221923828 - 0.076181411743164063i,0.068029880523681641 - 0.11116790771484375i,0.080167770385742188 - 0.13930416107177734i,0.096716403961181641 - 0.14615678787231445i,0.11171483993530273 - 0.13773870468139648i,0.10866641998291016 - 0.11767816543579102i,0.088070869445800781 - 0.098126411437988281i,0.0480194091796875 - 0.090346336364746094i,0.0091128349304199219 - 0.10189723968505859i,-0.024205207824707031 - 0.12437582015991211i,-0.040750980377197266 - 0.15386343002319336i,-0.043848514556884766 - 0.17162227630615234i,-0.039752006530761719 - 0.17426490783691406i,-0.036427497863769531 - 0.15680789947509766i,-0.044794082641601563 - 0.12266826629638672i,-0.060799598693847656 - 0.075233936309814453i,-0.087530136108398438 - 0.027995109558105469i
0.0009613037109375 - 0.078772544860839844i,-0.044490814208984375 - 0.083580493927001953i,-0.077416419982910156 - 0.097570896148681641i,-0.092288017272949219 - 0.1140899658203125i,-0.093268394470214844 - 0.13083028793334961i,-0.078690052032470703 - 0.12542009353637695i,-0.066652297973632813 - 0.11280345916748047i,-0.059237480163574219 - 0.07721710205078125i,-0.068208694458007813 - 0.042207717895507813i,-0.095757484436035156 - 0.016413211822509766i,-0.12340211868286133 - 0.0053753852844238281i,-0.15325307846069336 - 0.014254093170166016i,-0.1573944091796875 - 0.031764507293701172i,-0.14538335800170898 - 0.044634342193603516i,-0.12202739715576172 - 0.043835163116455078i,-0.097192764282226563 - 0.024873733520507813i,-0.086510181427001953 + 0.0046367645263671875i,-0.098480224609375 + 0.034512042999267578i,-0.11829423904418945 + 0.054383277893066406i,-0.14418601989746094 + 0.056536197662353516i,-0.154144287109375 + 0.044394969940185547i,-0.15298175811767578 + 0.023096561431884766i,-0.12982559204101563 + 0.016283035278320313i,-0.10498189926147461 + 0.023256301879882813i,-0.085906982421875 + 0.048691272735595703i,-0.082604408264160156 + 0.078681468963623047i,-0.095125198364257813 + 0.10130214691162109i,-0.11725044250488281 + 0.10481595993041992i,-0.13018941879272461 + 0.075730323791503906i,-0.11865758895874023 + 0.065603256225585938i,-0.087427616119384766 + 0.064908027648925781i,-0.059959888458251953 + 0.083287239074707031i,-0.047124862670898438 + 0.11222076416015625i,-0.059506893157958984 + 0.14273214340209961i,-0.074998855590820313 + 0.15196990966796875i,-0.096305370330810547 + 0.14910507202148438i,-0.095394134521484375 + 0.12246894836425781i,-0.082983970642089844 + 0.10639047622680664i,-0.049281120300292969 + 0.095203876495361328i,-0.012137889862060547 + 0.10500383377075195i,0.012799739837646484 + 0.12816667556762695i,0.0186920166015625 + 0.15452194213867188i,0.0095667839050292969 + 0.18205928802490234i,-0.0074863433837890625 + 0.17654037475585938i,-0.020514011383056641 + 0.16259574890136719i,-0.014202117919921875 + 0.12846183776855469i,0.014516830444335938 + 0.10437822341918945i,0.050975322723388672 + 0.084459304809570313i,0.094026565551757813 + 0.088002204895019531i,0.12314653396606445 + 0.096422195434570313i,0.14219188690185547 + 0.11559772491455078i,0.13687801361083984 + 0.11914205551147461i,0.12188720703125 + 0.10511493682861328i,0.10478115081787109 + 0.072032451629638672i,0.096508502960205078 + 0.025624275207519531i,0.087488651275634766 - 0.029515266418457031i
0.0095043182373046875 - 0.078070640563964844i,-0.034296512603759766 - 0.086948871612548828i,-0.066096782684326172 - 0.10475635528564453i,-0.078785896301269531 - 0.1251225471496582i,-0.078136920928955078 - 0.13921260833740234i,-0.0626068115234375 - 0.13450860977172852i,-0.049351692199707031 - 0.12137889862060547i,-0.045989513397216797 - 0.086934566497802734i,-0.061013698577880859 - 0.053482532501220703i,-0.089484214782714844 - 0.033884048461914063i,-0.12143564224243164 - 0.027665615081787109i,-0.14531946182250977 - 0.04314422607421875i,-0.14679956436157227 - 0.061463832855224609i,-0.13210678100585938 - 0.074251174926757813i,-0.10954713821411133 - 0.069753170013427734i,-0.089510440826416016 - 0.048563003540039063i,-0.085428237915039063 - 0.018352031707763672i,-0.10410118103027344 + 0.0098447799682617188i,-0.12857198715209961 + 0.022646903991699219i,-0.15286588668823242 + 0.014849662780761719i,-0.15874624252319336 - 0.0021810531616210938i,-0.15383386611938477 - 0.020405769348144531i,-0.12945652008056641 - 0.025168418884277344i,-0.10866641998291016 - 0.010605812072753906i,-0.096807479858398438 + 0.016691207885742188i,-0.1029667854309082 + 0.045886516571044922i,-0.12426996231079102 + 0.061512470245361328i,-0.14479732513427734 + 0.056626796722412109i,-0.15070724487304688 + 0.022640705108642578i,-0.13319063186645508 + 0.01674652099609375i,-0.10655403137207031 + 0.026801586151123047i,-0.088309764862060547 + 0.05269622802734375i,-0.089348793029785156 + 0.082631587982177734i,-0.11182641983032227 + 0.10389471054077148i,-0.13134145736694336 + 0.10509681701660156i,-0.14907741546630859 + 0.091352462768554688i,-0.13969755172729492 + 0.068364143371582031i,-0.12137508392333984 + 0.056656837463378906i,-0.088139057159423828 + 0.062521457672119141i,-0.061666965484619141 + 0.087151050567626953i,-0.049806118011474609 + 0.11875677108764648i,-0.060298442840576172 + 0.14469146728515625i,-0.079608917236328125 + 0.16009235382080078i,-0.094273090362548828 + 0.14889717102050781i,-0.099770069122314453 + 0.12924909591674805i,-0.079291343688964844 + 0.10302400588989258i,-0.042670249938964844 + 0.093799114227294922i,-0.0035290718078613281 + 0.1001591682434082i,0.031185150146484375 + 0.12395572662353516i,0.04674530029296875 + 0.14870691299438477i,0.0516815185546875 + 0.17339372634887695i,0.04549407958984375 + 0.17604732513427734i,0.038843631744384766 + 0.15573787689208984i,0.042989253997802734 + 0.12023210525512695i,0.061306953430175781 + 0.077800750732421875i,0.086919307708740234 + 0.028995990753173828i
-0.084223270416259766 + 0.001678466796875i,-0.086613655090332031 + 0.047258377075195313i,-0.1014561653137207 + 0.080483436584472656i,-0.1187129020690918 + 0.09564208984375i,-0.13360261917114258 + 0.096514225006103516i,-0.12980556488037109 + 0.080169677734375i,-0.12004756927490234 + 0.063312530517578125i,-0.086159706115722656 + 0.056362152099609375i,-0.04959869384765625 + 0.070493698120117188i,-0.031462669372558594 + 0.097046375274658203i,-0.022346973419189453 + 0.1284184455871582i,-0.040721416473388672 + 0.15052652359008789i,-0.062067031860351563 + 0.15192508697509766i,-0.07708740234375 + 0.13626956939697266i,-0.072941780090332031 + 0.11356878280639648i,-0.051535606384277344 + 0.093626499176025391i,-0.020708560943603516 + 0.089913845062255859i,0.0067157745361328125 + 0.11016941070556641i,0.017122268676757813 + 0.13523721694946289i,0.0057020187377929688 + 0.15885066986083984i,-0.012481212615966797 + 0.16412734985351563i,-0.030645847320556641 + 0.15772104263305664i,-0.034006595611572266 + 0.13170671463012695i,-0.018166542053222656 + 0.11464309692382813i,0.0065011978149414063 + 0.10404825210571289i,0.033006191253662109 + 0.11339569091796875i,0.044347286224365234 + 0.1371159553527832i,0.035223960876464844 + 0.15761899948120117i,-1.33514404296875E-05 + 0.15532493591308594i,-0.0046114921569824219 + 0.14212942123413086i,0.0093870162963867188 + 0.115509033203125i,0.036700725555419922 + 0.10167789459228516i,0.064638137817382813 + 0.10786056518554688i,0.080643653869628906 + 0.13879776000976563i,0.076059818267822266 + 0.15748929977416992i,0.057211399078369141 + 0.17342472076416016i,0.036041736602783203 + 0.15735626220703125i,0.026910781860351563 + 0.13921070098876953i,0.037414073944091797 + 0.10867881774902344i,0.068476676940917969 + 0.090063571929931641i,0.10165071487426758 + 0.09173583984375i,0.12318229675292969 + 0.10741806030273438i,0.13248920440673828 + 0.13083267211914063i,0.11493587493896484 + 0.14036941528320313i,0.092726707458496094 + 0.1420435905456543i,0.073133468627929688 + 0.11342620849609375i,0.078842639923095703 + 0.073482513427734375i,0.098378658294677734 + 0.042899608612060547i,0.13303947448730469 + 0.018156051635742188i,0.16338777542114258 + 0.015437126159667969i,0.1867518424987793 + 0.022528171539306641i,0.18302345275878906 + 0.031763553619384766i,0.16404628753662109 + 0.030322551727294922i,0.13222408294677734 + 0.011312961578369141i,0.10210943222045898 - 0.022853851318359375i,0.06946563720703125 - 0.067642688751220703i
0.070240020751953125 + 0.045494556427001953i,0.099301338195800781 + 0.0085268020629882813i,0.12854290008544922 - 0.011623382568359375i,0.1538543701171875 - 0.013902187347412109i,0.16501760482788086 - 0.0061864852905273438i,0.1552891731262207 + 0.005855560302734375i,0.134521484375 + 0.011810302734375i,0.10461139678955078 - 0.00082445144653320313i,0.079115390777587891 - 0.031719684600830078i,0.077031612396240234 - 0.065714836120605469i,0.085982799530029297 - 0.096714019775390625i,0.11288356781005859 - 0.10907983779907227i,0.13068246841430664 - 0.10108327865600586i,0.13538694381713867 - 0.080680370330810547i,0.12074422836303711 - 0.062117099761962891i,0.090281009674072266 - 0.055973529815673828i,0.062901020050048828 - 0.068329334259033203i,0.04779052734375 - 0.099033355712890625i,0.050504684448242188 - 0.12813091278076172i,0.069070339202880859 - 0.14342832565307617i,0.089938640594482422 - 0.14212274551391602i,0.10336589813232422 - 0.12490653991699219i,0.092752456665039063 - 0.10053920745849609i,0.070126056671142578 - 0.089982986450195313i,0.040169239044189453 - 0.093942642211914063i,0.018787384033203125 - 0.11633872985839844i,0.017665863037109375 - 0.14354801177978516i,0.035492420196533203 - 0.15977048873901367i,0.067173957824707031 - 0.14317989349365234i,0.064282894134521484 - 0.12641811370849609i,0.041182041168212891 - 0.1092829704284668i,0.0086693763732910156 - 0.10565328598022461i,-0.016842365264892578 - 0.1266474723815918i,-0.019364833831787109 - 0.15961122512817383i,-0.0083422660827636719 - 0.17623138427734375i,0.014858722686767578 - 0.18298006057739258i,0.027064800262451172 - 0.16042137145996094i,0.027222633361816406 - 0.1386871337890625i,0.0044960975646972656 - 0.11542510986328125i,-0.032270431518554688 - 0.10783481597900391i,-0.063992500305175781 - 0.11969518661499023i,-0.080132007598876953 - 0.14405536651611328i,-0.080411911010742188 - 0.16722011566162109i,-0.061534881591796875 - 0.17483997344970703i,-0.039995193481445313 - 0.16386747360229492i,-0.033268451690673828 - 0.13450050354003906i,-0.050469875335693359 - 0.096415519714355469i,-0.078662395477294922 - 0.071236610412597656i,-0.12066173553466797 - 0.058552742004394531i,-0.15088558197021484 - 0.064167499542236328i,-0.17118358612060547 - 0.076990127563476563i,-0.16866874694824219 - 0.083692550659179688i,-0.14950799942016602 - 0.074991226196289063i,-0.12608814239501953 - 0.048772811889648438i,-0.10382270812988281 - 0.0059719085693359375i,-0.085503578186035156 + 0.046525478363037109i
0.017717838287353516 + 0.077008724212646484i,0.061278343200683594 + 0.070818901062011719i,0.095274448394775391 + 0.079924583435058594i,0.11326456069946289 + 0.095849990844726563i,0.1148676872253418 + 0.11107635498046875i,0.097546577453613281 + 0.11094045639038086i,0.079339981079101563 + 0.10388565063476563i,0.065841197967529297 + 0.072162151336669922i,0.072256565093994141 + 0.034224510192871094i,0.095195293426513672 + 0.011653900146484375i,0.12476921081542969 - 0.0010890960693359375i,0.15132331848144531 + 0.012232780456542969i,0.1551055908203125 + 0.03313446044921875i,0.14337778091430664 + 0.049577713012695313i,0.11809158325195313 + 0.05145263671875i,0.094246387481689453 + 0.034197330474853516i,0.086230754852294922 + 0.0055661201477050781i,0.10257768630981445 - 0.024178981781005859i,0.1258087158203125 - 0.038571834564208984i,0.14980220794677734 - 0.031077384948730469i,0.15838909149169922 - 0.013208389282226563i,0.15553474426269531 + 0.007171630859375i,0.12904977798461914 + 0.014878749847412109i,0.11016130447387695 + 0.0040645599365234375i,0.094729423522949219 - 0.021237850189208984i,0.10035800933837891 - 0.048947334289550781i,0.12211894989013672 - 0.063991069793701172i,0.14443492889404297 - 0.05852508544921875i,0.14885902404785156 - 0.019783496856689453i,0.13571977615356445 - 0.012842178344726563i,0.1086888313293457 - 0.02252197265625i,0.089558601379394531 - 0.048508167266845703i,0.092675685882568359 - 0.076581001281738281i,0.12095832824707031 - 0.095225334167480469i,0.13891220092773438 - 0.094575881958007813i,0.15895986557006836 - 0.077115058898925781i,0.14611721038818359 - 0.052608013153076172i,0.12954854965209961 - 0.042389869689941406i,0.095994472503662109 - 0.049038887023925781i,0.073729038238525391 - 0.075986385345458984i,0.071346282958984375 - 0.10972261428833008i,0.086050987243652344 - 0.13287496566772461i,0.10983753204345703 - 0.14389419555664063i,0.12257194519042969 - 0.12685251235961914i,0.12633323669433594 - 0.10395145416259766i,0.10143375396728516 - 0.081333637237548828i,0.06165313720703125 - 0.081797599792480469i,0.027519702911376953 - 0.095183849334716797i,-0.0001506805419921875 - 0.12883901596069336i,-0.0048298835754394531 - 0.15721368789672852i,-0.0011930465698242188 - 0.18164157867431641i,0.0083680152893066406 - 0.18049240112304688i,0.011139869689941406 - 0.16138362884521484i,-0.0030002593994140625 - 0.12888908386230469i,-0.030659675598144531 - 0.093836784362792969i,-0.069756031036376953 - 0.057104587554931641i
